,Fouled,Fouls
0,1.8,0.9
1,-,-
2,-,-
3,1.1,0.3
4,1.1,0.8
5,0.7,0.9
6,1.1,0.9
7,2.1,1
8,2.4,1
9,1.4,1.4
10,2.2,1.2
11,1.4,0.3
12,0.5,0.3
13,1.4,0.8
14,1.2,0.3
15,1,0.8
16,1.5,0.8
17,0.2,-
18,0.7,1.5
19,1.5,1
20,-,2
21,0.2,0.9
22,1.3,0.6
23,2.6,0.6
24,1.4,0.9
25,1,0.6
26,0.7,0.6
27,0.6,0.5
28,0.2,-
29,0.9,1.1
30,1.2,0.7
31,1.5,1.5
32,1,1.5
33,1,0.6
34,1,1.3
35,0.6,1.1
36,1.6,1.1
37,0.3,1
38,0.8,1.2
39,0.8,0.5
40,0.2,0.9
41,0.5,0.7
42,0.2,0.8
43,2.1,1.5
44,0.8,0.9
45,0.7,0.3
46,0.7,0.6
47,0.8,0.4
48,1.3,0.7
49,0.6,0.7
50,0.6,1.4
51,1,-
52,0.5,1
53,1.2,2.4
54,0.3,1.4
55,0.8,0.7
56,1.8,1.6
57,1.4,1.2
58,0.6,1.2
59,0.3,0.3
60,1.4,1.1
61,3.5,1.5
62,-,-
63,0.8,0.8
64,0.8,1.5
65,0.6,0.7
66,0.9,1
67,0.2,0.7
68,2.4,2.4
69,0.4,0.9
70,-,-
71,0.8,0.9
72,0.5,0.9
73,1.6,0.9
74,0.4,0.7
75,0.5,0.6
76,0.3,0.8
77,0.9,1
78,0.6,1.4
79,0.4,1
80,1.4,1.5
81,1.5,1
82,1.7,1.2
83,1.3,1.5
84,1.3,1.4
85,1.2,1.3
86,0.9,0.4
87,0.9,1
88,1.3,0.5
89,2,1.7
90,0.9,1
91,1.6,1.8
92,0.9,1.3
93,1.9,0.8
94,1.4,0.8
95,0.4,0.8
96,0.5,0.1
97,1.3,0.7
98,-,0.8
99,0.3,0.6
100,1.9,0.5
101,1.3,0.6
102,1.6,1.1
103,0.8,1
104,0.1,-
105,0.9,1.2
106,-,-
107,1.2,1.2
108,0.5,0.6
109,0.5,1.9
110,0.4,1.7
111,1.7,1.5
112,0.5,1.4
113,1.1,0.5
114,0.2,-
115,-,1.6
116,1.2,1.3
117,1.2,0.9
118,0.5,1.1
119,1.2,0.5
120,0.8,1.3
121,0.6,0.4
122,1,0.6
123,1.2,1
124,1.3,0.8
125,1.6,0.9
126,1.4,0.8
127,0.1,-
128,0.3,0.3
129,1.8,0.8
130,1.2,0.6
131,1.1,0.9
132,1.1,0.9
133,-,0.3
134,0.2,0.7
135,-,-
136,1.5,1.4
137,2,0.6
138,0.2,1.2
139,1.3,0.7
140,0.6,0.4
141,0.4,1.1
142,1,1.3
143,1.1,1.4
144,0.6,1.6
145,0.6,1.2
146,0.5,0.2
147,0.9,0.6
148,0.2,-
149,0.5,0.9
150,0.1,-
151,0.1,0.2
152,1.3,0.9
153,0.8,0.7
154,0.5,0.7
155,0.5,0.5
156,1,-
157,0.9,1.5
158,1.9,0.7
159,0.5,0.5
160,0.8,0.4
161,1,1.4
162,1.9,1
163,0.4,0.5
164,1.2,0.5
165,0.1,-
166,0.2,-
167,0.4,0.6
168,0.7,0.3
169,-,0.1
170,0.2,-
171,0.3,0.8
172,0.2,1.3
173,0.7,0.6
174,1.1,0.5
175,2.2,1.7
176,0.5,1.2
177,0.4,0.8
178,1,2.2
179,0.6,0.5
180,-,-
181,0.7,1.1
182,0.3,0.9
183,0.5,1.2
184,1.3,0.6
185,0.5,0.5
186,0.2,0.6
187,1,0.5
188,0.8,1.4
189,0.9,0.4
190,0.6,0.5
191,0.6,1.4
192,0.9,0.6
193,0.4,0.6
194,0.7,0.7
195,1.1,0.4
196,1.1,1
197,0.8,0.6
198,0.6,1
199,0.2,-
200,-,1
201,0.8,1.7
202,0.6,0.5
203,0.2,-
204,0.9,0.5
205,1.3,1.4
206,1.8,1.2
207,0.4,1.4
208,0.9,1.4
209,0.4,-
210,-,1.3
211,0.1,0.4
212,0.6,0.9
213,1.4,0.6
214,0.1,0.3
215,1.3,1.2
216,0.2,0.4
217,0.4,0.5
218,-,-
219,0.6,0.5
220,0.2,0.6
221,0.5,0.5
222,0.3,0.7
223,0.9,0.5
224,0.1,0.1
225,0.9,0.2
226,0.7,0.8
227,0.9,1.5
228,1.1,1.1
229,0.1,-
230,1.6,1.2
231,0.8,0.8
232,0.3,1.1
233,0.7,0.8
234,0.6,0.7
235,0.4,1
236,0.8,0.8
237,0.3,0.9
238,-,-
239,0.6,0.9
240,1,0.8
241,-,-
242,0.5,1.1
243,1,1.3
244,0.5,1
245,0.3,-
246,0.5,-
247,0.4,0.7
248,-,-
249,0.2,1
250,0.9,1.1
251,0.9,0.7
252,1.1,1.6
253,0.4,0.8
254,0.9,0.7
255,1.2,0.7
256,0.5,0.9
257,0.1,-
258,0.5,0.3
259,0.9,1.1
260,1.3,1.4
261,0.9,1.2
262,0.1,0.6
263,0.8,0.9
264,0.6,0.8
265,0.2,1.3
266,0.8,1.2
267,0.5,0.6
268,0.6,0.5
269,0.9,1.7
270,1.7,1.5
271,1.1,1.1
272,0.6,1.1
273,1,1.1
274,1.1,1.7
275,1.5,1.3
276,1.8,0.8
277,0.1,-
278,0.3,0.4
279,0.7,0.4
280,0.2,-
281,1.8,0.9
282,0.5,-
283,1.4,0.8
284,0.5,0.9
285,1.1,1
286,0.2,-
287,0.4,0.5
288,0.6,0.4
289,0.5,0.7
290,1.5,1
291,0.3,0.9
292,0.8,2
293,1.4,1.4
294,0.6,0.5
295,0.4,1.5
296,0.7,1.3
297,0.7,0.4
298,-,-
299,1.2,1.3
300,0.3,0.4
301,1.1,1.1
302,0.8,1.3
303,0.4,0.9
304,0.6,0.6
305,0.8,0.5
306,0.2,0.3
307,0.1,1.3
308,0.5,0.7
309,0.3,0.8
310,0.3,0.3
311,0.5,0.8
312,1.3,0.3
313,0.1,-
314,0.8,0.5
