,TotGs,SYBGs,PAGs,OOBGs
0,0.2,-,0.1,0.1
1,-,-,-,-
2,-,-,-,-
3,0.5,0.1,0.4,0.1
4,0.8,-,0.6,0.1
5,0.3,-,0.3,-
6,0.8,0.2,0.5,-
7,0.3,0.1,0.2,-
8,0.4,0.1,0.3,-
9,0.2,0.1,0.1,-
10,0.5,-,0.5,-
11,0.1,-,0.1,-
12,0.2,-,-,0.2
13,0.3,-,0.3,-
14,0.2,-,0.2,-
15,0.5,-,0.4,0.1
16,0.5,0.1,0.4,-
17,-,-,-,-
18,0.1,-,0.1,-
19,0.3,-,0.3,-
20,-,-,-,-
21,0.1,0.1,-,-
22,0.2,-,0.1,-
23,0.3,-,0.2,0.1
24,0.4,-,0.3,0.1
25,-,-,-,-
26,0.1,-,0.1,-
27,0.1,-,-,-
28,-,-,-,-
29,0.5,-,0.5,-
30,0.2,0.1,0.1,-
31,-,-,-,-
32,-,-,-,-
33,-,-,-,-
34,0.1,-,0.1,-
35,-,-,-,-
36,0.1,-,-,0.1
37,-,-,-,-
38,-,-,-,-
39,0.6,0.1,0.4,0.1
40,0.1,0.1,-,-
41,0.1,-,-,0.1
42,0.5,0.1,0.4,-
43,0.3,-,0.3,-
44,-,-,-,-
45,0.2,-,0.2,0.1
46,0.1,-,-,-
47,0.1,0.1,-,-
48,-,-,-,-
49,0.1,-,-,-
50,-,-,-,-
51,-,-,-,-
52,0.1,-,0.1,-
53,0.1,-,0.1,-
54,0.1,-,-,-
55,0.1,-,-,-
56,0.4,0.1,0.3,-
57,-,-,-,-
58,0.1,-,0.1,-
59,0.7,-,0.7,-
60,0.1,-,0.1,-
61,-,-,-,-
62,-,-,-,-
63,0.2,-,0.1,-
64,-,-,-,-
65,0.2,-,0.2,-
66,0.1,0.1,-,0.1
67,0.1,-,0.1,-
68,0.2,-,0.2,-
69,0.1,-,-,-
70,-,-,-,-
71,-,-,-,-
72,0.1,-,-,-
73,0.1,-,0.1,-
74,0.4,0.2,0.3,-
75,0.1,-,-,-
76,-,-,-,-
77,0.1,-,0.1,-
78,-,-,-,-
79,-,-,-,-
80,-,-,-,-
81,0.3,0.1,0.2,-
82,-,-,-,-
83,-,-,-,-
84,0.3,0.1,0.2,-
85,0.1,-,-,-
86,-,-,-,-
87,-,-,-,-
88,-,-,-,-
89,-,-,-,-
90,0.1,-,0.1,-
91,0.4,0.1,0.2,-
92,0.1,0.1,-,-
93,0.1,-,0.1,-
94,-,-,-,-
95,-,-,-,-
96,0.1,-,0.1,-
97,-,-,-,-
98,-,-,-,-
99,-,-,-,-
100,0.2,-,0.2,-
101,-,-,-,-
102,-,-,-,-
103,0.2,0.1,0.1,-
104,-,-,-,-
105,0.1,-,0.1,-
106,-,-,-,-
107,-,-,-,-
108,-,-,-,-
109,-,-,-,-
110,0.1,-,0.1,-
111,0.4,0.1,0.3,-
112,-,-,-,-
113,0.2,-,0.1,-
114,-,-,-,-
115,-,-,-,-
116,-,-,-,-
117,0.2,0.1,0.1,-
118,0.1,-,0.1,-
119,0.1,-,-,-
120,-,-,-,-
121,-,-,-,-
122,-,-,-,-
123,-,-,-,-
124,0.1,-,-,-
125,0.1,0.1,-,-
126,0.3,-,0.2,0.1
127,-,-,-,-
128,-,-,-,-
129,0.1,-,0.1,-
130,0.3,-,0.3,-
131,-,-,-,-
132,-,-,-,-
133,0.3,-,-,0.3
134,-,-,-,-
135,-,-,-,-
136,0.3,0.1,0.2,-
137,0.1,-,0.1,0.1
138,-,-,-,-
139,0.1,-,0.1,-
140,0.1,-,-,0.1
141,0.1,0.1,-,0.1
142,-,-,-,-
143,0.1,0.1,0.1,-
144,-,-,-,-
145,-,-,-,-
146,0.4,-,0.3,0.1
147,0.1,-,0.1,-
148,-,-,-,-
149,-,-,-,-
150,-,-,-,-
151,-,-,-,-
152,0.1,-,0.1,-
153,0.1,-,0.1,-
154,-,-,-,-
155,-,-,-,-
156,-,-,-,-
157,0.1,-,0.1,-
158,-,-,-,-
159,-,-,-,-
160,0.3,-,0.1,0.2
161,-,-,-,-
162,0.1,-,-,0.1
163,0.1,-,0.1,-
164,0.1,-,-,0.1
165,-,-,-,-
166,-,-,-,-
167,0.1,-,-,0.1
168,0.1,-,0.1,-
169,-,-,-,-
170,-,-,-,-
171,-,-,-,-
172,0.1,-,-,-
173,-,-,-,-
174,0.1,-,-,-
175,0.1,-,0.1,-
176,0.2,-,0.1,-
177,0.1,-,0.1,-
178,0.4,0.2,0.3,-
179,-,-,-,-
180,-,-,-,-
181,0.1,-,0.1,-
182,0.1,-,-,-
183,-,-,-,-
184,0.1,-,0.1,-
185,-,-,-,-
186,-,-,-,-
187,0.1,-,-,-
188,0.1,0.1,0.1,-
189,-,-,-,-
190,-,-,-,-
191,0.2,-,0.2,-
192,-,-,-,-
193,-,-,-,-
194,-,-,-,-
195,0.1,-,0.1,-
196,-,-,-,-
197,0.4,0.1,0.2,-
198,0.2,-,0.1,-
199,-,-,-,-
200,-,-,-,-
201,-,-,-,-
202,0.1,-,0.1,-
203,-,-,-,-
204,0.2,0.1,0.1,-
205,-,-,-,-
206,-,-,-,-
207,-,-,-,-
208,0.1,-,0.1,-
209,-,-,-,-
210,-,-,-,-
211,-,-,-,-
212,0.1,-,-,-
213,-,-,-,-
214,0.3,0.1,0.1,-
215,0.1,0.1,-,-
216,-,-,-,-
217,-,-,-,-
218,-,-,-,-
219,0.1,0.1,-,-
220,-,-,-,-
221,-,-,-,-
222,-,-,-,-
223,0.1,-,-,0.1
224,-,-,-,-
225,0.2,-,0.1,0.1
226,0.1,-,0.1,-
227,0.1,-,0.1,-
228,-,-,-,-
229,-,-,-,-
230,0.3,0.1,0.2,-
231,-,-,-,-
232,-,-,-,-
233,-,-,-,-
234,-,-,-,-
235,-,-,-,-
236,-,-,-,-
237,0.2,0.2,-,-
238,-,-,-,-
239,0.1,-,-,-
240,-,-,-,-
241,-,-,-,-
242,-,-,-,-
243,-,-,-,-
244,0.1,-,-,-
245,-,-,-,-
246,-,-,-,-
247,-,-,-,-
248,-,-,-,-
249,-,-,-,-
250,0.1,-,0.1,-
251,-,-,-,-
252,-,-,-,-
253,-,-,-,-
254,0.1,-,-,-
255,0.2,-,0.1,-
256,-,-,-,-
257,-,-,-,-
258,-,-,-,-
259,-,-,-,-
260,-,-,-,-
261,0.3,-,0.3,-
262,0.1,-,-,-
263,0.1,-,0.1,-
264,-,-,-,-
265,-,-,-,-
266,0.1,-,0.1,-
267,0.2,-,0.1,0.1
268,0.1,-,0.1,-
269,-,-,-,-
270,0.1,-,0.1,-
271,-,-,-,-
272,0.2,-,0.2,-
273,-,-,-,-
274,0.1,0.1,0.1,-
275,0.1,-,0.1,-
276,0.1,-,-,0.1
277,-,-,-,-
278,0.1,0.1,0.1,-
279,-,-,-,-
280,-,-,-,-
281,-,-,-,-
282,-,-,-,-
283,-,-,-,-
284,-,-,-,-
285,-,-,-,-
286,-,-,-,-
287,0.1,-,0.1,-
288,-,-,-,-
289,-,-,-,-
290,0.1,-,-,-
291,0.1,-,-,0.1
292,-,-,-,-
293,0.2,-,0.1,-
294,-,-,-,-
295,0.1,-,0.1,-
296,0.2,-,-,0.1
297,0.3,-,0.2,-
298,-,-,-,-
299,0.1,-,-,-
300,-,-,-,-
301,-,-,-,-
302,-,-,-,-
303,0.2,0.1,0.1,-
304,0.1,-,0.1,-
305,-,-,-,-
306,-,-,-,-
307,0.1,0.1,-,-
308,-,-,-,-
309,0.1,-,-,-
310,0.1,-,-,0.1
311,-,-,-,-
312,-,-,-,-
313,-,-,-,-
314,-,-,-,-
315,-,-,-,-
316,-,-,-,-
317,-,-,-,-
318,-,-,-,-
319,0.1,-,0.1,-
320,-,-,-,-
321,0.1,-,0.1,-
322,-,-,-,-
323,-,-,-,-
324,0.1,-,-,-
325,-,-,-,-
326,-,-,-,-
327,0.1,-,0.1,-
328,-,-,-,-
329,-,-,-,-
330,-,-,-,-
331,0.1,-,0.1,-
332,-,-,-,-
333,-,-,-,-
334,0.1,0.1,-,-
335,-,-,-,-
336,-,-,-,-
337,-,-,-,-
338,0.1,-,-,0.1
339,-,-,-,-
340,-,-,-,-
341,-,-,-,-
342,-,-,-,-
343,0.1,-,0.1,-
344,0.1,0.1,0.1,-
345,-,-,-,-
346,0.1,-,0.1,-
347,-,-,-,-
348,-,-,-,-
349,-,-,-,-
350,0.1,-,-,-
351,0.1,-,0.1,-
352,-,-,-,-
353,-,-,-,-
354,-,-,-,-
355,-,-,-,-
356,-,-,-,-
357,-,-,-,-
358,-,-,-,-
359,-,-,-,-
360,-,-,-,-
361,-,-,-,-
362,-,-,-,-
363,-,-,-,-
364,-,-,-,-
365,-,-,-,-
366,-,-,-,-
367,-,-,-,-
368,-,-,-,-
369,0.1,-,0.1,-
370,0.1,-,0.1,-
371,-,-,-,-
372,0.1,0.1,-,0.1
373,0.1,-,0.1,-
374,-,-,-,-
375,-,-,-,-
376,-,-,-,-
377,0.2,0.1,0.2,-
378,-,-,-,-
379,0.3,0.1,0.2,-
380,0.2,0.1,0.1,-
381,-,-,-,-
382,-,-,-,-
383,-,-,-,-
384,-,-,-,-
385,-,-,-,-
386,0.1,-,0.1,-
387,-,-,-,-
388,-,-,-,-
389,-,-,-,-
390,-,-,-,-
391,0.1,-,0.1,-
392,0.2,0.2,-,-
393,-,-,-,-
394,0.1,-,0.1,-
395,-,-,-,-
396,-,-,-,-
397,-,-,-,-
398,0.2,0.1,0.2,-
399,-,-,-,-
400,0.1,-,-,0.1
401,-,-,-,-
402,-,-,-,-
403,-,-,-,-
404,-,-,-,-
405,0.1,0.1,-,-
406,-,-,-,-
407,0.1,-,0.1,-
408,-,-,-,-
409,-,-,-,-
410,-,-,-,-
411,-,-,-,-
412,0.1,-,-,0.1
413,0.1,-,0.1,-
414,0.1,-,0.1,-
415,-,-,-,-
416,-,-,-,-
417,0.1,-,-,0.1
418,0.1,-,0.1,-
419,-,-,-,-
420,0.1,-,0.1,-
421,-,-,-,-
422,-,-,-,-
423,-,-,-,-
424,-,-,-,-
425,-,-,-,-
426,-,-,-,-
427,0.1,0.1,-,0.1
428,-,-,-,-
429,-,-,-,-
430,-,-,-,-
431,-,-,-,-
432,-,-,-,-
433,-,-,-,-
434,0.1,-,0.1,-
435,-,-,-,-
436,0.1,-,0.1,-
437,-,-,-,-
438,0.1,-,-,-
439,-,-,-,-
440,-,-,-,-
441,-,-,-,-
442,0.2,-,0.2,-
443,-,-,-,-
444,-,-,-,-
445,-,-,-,-
446,-,-,-,-
447,0.1,-,0.1,-
448,-,-,-,-
449,-,-,-,-
450,0.1,-,0.1,-
451,-,-,-,-
452,-,-,-,-
453,-,-,-,-
454,-,-,-,-
455,-,-,-,-
456,0.2,-,0.1,0.1
457,0.1,-,0.1,-
458,-,-,-,-
459,0.2,-,0.2,-
460,0.1,-,0.1,-
461,-,-,-,-
462,0.1,0.1,-,-
463,-,-,-,-
464,-,-,-,-
465,-,-,-,-
466,0.1,-,-,-
467,0.1,-,0.1,0.1
468,-,-,-,-
469,0.1,-,0.1,-
470,-,-,-,-
471,-,-,-,-
472,-,-,-,-
473,-,-,-,-
474,-,-,-,-
475,-,-,-,-
476,-,-,-,-
477,-,-,-,-
478,-,-,-,-
479,-,-,-,-
480,-,-,-,-
481,-,-,-,-
482,-,-,-,-
483,0.1,-,0.1,-
484,-,-,-,-
485,-,-,-,-
486,-,-,-,-
487,-,-,-,-
488,-,-,-,-
489,-,-,-,-
490,-,-,-,-
491,0.1,-,0.1,-
492,-,-,-,-
493,-,-,-,-
494,-,-,-,-
495,-,-,-,-
496,-,-,-,-
497,-,-,-,-
498,-,-,-,-
499,-,-,-,-
500,-,-,-,-
501,-,-,-,-
502,-,-,-,-
503,-,-,-,-
504,-,-,-,-
505,-,-,-,-
506,-,-,-,-
507,0.1,-,0.1,-
508,-,-,-,-
509,-,-,-,-
510,-,-,-,-
511,-,-,-,-
512,0.1,0.1,-,-
513,0.1,-,0.1,-
514,-,-,-,-
515,-,-,-,-
516,-,-,-,-
517,-,-,-,-
518,-,-,-,-
519,0.1,-,0.1,-
520,-,-,-,-
521,-,-,-,-
522,-,-,-,-
523,-,-,-,-
524,-,-,-,-
525,-,-,-,-
526,-,-,-,-
527,-,-,-,-
528,-,-,-,-
529,-,-,-,-
530,-,-,-,-
531,-,-,-,-
532,-,-,-,-
533,-,-,-,-
534,-,-,-,-
535,-,-,-,-
536,-,-,-,-
537,-,-,-,-
538,-,-,-,-
539,-,-,-,-
540,-,-,-,-
541,-,-,-,-
542,-,-,-,-
543,-,-,-,-
544,-,-,-,-
545,-,-,-,-
546,-,-,-,-
547,-,-,-,-
548,-,-,-,-
549,-,-,-,-
550,-,-,-,-
551,-,-,-,-
552,-,-,-,-
553,-,-,-,-
554,0.1,-,0.1,-
555,-,-,-,-
556,-,-,-,-
557,-,-,-,-
558,-,-,-,-
559,-,-,-,-
560,-,-,-,-
561,-,-,-,-
562,-,-,-,-
563,-,-,-,-
564,-,-,-,-
565,-,-,-,-
566,-,-,-,-
567,-,-,-,-
568,-,-,-,-
569,-,-,-,-
570,-,-,-,-
571,-,-,-,-
572,-,-,-,-
573,-,-,-,-
574,-,-,-,-
575,-,-,-,-
576,-,-,-,-
577,-,-,-,-
578,-,-,-,-
579,-,-,-,-
580,-,-,-,-
581,-,-,-,-
582,-,-,-,-
583,-,-,-,-
584,-,-,-,-
585,-,-,-,-
586,-,-,-,-
