,TotInt
0,0.4
1,3
2,-
3,0.3
4,-
5,0.6
6,0.1
7,0.9
8,0.1
9,0.8
10,0.5
11,0.8
12,1.6
13,0.6
14,0.4
15,0.2
16,0.3
17,-
18,1
19,0.2
20,1
21,1.1
22,0.2
23,0.2
24,0.4
25,0.7
26,1.7
27,1.4
28,-
29,0.1
30,0.4
31,1.3
32,-
33,0.7
34,1.8
35,2.1
36,0.9
37,1.1
38,1
39,0.2
40,0.8
41,0.8
42,-
43,0.6
44,1.5
45,0.2
46,0.8
47,1.3
48,0.8
49,0.6
50,1.1
51,-
52,1.3
53,1.4
54,0.9
55,1.4
56,0.2
57,0.7
58,1.2
59,-
60,1.2
61,-
62,-
63,0.3
64,1.4
65,0.1
66,0.4
67,1
68,1.1
69,0.5
70,-
71,0.6
72,1
73,0.4
74,-
75,0.8
76,1
77,1
78,1.7
79,1
80,0.4
81,0.3
82,1
83,0.9
84,-
85,0.9
86,0.6
87,1.2
88,0.2
89,1.1
90,1.1
91,0.2
92,1
93,0.3
94,1
95,1.1
96,0.4
97,0.7
98,0.8
99,0.4
100,0.4
101,-
102,1
103,0.3
104,-
105,0.5
106,1
107,2
108,1.1
109,0.9
110,0.7
111,-
112,0.9
113,0.7
114,-
115,0.6
116,1.3
117,0.5
118,1.1
119,0.2
120,1.1
121,0.9
122,0.4
123,0.6
124,0.2
125,0.4
126,0.6
127,-
128,0.8
129,0.6
130,0.3
131,0.6
132,0.7
133,0.3
134,0.4
135,2
136,0.4
137,0.4
138,0.8
139,0.4
140,0.4
141,1
142,0.3
143,0.4
144,0.5
145,0.7
146,0.2
147,0.7
148,-
149,1
150,0.1
151,-
152,0.7
153,0.7
154,1.5
155,1
156,-
157,0.3
158,-
159,1
160,0.3
161,0.3
162,0.8
163,0.6
164,0.2
165,-
166,-
167,0.3
168,0.2
169,-
170,-
171,0.8
172,1.1
173,0.8
174,0.5
175,0.3
176,0.4
177,0.8
178,0.1
179,0.8
180,-
181,0.7
182,1.2
183,1
184,0.9
185,0.3
186,0.6
187,0.3
188,1.2
189,0.5
190,0.5
191,0.8
192,0.8
193,0.8
194,0.2
195,0.1
196,1
197,0.1
198,0.3
199,-
200,0.3
201,1.3
202,1
203,-
204,0.4
205,1.9
206,0.9
207,1
208,0.2
209,-
210,0.5
211,1.8
212,1.2
213,0.4
214,0.4
215,0.3
216,0.4
217,0.8
218,1.5
219,0.4
220,0.8
221,0.9
222,0.4
223,0.2
224,-
225,-
226,0.2
227,1.1
228,0.8
229,-
230,0.4
231,0.9
232,0.4
233,0.8
234,1.1
235,0.8
236,0.9
237,1.1
238,-
239,0.1
240,0.3
241,-
242,0.7
243,0.8
244,1
245,-
246,-
247,0.7
248,-
249,1.4
250,0.5
251,0.7
252,1.3
253,1
254,0.5
255,0.2
256,0.2
257,-
258,0.5
259,0.5
260,0.4
261,0.2
262,0.6
263,0.5
264,0.7
265,1
266,0.4
267,-
268,0.2
269,1.3
270,0.3
271,0.6
272,0.2
273,1.1
274,0.4
275,-
276,0.5
277,-
278,0.4
279,1
280,-
281,0.4
282,-
283,0.8
284,1.7
285,0.5
286,-
287,0.2
288,0.4
289,0.1
290,0.8
291,0.8
292,1.3
293,0.3
294,0.3
295,0.2
296,0.4
297,0.1
298,-
299,0.2
300,0.3
301,0.8
302,0.7
303,0.1
304,0.7
305,0.4
306,0.8
307,0.7
308,0.8
309,0.4
310,0.3
311,0.5
312,-
313,-
314,0.5
315,0.9
316,0.4
317,0.8
318,0.2
319,0.5
320,-
321,0.4
322,0.4
323,0.6
324,0.3
325,0.5
326,0.8
327,0.4
328,0.3
329,0.5
330,0.8
331,0.7
332,0.5
333,0.7
334,0.1
335,0.8
336,1.8
337,0.5
338,0.9
339,0.4
340,0.3
341,1.3
342,1
343,0.1
344,0.1
345,1
346,0.1
347,0.2
348,0.6
349,0.5
350,0.2
351,-
352,0.8
353,0.3
354,0.5
355,0.5
356,0.6
357,0.6
358,0.3
359,-
360,0.1
361,0.5
362,0.4
363,0.4
364,0.4
365,0.2
366,-
367,0.7
368,0.8
369,0.8
370,0.3
371,0.3
372,0.1
373,0.7
374,1.1
375,0.3
376,0.1
377,0.2
378,0.9
379,0.2
380,-
381,0.4
382,0.4
383,1
384,0.4
385,0.3
386,0.2
387,0.5
388,0.6
389,0.3
390,0.5
391,0.3
392,0.2
393,0.4
394,0.3
395,0.6
396,0.2
397,0.1
398,-
399,0.2
400,0.6
401,0.3
402,-
403,0.4
404,0.6
405,0.3
406,0.4
407,0.3
408,0.9
409,0.1
410,0.3
411,0.8
412,0.3
413,0.1
414,0.2
415,0.4
416,-
417,-
418,0.1
419,0.4
420,-
421,-
422,0.3
423,0.8
424,0.5
425,0.6
426,-
427,0.1
428,0.1
429,0.1
430,0.1
431,0.3
432,0.3
433,0.4
434,-
435,0.5
436,0.1
437,-
438,-
439,0.6
440,-
441,0.4
442,0.1
443,0.3
444,-
445,-
446,1
447,0.3
448,0.3
449,0.7
450,-
451,0.7
452,-
453,-
454,0.7
455,0.2
456,-
457,0.1
458,0.7
459,0.2
460,0.1
461,0.3
462,0.1
463,-
464,-
465,0.3
466,-
467,0.1
468,1
469,-
470,0.1
471,-
472,0.1
473,0.1
474,1.5
475,-
476,-
477,0.3
478,-
479,0.2
480,-
481,0.1
482,0.2
483,0.1
484,-
485,1
486,-
487,-
488,-
489,0.6
490,-
491,0.2
492,0.4
493,0.2
494,0.5
495,-
496,-
497,0.1
498,0.1
499,-
500,0.2
501,-
502,1
503,-
504,0.3
505,0.2
506,0.3
507,-
508,0.4
509,0.3
510,0.9
511,1
512,0.3
513,0.1
514,0.2
515,0.1
516,-
517,-
518,-
519,0.1
520,-
521,-
522,-
523,0.2
524,0.3
525,-
526,0.1
527,0.2
528,-
529,-
530,0.7
531,0.5
532,0.2
533,0.1
534,0.6
535,-
536,-
537,-
538,-
539,0.1
540,0.1
541,-
542,-
543,-
544,-
545,0.3
546,-
547,1
548,0.5
549,-
550,-
551,0.3
552,1
553,-
554,-
555,-
556,1
557,-
558,-
559,0.5
560,-
561,-
562,-
563,1
564,-
565,-
566,-
567,-
568,-
569,-
570,-
571,0.6
572,-
573,-
574,-
575,-
576,-
577,-
578,-
579,-
580,-
581,-
582,-
583,-
584,-
585,-
586,-
