,TotKPs,LKPs,SKPs
0,1.9,0.2,1.7
1,-,-,-
2,-,-,-
3,2.7,0.5,2.1
4,1.4,0.1,1.3
5,0.9,0.2,0.7
6,0.6,-,0.6
7,1.3,-,1.3
8,2,0.3,1.7
9,3.1,1,2.1
10,2.7,0.9,1.8
11,1.8,0.3,1.6
12,1.1,0.2,0.9
13,2.7,0.5,2.2
14,1.6,0.4,1.3
15,1.1,0.1,1
16,1,0.1,0.9
17,-,-,-
18,0.5,0.2,0.3
19,1.5,0.3,1.2
20,-,-,-
21,0.5,-,0.5
22,1.4,0.3,1.1
23,1.8,0.3,1.4
24,1.1,0.1,1
25,0.6,0.2,0.5
26,0.2,0.1,0.1
27,0.1,-,0.1
28,-,-,-
29,0.5,-,0.5
30,1.3,-,1.3
31,0.8,-,0.8
32,1.5,1,0.5
33,0.3,0.2,0.1
34,0.3,-,0.3
35,0.1,0.1,-
36,0.6,0.1,0.5
37,0.4,0.1,0.2
38,1.4,0.1,1.3
39,0.7,-,0.7
40,0.4,-,0.4
41,1,0.1,0.9
42,0.9,0.1,0.8
43,1.5,0.4,1
44,0.1,-,0.1
45,1.4,0.3,1.1
46,0.9,0.1,0.8
47,0.6,-,0.6
48,1,0.5,0.6
49,1,0.1,0.9
50,1.2,0.4,0.8
51,-,-,-
52,0.4,-,0.4
53,0.3,-,0.3
54,0.4,-,0.4
55,0.2,0.1,0.1
56,0.7,-,0.7
57,2.1,0.6,1.5
58,0.5,-,0.5
59,0.3,0.3,-
60,0.6,0.1,0.4
61,3,0.5,2.5
62,-,-,-
63,1.3,0.3,1
64,0.3,-,0.2
65,1.1,0.1,1
66,1.3,0.4,0.8
67,0.3,0.1,0.2
68,0.7,-,0.6
69,1.5,0.6,0.9
70,-,-,-
71,0.5,-,0.5
72,-,-,-
73,1.8,0.5,1.3
74,0.4,-,0.4
75,1.8,0.6,1.2
76,0.1,0.1,-
77,-,-,-
78,0.4,0.1,0.3
79,0.2,0.1,0.1
80,0.6,0.1,0.4
81,1,-,1
82,1,0.3,0.7
83,0.4,-,0.3
84,0.7,-,0.7
85,0.8,0.1,0.7
86,0.2,0.1,0.2
87,0.9,0.1,0.8
88,0.9,0.1,0.8
89,0.4,0.1,0.4
90,0.6,0.1,0.4
91,0.2,-,0.2
92,0.2,-,0.2
93,0.8,0.1,0.7
94,0.5,0.1,0.5
95,0.2,-,0.2
96,1.4,0.2,1.2
97,0.8,0.2,0.6
98,0.9,0.3,0.6
99,0.3,0.1,0.2
100,1.4,0.2,1.2
101,1.2,0.1,1.1
102,0.4,-,0.3
103,1.2,0.4,0.8
104,-,-,-
105,0.8,0.1,0.7
106,-,-,-
107,0.5,0.1,0.4
108,0.2,0.1,0.2
109,1,0.1,0.9
110,0.1,-,0.1
111,0.4,-,0.4
112,0.3,0.1,0.3
113,1,0.3,0.7
114,-,-,-
115,0.3,-,0.3
116,0.6,0.2,0.4
117,1.1,0.1,1
118,0.1,0.1,-
119,1.2,0.2,1
120,0.3,0.1,0.2
121,0.7,-,0.7
122,1.4,0.8,0.7
123,1.4,0.3,1.1
124,1,-,1
125,0.8,0.2,0.7
126,0.8,0.2,0.6
127,-,-,-
128,0.2,-,0.2
129,1,-,0.9
130,1.2,0.2,1
131,1.1,0.1,1
132,1.3,0.8,0.5
133,0.3,0.3,-
134,0.2,-,0.2
135,1,-,1
136,0.5,-,0.5
137,0.4,-,0.4
138,0.7,0.1,0.7
139,0.7,0.1,0.6
140,0.7,0.2,0.5
141,0.9,0.1,0.7
142,0.3,-,0.3
143,0.9,0.5,0.4
144,1.1,-,1
145,0.6,0.1,0.4
146,0.6,-,0.6
147,0.6,0.2,0.5
148,0.2,0.2,-
149,0.5,0.1,0.4
150,-,-,-
151,-,-,-
152,0.4,-,0.4
153,0.9,0.2,0.7
154,0.6,0.1,0.5
155,0.1,0.1,-
156,-,-,-
157,1.1,0.1,1
158,1.2,0.3,0.9
159,0.1,-,-
160,0.8,0.1,0.7
161,0.2,-,0.1
162,0.6,-,0.6
163,0.1,-,0.1
164,1.2,0.2,1
165,-,-,-
166,-,-,-
167,0.2,0.1,0.1
168,0.8,0.1,0.7
169,-,-,-
170,-,-,-
171,0.8,0.2,0.6
172,0.1,0.1,-
173,1.2,0.2,1
174,1.2,0.5,0.7
175,0.8,-,0.8
176,1.3,0.5,0.7
177,0.8,0.1,0.7
178,0.4,-,0.4
179,0.7,-,0.6
180,-,-,-
181,0.1,0.1,0.1
182,0.2,-,0.2
183,0.4,-,0.4
184,0.6,0.1,0.5
185,0.2,0.1,0.1
186,0.8,0.2,0.6
187,0.6,-,0.5
188,0.6,-,0.5
189,0.8,0.1,0.7
190,0.9,-,0.9
191,0.4,-,0.4
192,0.6,-,0.6
193,0.6,0.1,0.4
194,0.9,-,0.9
195,0.7,-,0.7
196,0.4,0.1,0.4
197,0.7,-,0.7
198,0.7,-,0.7
199,-,-,-
200,-,-,-
201,-,-,-
202,1.4,-,1.4
203,-,-,-
204,1,-,0.9
205,0.5,-,0.5
206,0.4,-,0.4
207,0.2,-,0.1
208,0.2,-,0.2
209,-,-,-
210,0.3,-,0.3
211,0.2,0.1,0.1
212,0.2,-,0.2
213,1,0.1,0.9
214,0.1,-,0.1
215,1.1,0.3,0.8
216,0.5,0.1,0.4
217,0.2,0.1,0.1
218,-,-,-
219,0.6,0.1,0.5
220,0.1,-,0.1
221,1.5,0.4,1.2
222,0.3,0.1,0.3
223,0.9,0.3,0.6
224,0.1,0.1,-
225,0.8,0.3,0.5
226,0.8,0.1,0.7
227,0.5,0.2,0.4
228,0.2,-,0.1
229,-,-,-
230,0.5,-,0.5
231,0.9,0.3,0.7
232,1,0.4,0.6
233,0.4,0.1,0.3
234,0.5,-,0.5
235,0.3,-,0.3
236,0.7,-,0.6
237,0.1,-,0.1
238,-,-,-
239,0.8,-,0.8
240,1.2,0.3,0.9
241,-,-,-
242,-,-,-
243,0.2,0.1,0.1
244,0.4,-,0.3
245,-,-,-
246,1,-,1
247,0.4,-,0.4
248,0.1,0.1,-
249,0.5,0.1,0.4
250,0.9,0.1,0.8
251,0.7,0.2,0.5
252,0.3,0.1,0.2
253,0.1,-,0.1
254,0.5,0.1,0.4
255,1,-,0.9
256,0.8,0.1,0.6
257,-,-,-
258,0.1,-,0.1
259,0.2,0.1,0.1
260,0.5,0.2,0.3
261,0.5,0.1,0.4
262,0.1,-,0.1
263,0.7,0.2,0.5
264,0.5,-,0.5
265,0.5,-,0.5
266,0.3,-,0.3
267,0.4,-,0.4
268,0.9,-,0.9
269,0.6,-,0.6
270,0.9,0.1,0.8
271,0.7,-,0.6
272,0.4,-,0.4
273,0.1,-,0.1
274,0.9,0.3,0.6
275,0.6,-,0.6
276,0.7,-,0.6
277,-,-,-
278,0.7,-,0.7
279,-,-,-
280,0.1,0.1,-
281,0.7,0.1,0.6
282,-,-,-
283,0.8,-,0.8
284,0.1,-,0.1
285,0.9,0.2,0.8
286,-,-,-
287,0.8,-,0.8
288,0.8,0.1,0.7
289,0.5,0.2,0.4
290,0.6,0.1,0.5
291,0.5,0.1,0.4
292,0.4,0.2,0.2
293,0.5,-,0.5
294,-,-,-
295,0.7,0.1,0.6
296,0.6,-,0.6
297,0.4,-,0.4
298,0.1,0.1,-
299,0.5,-,0.5
300,0.1,-,0.1
301,0.3,-,0.3
302,0.3,-,0.3
303,0.8,0.1,0.8
304,0.6,0.1,0.4
305,1.2,0.3,0.9
306,0.2,0.1,0.1
307,-,-,-
308,0.3,0.1,0.2
309,0.7,-,0.7
310,0.9,0.3,0.6
311,1,0.5,0.5
312,0.7,-,0.7
313,-,-,-
314,0.3,-,0.3
315,-,-,-
316,0.6,-,0.6
317,0.6,0.2,0.4
318,0.6,0.1,0.5
319,0.5,0.1,0.4
320,-,-,-
321,0.2,-,0.2
322,-,-,-
323,0.1,-,0.1
324,0.7,-,0.6
325,0.6,0.2,0.4
326,0.5,0.1,0.4
327,0.6,-,0.5
328,0.1,-,0.1
329,0.1,-,0.1
330,0.2,-,0.2
331,0.3,-,0.3
332,0.2,-,0.2
333,0.3,0.1,0.3
334,0.3,-,0.3
335,0.6,-,0.5
336,-,-,-
337,0.5,-,0.5
338,0.2,0.1,0.2
339,0.4,-,0.4
340,0.2,-,0.2
341,0.8,0.2,0.7
342,0.4,0.1,0.3
343,0.4,-,0.4
344,0.2,0.1,0.1
345,0.9,0.3,0.6
346,0.9,0.3,0.6
347,0.8,0.4,0.3
348,0.5,0.2,0.3
349,0.5,-,0.5
350,1,0.3,0.7
351,0.8,-,0.8
352,0.1,-,0.1
353,0.3,-,0.3
354,0.3,0.3,-
355,0.1,-,0.1
356,-,-,-
357,0.2,-,0.2
358,0.3,-,0.3
359,-,-,-
360,0.9,-,0.9
361,0.3,-,0.3
362,0.6,0.1,0.5
363,0.8,-,0.8
364,0.5,0.2,0.3
365,0.3,0.2,0.2
366,-,-,-
367,0.1,-,0.1
368,0.3,-,0.3
369,0.1,-,0.1
370,0.4,0.1,0.4
371,0.9,0.3,0.6
372,0.8,0.2,0.7
373,0.3,-,0.3
374,-,-,-
375,0.3,-,0.3
376,0.4,-,0.4
377,0.4,0.1,0.3
378,0.2,-,0.2
379,0.2,-,0.2
380,0.3,-,0.3
381,0.2,-,0.2
382,0.6,0.1,0.5
383,0.5,-,0.5
384,0.8,0.2,0.6
385,0.9,0.3,0.6
386,0.4,-,0.4
387,0.3,-,0.3
388,0.9,0.3,0.6
389,0.3,-,0.3
390,0.4,0.1,0.3
391,0.4,-,0.4
392,0.2,-,0.2
393,0.9,0.4,0.6
394,0.7,0.1,0.5
395,0.2,0.1,0.1
396,0.3,-,0.3
397,0.4,-,0.4
398,0.3,-,0.3
399,0.8,-,0.8
400,0.1,-,0.1
401,0.5,0.3,0.3
402,0.1,-,0.1
403,0.6,0.1,0.4
404,0.2,-,0.2
405,0.4,-,0.4
406,0.5,0.1,0.4
407,0.3,-,0.3
408,0.1,-,0.1
409,0.3,-,0.3
410,0.3,-,0.3
411,0.1,-,0.1
412,0.6,0.1,0.5
413,0.3,-,0.3
414,0.3,-,0.3
415,0.1,-,0.1
416,-,-,-
417,-,-,-
418,0.3,0.1,0.2
419,0.6,-,0.6
420,0.4,-,0.4
421,-,-,-
422,0.7,-,0.7
423,0.3,0.1,0.3
424,0.1,-,0.1
425,0.6,-,0.6
426,0.1,0.1,-
427,0.4,-,0.4
428,0.4,-,0.4
429,0.3,-,0.3
430,0.9,0.3,0.6
431,0.5,-,0.5
432,0.2,-,0.2
433,0.5,-,0.5
434,0.4,-,0.4
435,0.3,0.2,0.1
436,0.7,0.2,0.5
437,0.3,-,0.3
438,0.4,-,0.4
439,-,-,-
440,0.5,-,0.5
441,0.1,-,-
442,0.5,-,0.5
443,-,-,-
444,0.8,-,0.8
445,0.4,-,0.4
446,0.5,0.5,-
447,0.4,0.1,0.4
448,0.1,-,0.1
449,0.4,0.1,0.3
450,0.4,-,0.4
451,0.1,-,0.1
452,-,-,-
453,1,-,1
454,-,-,-
455,0.1,-,0.1
456,0.2,-,0.2
457,0.5,-,0.5
458,-,-,-
459,0.2,-,0.2
460,0.2,-,0.2
461,0.3,-,0.3
462,0.2,-,0.2
463,-,-,-
464,0.7,-,0.7
465,0.5,0.3,0.2
466,0.1,-,0.1
467,0.1,-,0.1
468,0.1,-,0.1
469,0.1,-,0.1
470,0.4,-,0.4
471,-,-,-
472,0.3,0.1,0.2
473,0.2,-,0.2
474,-,-,-
475,0.1,-,0.1
476,-,-,-
477,0.6,-,0.6
478,-,-,-
479,0.3,-,0.3
480,-,-,-
481,0.3,0.1,0.2
482,0.5,0.1,0.4
483,0.3,-,0.3
484,0.5,0.1,0.4
485,-,-,-
486,0.2,-,0.2
487,0.5,-,0.5
488,-,-,-
489,0.1,0.1,-
490,0.8,0.1,0.6
491,0.1,-,0.1
492,0.3,0.1,0.2
493,0.5,0.1,0.4
494,-,-,-
495,-,-,-
496,0.5,0.3,0.3
497,0.6,-,0.6
498,0.1,-,0.1
499,-,-,-
500,0.4,0.1,0.3
501,-,-,-
502,-,-,-
503,0.5,-,0.5
504,0.3,-,0.3
505,0.7,0.2,0.5
506,0.3,-,0.3
507,0.1,-,0.1
508,0.2,0.1,0.1
509,0.3,-,0.3
510,-,-,-
511,-,-,-
512,0.1,-,0.1
513,0.1,-,0.1
514,0.2,-,0.2
515,0.8,0.3,0.5
516,-,-,-
517,-,-,-
518,0.3,-,0.3
519,0.1,-,0.1
520,-,-,-
521,1,-,1
522,-,-,-
523,0.1,-,0.1
524,0.3,0.1,0.1
525,-,-,-
526,0.1,-,0.1
527,0.2,0.1,0.1
528,-,-,-
529,1,-,1
530,0.3,-,0.3
531,0.1,-,0.1
532,0.1,-,0.1
533,0.4,-,0.4
534,0.5,0.1,0.4
535,-,-,-
536,-,-,-
537,-,-,-
538,-,-,-
539,0.1,-,0.1
540,-,-,-
541,-,-,-
542,-,-,-
543,0.6,-,0.6
544,-,-,-
545,-,-,-
546,-,-,-
547,-,-,-
548,-,-,-
549,-,-,-
550,-,-,-
551,0.2,-,0.2
552,-,-,-
553,-,-,-
554,0.3,0.1,0.2
555,-,-,-
556,-,-,-
557,-,-,-
558,-,-,-
559,0.5,-,0.5
560,-,-,-
561,-,-,-
562,-,-,-
563,-,-,-
564,-,-,-
565,-,-,-
566,-,-,-
567,-,-,-
568,-,-,-
569,-,-,-
570,-,-,-
571,-,-,-
572,-,-,-
573,-,-,-
574,-,-,-
575,-,-,-
576,-,-,-
577,-,-,-
578,-,-,-
579,-,-,-
580,-,-,-
581,-,-,-
582,-,-,-
583,-,-,-
584,-,-,-
585,-,-,-
586,-,-,-
