,UnTch,Dispo
0,3,1.4
1,-,-
2,-,-
3,1.5,0.9
4,2.4,1.4
5,3.3,0.8
6,2.3,1.4
7,1.7,1.2
8,2.3,1.6
9,1.4,1.1
10,2.6,1.4
11,1.4,1
12,1,-
13,3.3,1.3
14,1.6,0.5
15,1.7,1.1
16,2.1,1.1
17,-,-
18,0.5,0.3
19,3.1,1.6
20,-,1
21,0.5,0.1
22,2.1,1.6
23,1.7,1.4
24,2.2,0.8
25,0.4,0.1
26,0.5,0.3
27,0.4,0.2
28,0.1,-
29,2.3,1.2
30,2,1.2
31,1.8,0.5
32,2.5,1.5
33,0.4,0.2
34,1.4,0.9
35,0.8,-
36,0.4,0.6
37,0.9,0.3
38,0.7,0.4
39,2.1,1.6
40,0.2,0.1
41,1.8,1.5
42,1.5,1.1
43,2,1.4
44,0.8,0.3
45,1.2,0.6
46,0.9,0.3
47,1,0.8
48,1.6,1.1
49,1.3,0.4
50,0.7,0.2
51,-,-
52,0.6,0.4
53,1.3,0.7
54,0.2,0.2
55,0.4,0.1
56,2.4,1.3
57,1.6,0.5
58,1.1,0.5
59,1,-
60,1.1,0.4
61,2,3
62,-,-
63,1.4,1.2
64,0.5,0.2
65,1.1,0.6
66,1.1,0.6
67,0.3,-
68,1.8,1.2
69,1.3,0.4
70,-,-
71,1.3,0.7
72,0.7,0.2
73,2.2,1.2
74,1.9,0.9
75,0.7,0.3
76,0.6,0.3
77,0.5,-
78,0.9,0.7
79,0.3,-
80,0.9,0.6
81,2,0.9
82,1.4,0.4
83,1,0.3
84,2.4,0.7
85,0.9,0.7
86,0.3,0.3
87,1.6,0.8
88,1.5,0.9
89,1.3,1.1
90,0.6,0.3
91,3.1,0.9
92,0.3,0.1
93,1.4,0.9
94,0.7,0.6
95,0.3,-
96,1.3,0.3
97,0.5,0.3
98,0.6,0.1
99,0.2,-
100,2.5,1.4
101,1.4,0.4
102,0.7,0.4
103,2.8,0.5
104,0.1,-
105,1.1,1.3
106,-,0.5
107,1.1,0.5
108,0.3,-
109,1.2,0.6
110,0.5,0.1
111,2.7,1.1
112,0.4,0.1
113,1.1,1.1
114,-,-
115,0.4,-
116,0.9,0.4
117,2.2,1.3
118,0.3,0.1
119,0.7,0.3
120,0.2,0.4
121,0.6,0.3
122,0.9,0.7
123,1.3,0.9
124,1.9,1.7
125,2.2,1.6
126,1.5,0.9
127,-,-
128,0.6,-
129,1.6,1.2
130,1.3,0.6
131,1.1,0.4
132,1.1,0.6
133,0.3,-
134,0.5,0.2
135,-,-
136,1.8,0.9
137,1.6,0.9
138,0.8,0.8
139,1.8,0.6
140,1.1,0.6
141,0.6,0.5
142,0.7,0.7
143,1.4,1.3
144,0.8,0.7
145,1.2,0.5
146,1,0.3
147,0.5,0.4
148,-,-
149,0.7,0.1
150,0.1,0.1
151,0.1,-
152,0.8,0.8
153,1.2,0.4
154,0.8,0.4
155,0.3,0.4
156,-,-
157,1.6,0.7
158,1.4,0.7
159,0.2,0.1
160,0.5,0.6
161,0.5,0.3
162,1.1,0.6
163,0.4,-
164,0.9,0.7
165,-,-
166,0.1,-
167,0.5,-
168,1.5,1
169,-,-
170,-,-
171,0.8,0.7
172,0.6,0.3
173,1.5,0.8
174,1.1,1
175,3.5,2.1
176,0.7,0.3
177,1,0.3
178,2.8,1.8
179,0.4,0.1
180,0.1,-
181,0.1,0.1
182,0.2,0.1
183,0.8,0.6
184,0.8,0.4
185,0.2,0.1
186,0.4,0.3
187,1,0.6
188,0.5,0.7
189,1,0.7
190,1.2,0.6
191,0.4,0.1
192,2,1.5
193,0.4,0.3
194,1.8,0.6
195,1.4,0.8
196,1,0.2
197,2.1,0.9
198,1.3,0.5
199,0.1,-
200,-,-
201,0.5,-
202,1.6,0.4
203,0.1,-
204,1.7,0.7
205,1.5,0.9
206,1,0.8
207,0.3,-
208,1.7,0.9
209,-,-
210,0.3,-
211,0.1,-
212,0.6,0.3
213,1.7,1.1
214,0.3,0.1
215,1.1,1.2
216,0.8,0.1
217,0.4,0.3
218,0.5,-
219,1.6,1.2
220,0.2,-
221,0.9,0.5
222,0.2,0.1
223,1.6,0.6
224,0.1,-
225,1.5,0.3
226,1.3,0.6
227,1.5,0.4
228,0.9,0.4
229,-,-
230,2,1.2
231,0.8,0.4
232,0.8,0.3
233,1.5,0.9
234,0.4,0.5
235,0.5,0.1
236,1.2,0.2
237,0.4,0.1
238,-,-
239,1.1,0.7
240,1.1,1.2
241,-,-
242,0.3,0.1
243,0.6,0.7
244,0.6,0.1
245,-,-
246,0.5,-
247,0.5,0.2
248,-,-
249,0.5,0.1
250,2.1,1.1
251,1.3,0.4
252,0.6,0.1
253,0.3,0.1
254,0.8,0.5
255,1.1,0.9
256,1.9,0.6
257,0.1,-
258,0.4,0.2
259,0.7,0.3
260,1.5,-
261,1.6,0.9
262,0.3,-
263,1.4,1.5
264,1.3,0.6
265,0.7,0.2
266,1,0.8
267,1.3,0.4
268,0.1,0.2
269,1.3,0.5
270,1.4,1.3
271,0.8,0.6
272,1.2,0.5
273,0.6,0.1
274,1.3,0.7
275,2,0.9
276,1.8,1.2
277,-,-
278,0.7,0.4
279,0.5,0.3
280,-,-
281,1.6,0.8
282,-,-
283,1.2,0.3
284,0.3,0.3
285,0.8,0.6
286,-,-
287,1.7,1
288,0.9,0.5
289,1.3,0.9
290,1.1,0.6
291,0.6,0.8
292,0.8,0.8
293,1.9,1.5
294,0.3,-
295,1.4,0.7
296,1.7,0.8
297,1.7,0.8
298,-,-
299,1.2,0.8
300,0.3,0.1
301,2.3,1
302,0.7,0.6
303,1.7,1.1
304,0.9,0.6
305,0.7,0.2
306,0.3,0.1
307,0.1,0.1
308,1.3,0.9
309,0.5,0.6
310,0.8,0.3
311,0.4,0.3
312,0.8,0.5
313,0.1,-
314,0.8,-
315,0.1,-
316,0.7,0.4
317,0.6,0.5
318,1.7,0.7
319,1.6,1.1
320,-,-
321,1.8,0.2
322,0.2,0.1
