,TotSh,OOBSh,SYBSh,PASh
0,3.8,1.6,0.1,2
1,-,-,-,-
2,-,-,-,-
3,3.1,1.3,0.1,1.7
4,4.4,1.1,0.3,3
5,2.9,0.6,0.2,2.1
6,3.5,0.6,0.6,2.2
7,2,0.6,0.2,1.2
8,2.9,0.9,0.2,1.8
9,2.2,1.1,0.1,1
10,2.2,1.1,0.1,1
11,0.8,0.4,-,0.3
12,1.5,1.2,0.1,0.2
13,2.6,1,-,1.6
14,1.8,0.5,0.1,1.2
15,1.9,0.6,0.1,1.2
16,2.6,0.5,0.2,1.8
17,-,-,-,-
18,0.8,0.2,0.1,0.6
19,2.4,1,-,1.4
20,-,-,-,-
21,0.8,0.2,0.3,0.3
22,1.9,0.5,-,1.4
23,1.3,0.7,-,0.6
24,1.3,0.7,0.2,0.4
25,0.5,0.1,0.1,0.3
26,0.4,0.1,-,0.3
27,0.8,0.2,0.1,0.5
28,-,-,-,-
29,2.5,0.2,0.3,2
30,2,0.5,0.2,1.2
31,0.3,0.3,-,-
32,2,1.5,-,0.5
33,0.8,0.1,0.2,0.5
34,0.8,0.2,0.1,0.4
35,0.1,-,0.1,-
36,0.4,0.1,-,0.3
37,1.1,0.5,0.1,0.5
38,0.6,0.1,0.1,0.4
39,1.8,0.6,0.2,1
40,0.4,0.1,0.3,-
41,0.9,0.4,-,0.5
42,2,0.7,0.2,1.2
43,1.3,0.7,-,0.6
44,0.5,0.2,-,0.3
45,1.4,0.5,0.1,0.8
46,0.5,0.3,-,0.3
47,0.4,-,0.4,-
48,0.3,0.1,-,0.2
49,0.6,0.1,0.1,0.4
50,0.6,0.3,0.1,0.2
51,-,-,-,-
52,0.6,0.1,-,0.4
53,0.8,0.3,0.1,0.4
54,1,0.1,0.1,0.9
55,0.4,-,0.1,0.3
56,2,0.2,0.2,1.7
57,1.1,0.9,-,0.1
58,0.6,0.2,-,0.4
59,2,-,-,2
60,0.8,0.2,0.1,0.5
61,3.5,2.5,-,1
62,-,-,-,-
63,1.5,0.6,0.1,0.8
64,0.1,0.1,-,-
65,1.9,0.4,-,1.4
66,0.7,0.1,0.1,0.5
67,0.6,0.1,-,0.5
68,1.3,0.4,0.1,0.9
69,0.5,0.4,-,0.1
70,-,-,-,-
71,-,-,-,-
72,0.4,0.1,0.1,0.2
73,0.9,0.3,-,0.7
74,1.9,0.2,0.3,1.4
75,0.6,0.4,-,0.1
76,0.5,0.1,-,0.3
77,0.4,-,0.1,0.3
78,0.5,0.2,-,0.3
79,0.5,-,0.1,0.4
80,0.4,0.3,-,0.1
81,2.1,0.1,0.3,1.7
82,0.5,0.5,-,-
83,0.4,0.2,-,0.2
84,2.1,0.3,0.5,1.4
85,0.7,0.5,-,0.2
86,0.1,0.1,-,0.1
87,1,0.8,-,0.3
88,0.4,0.2,-,0.3
89,1,0.4,-,0.5
90,0.9,0.5,-,0.4
91,1.3,0.1,0.1,1
92,0.4,0.1,0.1,0.3
93,1.5,1.1,-,0.5
94,0.5,0.2,0.1,0.2
95,0.2,-,-,0.1
96,1.4,0.6,0.1,0.8
97,0.3,0.2,-,0.1
98,0.1,-,-,0.1
99,0.2,-,0.1,0.1
100,1.2,0.2,-,1
101,1.5,0.5,-,1
102,0.6,0.4,-,0.2
103,1.5,0.2,0.3,1.1
104,-,-,-,-
105,1.1,0.2,0.1,0.8
106,-,-,-,-
107,0.6,0.5,-,0.1
108,0.6,0.1,0.1,0.4
109,1.9,0.7,0.1,1
110,0.6,-,0.1,0.5
111,1.6,0.3,0.2,1.2
112,1.5,0.9,0.1,0.5
113,0.9,0.4,-,0.5
114,-,-,-,-
115,0.8,-,0.1,0.7
116,0.6,0.4,0.1,0.1
117,2,0.7,0.1,1.1
118,0.2,-,-,0.2
119,1.2,0.5,-,0.6
120,0.5,0.2,0.1,0.2
121,0.5,0.1,0.1,0.3
122,0.9,0.6,-,0.3
123,1,0.6,-,0.4
124,2.1,0.5,0.1,1.5
125,1.3,0.5,0.1,0.7
126,1.6,0.9,-,0.8
127,-,-,-,-
128,0.1,-,-,0.1
129,1.3,0.8,0.1,0.4
130,1.8,0.7,-,1.1
131,0.5,0.2,-,0.3
132,0.8,0.5,-,0.3
133,1.3,1,-,0.3
134,0.5,-,0.2,0.3
135,-,-,-,-
136,1.5,0.4,0.2,0.8
137,1.3,0.5,-,0.8
138,0.1,0.1,-,0.1
139,0.7,0.1,-,0.6
140,1,0.5,-,0.4
141,0.9,0.4,0.1,0.4
142,0.7,0.7,-,-
143,0.9,0.3,0.1,0.5
144,0.4,0.3,-,0.1
145,0.7,0.6,-,0.1
146,1.7,0.5,0.3,0.9
147,0.4,0.2,-,0.2
148,-,-,-,-
149,0.6,0.6,-,-
150,-,-,-,-
151,-,-,-,-
152,0.7,0.4,-,0.3
153,1,0.6,-,0.3
154,0.1,0.1,-,-
155,0.3,-,0.1,0.2
156,-,-,-,-
157,0.8,-,0.1,0.7
158,1,0.6,-,0.4
159,0.2,-,-,0.2
160,0.6,0.5,-,0.1
161,0.3,-,0.1,0.2
162,1.5,0.6,0.1,0.8
163,0.4,-,-,0.3
164,0.5,0.3,-,0.1
165,-,-,-,-
166,-,-,-,-
167,0.4,0.2,-,0.3
168,0.9,0.4,-,0.5
169,-,-,-,-
170,-,-,-,-
171,0.6,0.1,-,0.5
172,0.3,-,-,0.3
173,0.5,0.3,-,0.2
174,1.2,0.5,-,0.7
175,1.5,0.4,-,1.2
176,0.7,0.4,-,0.3
177,0.8,0.3,-,0.4
178,1.6,0.3,0.2,1.2
179,0.5,0.5,-,-
180,-,-,-,-
181,0.2,-,-,0.2
182,0.4,-,0.1,0.3
183,0.6,0.3,-,0.3
184,0.7,0.2,0.1,0.4
185,0.8,0.3,0.1,0.4
186,0.3,0.1,-,0.1
187,1.3,0.3,0.1,1
188,0.7,0.2,0.1,0.4
189,1,0.6,-,0.3
190,1.5,1,-,0.5
191,0.4,0.1,0.1,0.3
192,0.8,0.2,0.1,0.5
193,0.2,0.1,-,0.1
194,1.4,0.4,-,1
195,0.9,0.1,0.2,0.6
196,0.1,0.1,-,-
197,2,0.8,0.1,1.1
198,1,0.2,-,0.8
199,-,-,-,-
200,0.7,-,-,0.7
201,0.3,-,-,0.3
202,1.8,0.5,0.1,1.3
203,-,-,-,-
204,1.2,0.3,0.2,0.7
205,1,0.7,-,0.2
206,0.5,0.4,-,0.1
207,0.4,0.1,-,0.3
208,1.2,0.3,-,0.9
209,-,-,-,-
210,0.5,0.5,-,-
211,0.2,-,0.1,0.1
212,0.6,0.2,0.2,0.3
213,1.1,0.5,-,0.6
214,0.9,-,0.3,0.6
215,1.5,1,0.1,0.4
216,0.3,0.2,-,0.2
217,0.3,-,-,0.3
218,0.5,-,-,0.5
219,1.3,0.4,0.1,0.8
220,0.1,-,-,0.1
221,0.9,0.4,-,0.5
222,0.3,0.3,-,-
223,1.5,0.9,-,0.6
224,-,-,-,-
225,0.9,0.7,-,0.2
226,1.3,0.6,0.1,0.7
227,0.3,0.2,-,0.1
228,0.3,0.2,-,0.1
229,-,-,-,-
230,1.7,0.1,0.2,1.4
231,0.7,0.4,-,0.3
232,0.7,0.2,-,0.5
233,0.6,0.2,-,0.4
234,0.5,0.4,-,0.1
235,0.1,-,-,0.1
236,0.3,0.1,0.1,0.1
237,0.3,-,0.3,-
238,-,-,-,-
239,0.9,-,0.1,0.8
240,0.5,0.3,-,0.2
241,-,-,-,-
242,0.3,-,-,0.2
243,0.7,0.4,0.1,0.2
244,0.3,0.1,0.1,0.2
245,-,-,-,-
246,0.5,0.5,-,-
247,0.3,0.1,-,0.1
248,-,-,-,-
249,0.3,0.2,-,0.1
250,1.4,0.4,0.1,0.9
251,1.1,0.8,-,0.3
252,0.4,-,0.2,0.2
253,0.5,-,-,0.5
254,0.4,0.2,-,0.2
255,1.9,0.6,-,1.3
256,0.2,0.1,-,0.1
257,-,-,-,-
258,0.4,0.1,-,0.3
259,0.2,-,0.1,0.2
260,0.6,0.3,-,0.4
261,1.3,0.1,0.2,1
262,0.4,0.1,-,0.3
263,1.3,0.8,-,0.5
264,0.2,0.1,-,0.2
265,0.3,0.1,-,0.2
266,0.5,0.4,-,0.1
267,1.8,0.5,0.1,1.2
268,0.2,0.1,-,0.1
269,0.4,0.1,-,0.2
270,1,0.5,0.1,0.4
271,0.6,0.4,-,0.2
272,1.6,0.2,0.2,1.3
273,0.4,0.2,0.1,0.1
274,1.1,0.5,0.1,0.4
275,1.3,0.3,0.2,0.8
276,1.1,0.6,-,0.5
277,-,-,-,-
278,0.4,-,0.1,0.4
279,0.2,-,-,0.2
280,-,-,-,-
281,0.9,0.4,-,0.5
282,0.3,-,-,0.3
283,0.7,0.3,-,0.4
284,0.2,0.1,0.1,-
285,0.5,0.3,0.1,0.1
286,-,-,-,-
287,1.4,0.4,0.1,0.9
288,0.5,0.2,-,0.3
289,0.3,0.2,-,0.1
290,0.7,0.3,-,0.4
291,0.7,0.5,-,0.1
292,0.8,0.6,-,0.1
293,1.9,0.4,0.2,1.3
294,0.1,0.1,-,-
295,1.3,0.8,-,0.5
296,0.9,0.3,0.1,0.5
297,1.1,0.1,0.1,1
298,-,-,-,-
299,1.1,0.3,-,0.7
300,0.2,-,-,0.2
301,0.1,-,-,0.1
302,0.2,-,-,0.1
303,1,0.5,0.1,0.5
304,0.7,0.4,-,0.3
305,0.7,0.6,-,0.1
306,0.1,0.1,-,-
307,0.7,-,0.1,0.6
308,0.2,-,-,0.2
309,0.7,0.2,0.1,0.5
310,1.1,0.9,-,0.3
311,0.4,0.3,-,0.1
312,0.2,0.2,-,-
313,-,-,-,-
314,0.3,0.3,-,-
