,TotTkl,DribPast,TotAttTkl
0,1.3,0.6,1.9
1,7,1,8
2,-,-,-
3,1.1,0.5,1.6
4,0.3,0.1,0.4
5,1.2,0.4,1.6
6,0.3,0.2,0.5
7,2,0.5,2.4
8,0.7,0.5,1.2
9,1,0.9,1.9
10,0.9,1.1,2.1
11,1.7,1.2,2.9
12,1.3,0.4,1.7
13,1.3,1,2.3
14,0.7,0.5,1.2
15,0.7,0.4,1.1
16,0.9,0.6,1.5
17,-,-,-
18,1.6,0.4,2
19,0.6,0.4,1
20,-,-,-
21,1.5,0.3,1.9
22,1,0.8,1.7
23,1.5,0.3,1.9
24,1.4,1.7,3.1
25,0.9,0.2,1.1
26,1.3,0.3,1.6
27,1.2,0.4,1.6
28,-,-,-
29,0.6,0.3,0.8
30,0.5,0.3,0.9
31,2.5,2.3,4.8
32,1.5,0.5,2
33,1.5,0.3,1.8
34,2,1.2,3.2
35,1.1,0.4,1.5
36,2.2,0.7,2.9
37,1.3,0.4,1.7
38,2,0.9,2.9
39,0.5,0.3,0.8
40,1.3,-,1.3
41,2.1,0.8,2.9
42,0.7,0.6,1.3
43,1.4,0.8,2.3
44,1.5,0.7,2.1
45,0.9,0.7,1.5
46,2,0.5,2.6
47,1.5,0.4,1.9
48,2.2,0.4,2.6
49,2,0.7,2.7
50,2.6,0.8,3.4
51,-,-,-
52,1.4,0.3,1.7
53,2.2,0.9,3
54,0.9,0.1,1
55,1.2,0.4,1.6
56,0.5,0.4,0.9
57,1.8,1.1,2.9
58,2.1,0.5,2.6
59,0.7,0.3,1
60,2.9,1,3.9
61,1.5,0.5,2
62,-,-,-
63,0.9,0.3,1.2
64,3.3,0.9,4.3
65,0.5,0.6,1.1
66,1.4,0.8,2.2
67,1.2,0.4,1.6
68,2.2,1,3.2
69,2,0.8,2.8
70,-,-,-
71,2.8,0.8,3.5
72,1.5,0.4,2
73,1.3,0.9,2.2
74,0.3,0.1,0.3
75,0.9,0.5,1.5
76,1.5,0.3,1.8
77,1.5,0.5,2
78,2.3,0.8,3.1
79,1.4,0.5,1.9
80,2,1,3
81,0.3,0.1,0.4
82,2.6,1.2,3.7
83,3,1,4
84,0.3,0.2,0.5
85,2.6,1.2,3.8
86,0.9,0.2,1.1
87,1.4,0.8,2.2
88,0.6,0.2,0.8
