,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,Lamine Yamal,27(3),2452,6,12,3,-,3.8,78.3,-,9,7.94
1,Sergio Arribas,1,90,-,-,-,-,-,68.3,1,-,7.78
2,Aitor Fernández,1,90,-,-,-,-,-,61,-,-,7.77
3,Raphinha,28(3),2466,15,9,4,-,3.1,78.6,0.3,10,7.70
4,Kylian Mbappé,29,2467,22,3,3,1,4.4,85,0.1,7,7.65
5,Cucho Hernández,10,797,3,1,-,-,2.9,74.9,2.5,2,7.38
6,Robert Lewandowski,29(2),2454,25,2,1,-,3.5,74.5,1.1,4,7.31
7,Jude Bellingham,25(2),2135,8,7,3,1,2,87.8,0.9,4,7.26
8,Vinícius Júnior,22(5),2046,11,5,8,1,2.9,78.9,-,4,7.24
9,Álex Baena,26(1),2261,6,7,8,-,2.2,73.8,0.6,3,7.22
10,Isco,15(2),1289,8,5,5,-,2.2,86.7,0.7,3,7.21
11,Pedri,30(2),2544,4,4,2,-,0.8,88.5,0.2,-,7.19
12,Federico Valverde,29(2),2584,6,4,3,-,1.5,90.6,0.8,4,7.19
13,Antony,12,1017,3,2,1,1,2.6,83.4,0.3,-,7.17
14,Rodrygo,22(8),1938,6,5,-,-,1.8,90.9,0.2,3,7.13
15,Dani Olmo,11(9),1004,9,2,-,-,1.9,81.6,0.5,1,7.11
16,Ayoze Pérez,18(8),1678,14,2,3,-,2.6,77.2,0.5,3,7.03
17,Leo Román,6,540,-,-,-,-,-,54.7,0.2,2,7.03
18,Éder Militão,11(1),940,1,1,2,-,0.8,89.8,1.8,1,7.02
19,Dodi Lukébakio,32(1),2743,11,2,2,1,2.4,81.7,0.5,4,7.00
20,Pelayo Fernández,1,90,-,-,1,-,-,83.3,3,-,7.00
21,Juan Foyth,13(2),1171,1,-,4,-,0.8,86.5,2.3,-,7.00
22,Nico Williams,21(7),1921,5,5,1,-,1.9,79.6,0.4,1,6.99
23,Giovani Lo Celso,12(9),1219,7,2,4,-,1.3,84.1,0.2,3,6.99
24,Ramon Terrats,10,827,4,-,1,-,1.3,72.7,1.1,2,6.99
25,Iñigo Martínez,26,2313,-,4,4,-,0.5,91.4,2.3,1,6.98
26,Yeray Álvarez,18(1),1601,1,-,4,-,0.4,84.5,2.2,3,6.98
27,Marc Bartra,19(2),1758,2,1,1,-,0.8,81,2,-,6.97
28,Joan García,33,2970,-,-,2,-,-,66,0.7,6,6.97
29,Ante Budimir,29(4),2555,18,3,3,-,2.5,55.5,3.8,5,6.97
30,Iñaki Williams,28(4),2556,6,8,1,-,2,69.8,0.9,4,6.96
31,Ángel Ortiz,4,345,-,1,-,-,0.3,78.2,1.3,1,6.95
32,Lucas Ocampos,2,176,-,1,-,-,2,73.2,1.5,-,6.95
33,Nayef Aguerd,20,1675,-,-,5,-,0.8,87.9,3,-,6.94
34,Johnny Cardoso,22(3),1952,3,1,5,-,0.8,85.5,1.1,-,6.94
35,Unai Núñez,6(2),582,-,-,4,-,0.1,87.4,1.6,-,6.93
36,Eduardo Camavinga,11(8),1098,1,2,2,-,0.4,89,1.2,1,6.93
37,Omar Alderete,30,2651,1,-,7,-,1.1,67.8,2.9,2,6.93
