,Name,Club,Age,Height,National,Positions
0,Benjamin Bourigeaud,Rennes,31 years old (14-01-1994),178cm,France,"Midfielder (Centre, Left, Right)"
1,Logan Costa,Villarreal,24 years old (01-04-2001),190cm,France,Defender (Centre)
2,Ousmane Dembélé,Paris Saint-Germain,27 years old (15-05-1997),178cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
3,Ismail Jakobs,Galatasaray,25 years old (17-08-1999),184cm,Senegal,"Defender (Left), Midfielder (Left)"
4,Amine Gouiri,Marseille,25 years old (16-02-2000),180cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
5,Mika Biereth,Monaco,22 years old (08-02-2003),187cm,,Forward
6,Mason Greenwood,Marseille,23 years old (01-10-2001),181cm,Jamaica,"Attacking Midfielder (Centre, Left, Right), Forward"
7,Rayan Cherki,Lyon,21 years old (17-08-2003),180cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
8,Andrey Santos,Strasbourg,20 years old (03-05-2004),180cm,Brazil,Defensive Midfielder (C)
9,Achraf Hakimi,Paris Saint-Germain,26 years old (04-11-1998),181cm,Morocco,"Defender (Left, Right), Midfielder (Right)"
10,Bradley Barcola,Paris Saint-Germain,22 years old (02-09-2002),182cm,France,"Attacking Midfielder (Left, Right), Forward"
11,Gaëtan Perrin,Auxerre,28 years old (07-06-1996),169cm,France,"Attacking Midfielder (Centre, Left, Right)"
12,Jonathan Clauss,Nice,32 years old (25-09-1992),178cm,France,"Defender (Right), Midfielder (Left, Right)"
13,Désiré Doué,Paris Saint-Germain,19 years old (03-06-2005),181cm,France,"Attacking Midfielder (Centre, Left, Right)"
14,Jérémy Jacquet,Rennes,19 years old (13-07-2005),188cm,France,Defender (Centre)
15,João Neves,Paris Saint-Germain,20 years old (27-09-2004),174cm,Portugal,Defensive Midfielder (C)
16,Evann Guessand,Nice,23 years old (01-07-2001),185cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
17,Dilane Bakwa,Strasbourg,22 years old (26-08-2002),180cm,France,"Midfielder (Centre, Left, Right)"
18,Khvicha Kvaratskhelia,Paris Saint-Germain,24 years old (12-02-2001),183cm,Georgia,"Attacking Midfielder (Centre, Left, Right), Forward"
