,TotAD,WonAD,LostAD
0,4,2,2
1,6,4,2
2,0.3,0.1,0.2
3,3.5,0.5,3
4,1.1,0.2,0.9
5,3.4,1.4,2
6,0.5,0.2,0.2
7,0.4,0.1,0.3
8,1.9,1.2,0.8
9,0.9,0.4,0.5
10,0.6,0.4,0.2
11,0.5,0.1,0.4
12,1,0.6,0.4
13,0.6,0.3,0.4
14,3.3,2.1,1.2
15,1.2,0.8,0.4
16,2,0.9,1.1
17,0.7,0.4,0.3
18,0.5,0.2,0.3
19,1.9,0.5,1.4
20,3.8,1.8,2
21,0.5,0.1,0.4
22,-,-,-
23,5.9,3.1,2.8
24,3.6,2.6,1
25,0.2,0.2,-
26,2,0.9,1
27,2,1.1,0.9
28,1.4,0.2,1.2
29,2.8,2.3,0.5
30,1.4,0.8,0.6
31,8.6,4.2,4.4
32,0.4,0.3,0.2
33,0.8,0.1,0.7
34,1.3,0.6,0.6
35,5.3,3.4,1.9
36,3.4,1.7,1.7
37,0.1,-,0.1
38,2.2,1.3,0.9
39,1.6,0.9,0.8
40,0.3,0.3,-
41,1.5,0.4,1.1
42,1.3,0.5,0.8
43,1.9,0.6,1.3
44,1.9,0.6,1.3
45,0.8,0.4,0.4
46,0.1,-,0.1
47,1.1,0.7,0.4
48,1.8,0.8,1
49,0.3,0.1,0.2
50,2.4,1,1.4
51,3.3,2,1.3
52,1.4,0.5,0.9
53,3.3,1.8,1.5
54,2.1,1.1,1
55,0.3,0.3,-
56,0.3,0.3,-
57,1.1,0.7,0.4
58,2.9,1.8,1.1
59,0.6,0.1,0.5
60,4.9,3.3,1.6
61,2.8,1.6,1.2
62,1.2,0.7,0.6
63,1.6,0.6,1
64,0.2,-,0.2
65,2.3,1.5,0.9
66,3.2,2,1.1
67,0.4,0.4,-
68,1.3,0.6,0.7
69,4.3,2.9,1.4
70,1.6,1,0.6
71,0.4,0.1,0.3
72,1.2,0.5,0.7
73,1.6,1,0.6
74,3,2.1,0.9
75,3.1,2.2,0.9
76,2,1,1
77,0.4,0.4,-
78,0.4,0.3,0.1
79,1.9,0.5,1.4
80,1.1,0.5,0.7
81,1.8,1.2,0.6
82,2.9,1.9,1
83,0.5,0.5,-
84,2.8,2.1,0.7
85,2.1,0.8,1.2
86,2.1,0.9,1.2
87,1.5,0.9,0.7
88,1.7,0.6,1.1
89,0.3,0.3,-
90,0.9,0.4,0.5
91,2,0.6,1.4
92,0.2,0.2,-
93,1.2,0.5,0.7
94,4.8,2.2,2.6
95,0.6,0.2,0.4
96,1.1,0.4,0.7
97,1.8,1.2,0.6
98,0.4,0.4,-
99,2,0.3,1.7
100,0.7,0.2,0.6
101,2.4,1.5,0.8
102,0.7,0.5,0.3
103,1.7,1,0.7
104,3.6,2.4,1.2
105,1.6,0.7,0.9
106,2.9,2,0.9
107,1.8,0.6,1.1
108,1.9,1,0.9
109,1.6,1,0.7
110,3,1.8,1.2
111,2.5,0.7,1.8
112,0.6,0.2,0.4
113,0.6,0.2,0.4
114,0.4,0.3,-
115,1.3,0.8,0.6
116,1.1,0.5,0.6
117,2.3,1.5,0.8
118,2.4,1.4,1
119,0.7,0.2,0.5
120,1.7,1.1,0.5
121,2.2,1.1,1.2
122,0.4,0.1,0.3
123,0.4,0.1,0.3
124,1.8,1.1,0.7
125,-,-,-
126,3.8,2.2,1.6
127,2,1.3,0.7
128,3.2,2.1,1.2
129,2.1,1.2,1
130,2.8,2.1,0.7
131,1.6,1,0.6
132,0.2,0.2,-
133,3,2.2,0.8
134,1.6,0.8,0.9
135,4.6,2.7,1.9
136,4.2,2.3,1.8
137,1.3,0.8,0.5
138,2.6,0.8,1.8
139,1.5,0.6,0.9
140,2.2,1.4,0.8
141,2,1.4,0.6
142,2.4,1.9,0.6
143,2,0.8,1.2
144,0.8,0.3,0.5
145,1.6,0.7,0.9
146,4.3,3,1.3
147,5,3.2,1.8
148,2.2,1.2,1
149,1.1,0.6,0.5
150,0.8,0.3,0.4
151,2.1,1,1.1
152,0.9,0.3,0.5
153,1.8,1.1,0.7
154,1.4,1,0.4
155,3.3,1.3,2
156,2.6,1.3,1.3
157,3.6,1.4,2.1
158,4,1.7,2.4
159,1.5,0.6,0.9
160,4.4,3,1.4
161,0.9,0.2,0.7
162,0.5,0.1,0.4
163,2.1,1.2,0.8
164,-,-,-
165,4.2,2.6,1.6
166,1.3,0.4,1
167,2,2,-
168,0.9,0.4,0.5
169,0.3,-,0.3
170,1.4,0.5,1
171,0.2,0.2,-
172,1.6,1.1,0.6
173,1.7,0.6,1.1
174,2.4,1.5,0.9
175,2.4,1.5,0.9
176,0.6,0.5,0.2
177,1.6,0.6,1
178,0.4,0.1,0.3
179,1.2,0.2,1
180,0.6,0.1,0.5
181,0.5,-,0.5
182,1.1,0.7,0.4
183,1.9,1.2,0.8
184,2,1.3,0.7
185,0.3,-,0.3
186,2,0.5,1.5
187,2,1.2,0.8
188,1.2,0.3,0.8
189,1.7,0.6,1
190,1.4,0.8,0.7
191,0.5,0.4,0.1
192,1.5,0.7,0.9
193,1.7,0.8,1
194,1.5,0.8,0.7
195,2.1,1.1,1
196,2.4,1.5,0.9
197,1.4,0.8,0.6
198,3.6,2,1.6
199,-,-,-
200,2.7,1.5,1.2
201,1.6,0.4,1.2
202,2.4,1.5,0.9
203,1.4,0.9,0.5
204,1.2,0.7,0.5
205,1.3,0.3,0.9
206,1.8,0.6,1.2
207,2.6,1.6,1
208,3.3,1.5,1.8
209,0.2,0.2,-
210,0.6,0.1,0.5
211,2.6,1.4,1.3
