,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
0,-,-,-,-,-,-,-
1,-,-,-,-,-,-,-
2,-,-,-,-,-,0.2,0.2
3,-,-,-,-,-,-,-
4,0.1,0.1,-,-,-,0.2,0.3
5,-,-,-,-,-,0.1,0.1
6,-,-,-,-,-,0.1,0.1
7,0.1,-,0.1,-,-,0.1,0.4
8,-,-,-,-,-,0.1,0.1
9,-,-,-,-,-,0.3,0.3
10,-,-,-,-,-,0.3,0.3
11,0.2,0.1,-,-,-,0.1,0.3
12,0.2,0.1,-,-,-,0.1,0.3
13,0.1,-,0.1,-,-,0.1,0.2
14,-,-,-,-,-,0.1,0.1
15,0.1,-,-,-,-,0.2,0.3
16,-,-,0.1,-,-,0.1,0.2
17,0.1,-,-,-,-,0.1,0.3
18,0.1,-,-,-,-,0.2,0.2
19,0.1,-,-,-,-,0.1,0.3
20,-,-,-,-,-,0.1,0.1
21,0.1,-,-,-,-,0.1,0.2
22,-,-,-,-,-,-,-
23,-,-,-,-,-,0.1,0.1
24,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-
26,0.1,-,-,-,-,0.1,0.2
27,-,-,-,-,-,0.1,0.1
28,0.1,-,-,-,-,0.2,0.3
29,-,-,-,-,-,-,-
30,-,-,-,-,-,0.1,0.1
31,-,-,-,-,-,0.1,0.1
32,0.1,-,-,-,-,-,0.1
33,-,-,0.1,-,-,0.2,0.3
34,-,-,0.1,-,-,0.1,0.2
35,-,-,-,-,-,-,-
36,-,-,-,-,-,0.1,0.2
37,-,-,-,-,-,0.2,0.2
38,-,-,-,-,-,-,-
39,0.1,0.1,-,-,-,-,0.2
40,-,-,-,-,-,-,-
41,-,-,-,-,-,-,-
42,-,-,-,-,-,-,0.1
43,-,-,-,-,-,0.1,0.1
44,-,-,0.1,-,-,-,0.1
45,0.1,-,0.1,-,-,-,0.1
46,-,-,-,-,-,-,-
47,-,-,-,-,-,0.1,0.1
48,-,-,0.1,-,-,-,0.1
49,0.2,-,0.1,-,-,0.1,0.3
50,-,-,-,-,-,0.1,0.1
51,-,-,-,-,-,-,-
52,0.1,-,-,-,-,-,0.1
53,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-
55,-,-,-,0.1,-,-,0.1
56,-,-,-,-,-,-,-
57,-,-,-,-,-,-,0.1
58,-,-,-,-,-,-,-
59,-,-,-,-,-,0.1,0.1
60,-,-,-,-,-,-,-
61,-,-,-,-,-,-,-
62,-,-,-,-,-,0.1,0.1
63,-,-,-,-,-,0.1,0.1
64,-,-,-,-,-,-,-
65,-,-,-,-,-,-,-
66,-,-,-,-,-,0.1,0.1
67,-,-,-,-,-,-,-
68,-,-,-,-,-,-,-
69,-,-,-,-,-,-,-
70,-,-,-,-,-,-,-
71,-,-,-,-,-,0.1,0.1
72,-,-,-,-,-,-,-
