,BlkSh,BlkCr,BlkPs
0,1,-,1
1,2,-,-
2,-,-,0.1
3,-,-,-
4,-,-,0.5
5,-,-,0.7
6,-,-,0.2
7,-,-,0.2
8,0.4,0.1,1
9,0.1,0.2,1
10,0.1,-,0.7
11,-,-,0.3
12,0.1,0.2,0.7
13,-,-,0.7
14,0.3,0.2,0.6
15,0.3,0.1,0.7
16,0.1,0.1,0.7
17,-,0.1,0.7
18,-,0.1,0.5
19,0.1,-,0.5
20,0.4,0.1,1.3
21,-,-,0.3
22,-,-,-
23,0.2,0.2,1.3
24,1.2,0.1,0.9
25,-,-,-
26,0.1,0.2,0.7
27,-,-,0.7
28,-,-,0.4
29,0.9,0.2,0.5
30,0.1,0.1,0.9
31,0.2,-,0.5
32,-,-,0.7
33,-,-,0.7
34,0.1,0.8,0.4
35,1.6,0.2,0.5
36,0.2,0.1,0.5
37,0.1,-,0.4
38,0.9,0.1,0.6
39,0.1,0.1,0.9
40,-,-,-
41,0.4,-,1.7
42,-,-,0.6
43,0.1,-,0.4
44,0.4,-,1
45,0.1,0.2,0.4
46,0.3,-,0.7
47,0.3,0.2,0.9
48,0.2,0.2,1.4
49,-,-,0.1
50,0.2,-,0.5
51,0.3,0.1,0.3
52,0.1,0.1,0.9
53,0.5,0.1,0.8
54,0.3,0.2,0.7
55,-,-,0.1
56,-,-,-
57,0.3,0.1,0.7
58,0.2,0.2,1
59,-,-,0.4
60,0.9,0.1,0.5
61,0.8,0.1,0.7
62,0.2,-,0.9
63,0.1,0.1,1.1
64,-,-,-
65,0.6,0.1,0.6
66,0.2,0.1,0.3
67,-,-,-
68,0.2,0.3,0.8
69,1.3,-,0.1
70,-,-,0.3
71,0.1,0.1,0.8
72,0.2,0.1,0.6
73,0.6,0.5,1
74,0.7,-,0.1
75,0.8,0.1,0.5
76,0.8,0.1,0.5
77,-,-,-
78,-,-,-
79,-,-,0.7
80,0.1,0.1,0.8
81,0.3,0.2,0.6
82,0.2,0.3,1
83,-,-,-
84,0.4,-,0.3
85,0.4,0.1,1.4
86,0.5,-,0.6
87,0.2,0.2,0.6
88,0.1,-,0.4
89,-,-,0.7
90,0.1,0.3,0.8
91,0.1,-,1.2
92,-,-,-
93,-,0.1,0.6
94,0.2,0.2,1.3
95,-,-,0.5
96,0.2,0.2,0.6
97,0.9,-,0.1
98,-,-,-
99,-,-,-
100,-,0.1,0.5
101,0.6,-,0.4
102,0.1,0.5,0.8
103,0.1,-,0.2
104,0.5,0.1,0.1
105,0.1,0.4,0.8
106,0.3,0.1,0.3
107,-,-,0.4
108,0.2,0.1,1.2
109,0.3,-,1
110,0.9,0.3,0.3
111,0.1,-,0.2
112,0.1,-,0.6
113,0.3,0.4,0.6
114,-,-,-
115,0.6,0.1,0.3
116,-,0.1,0.7
117,0.9,0.2,0.5
118,1.2,0.4,0.2
119,-,-,0.7
120,0.5,-,0.5
121,0.2,0.2,0.9
122,0.1,0.1,0.7
123,-,0.1,0.4
124,0.1,0.6,0.6
125,-,-,-
126,1.1,0.3,0.7
127,0.7,0.1,0.6
128,0.7,0.1,0.4
129,0.5,0.1,0.9
130,0.6,0.1,0.4
131,0.2,0.3,0.4
132,-,-,-
133,1.4,0.1,0.4
134,-,-,0.6
135,0.4,-,0.6
136,0.7,0.3,0.5
137,0.5,0.5,1.1
138,0.1,0.1,0.5
139,0.1,-,0.6
140,1,0.1,0.5
141,0.3,0.1,0.4
142,0.1,0.1,0.2
143,-,0.1,0.8
144,0.2,0.1,1
145,0.2,-,1.3
146,0.7,-,0.7
147,0.2,-,0.5
148,0.9,0.2,0.9
149,0.3,0.1,0.9
150,-,-,0.7
151,0.8,-,0.2
152,0.2,0.1,0.6
153,0.3,0.1,0.7
154,1,0.1,0.5
155,0.1,0.1,0.3
156,0.1,0.1,0.5
157,1.3,0.3,0.8
158,-,-,0.5
159,0.3,0.6,0.6
160,0.6,0.1,0.1
161,-,0.1,0.6
162,-,-,0.5
163,1,0.4,0.6
164,-,-,0.1
165,0.4,0.2,0.5
166,0.2,0.1,1.3
167,2,1,-
168,0.1,-,0.8
169,-,-,0.4
170,0.4,-,1
171,-,-,-
172,0.9,0.1,0.7
173,-,0.1,0.6
174,0.5,0.1,0.5
175,0.5,-,0.8
176,-,-,-
177,-,0.1,0.8
178,0.1,-,0.7
179,-,-,0.7
180,-,0.2,0.4
181,-,-,0.5
182,0.1,-,0.2
183,0.5,0.3,0.3
184,-,-,0.6
185,-,-,0.4
186,-,-,-
187,0.4,0.1,0.8
188,0.2,-,0.8
189,0.3,0.1,0.9
190,0.2,0.2,0.7
191,-,-,-
192,0.3,0.4,0.6
193,0.1,0.1,0.5
194,0.7,0.3,1.2
195,-,-,0.3
196,0.1,0.1,0.3
197,0.1,0.2,1.1
198,0.4,-,0.4
199,-,-,1
200,0.5,0.1,0.4
201,-,-,0.4
202,0.3,0.2,0.9
203,0.4,0.1,0.6
