,YelC,RedC
0,-,-
1,-,-
2,0.1,-
3,-,-
4,-,-
5,0.1,-
6,0.1,-
7,0.1,-
8,0.2,-
9,0.2,-
10,0.1,-
11,-,-
12,0.3,-
13,-,-
14,-,-
15,-,-
16,0.1,-
17,0.1,-
18,-,-
19,0.2,-
20,0.1,-
21,-,-
22,-,-
23,0.4,-
24,0.2,-
25,0.1,-
26,0.1,-
27,0.2,-
28,0.1,-
29,-,-
30,0.2,-
31,0.2,-
32,0.1,-
33,0.1,-
34,0.2,-
35,0.3,-
36,-,-
37,-,-
38,0.2,-
39,0.3,-
40,-,-
41,0.4,-
42,0.2,-
43,0.1,-
44,0.3,-
45,0.2,-
46,-,-
47,0.2,-
48,0.2,-
49,-,-
50,0.2,-
51,-,-
52,-,-
53,0.3,-
54,0.3,-
55,0.1,-
56,-,-
57,0.1,-
58,0.2,-
59,0.1,-
60,0.1,-
61,0.2,-
62,0.3,-
63,0.2,-
64,-,-
65,0.1,-
66,0.2,-
67,-,-
68,0.1,-
69,-,-
70,0.1,-
71,-,-
72,0.1,-
73,0.1,0.1
74,0.3,-
75,0.2,0.1
76,0.1,-
77,-,-
78,0.1,-
79,0.1,-
80,-,-
81,0.1,-
82,0.1,-
83,-,-
84,0.3,-
85,0.3,-
86,0.4,-
87,0.1,-
88,0.2,-
89,-,-
90,0.2,-
91,0.2,-
92,0.4,-
93,-,-
94,0.3,-
95,0.1,-
96,0.1,-
97,0.1,-
98,0.2,-
99,0.3,-
100,0.1,-
101,0.3,-
102,0.2,-
103,-,-
104,0.1,-
105,0.2,-
106,0.2,-
107,0.1,-
108,0.1,-
109,0.2,-
110,0.2,-
111,0.1,-
112,0.3,-
113,0.2,-
114,-,-
115,0.1,-
116,0.1,-
117,0.2,0.1
118,0.2,-
119,0.1,-
120,0.1,-
121,0.2,-
122,-,-
123,-,-
124,0.3,-
125,0.1,-
126,0.2,-
127,0.2,-
128,0.2,-
129,0.2,-
130,0.2,-
131,0.1,-
132,-,-
133,0.5,-
134,0.1,-
135,0.2,-
136,0.2,0.1
137,-,0.1
138,0.2,-
139,-,-
140,0.2,0.1
141,0.1,-
142,-,-
143,0.1,-
144,0.1,-
145,0.3,-
146,-,-
147,-,-
148,0.2,-
149,0.2,-
150,-,-
151,0.1,-
152,0.2,-
153,-,-
154,0.4,-
155,0.1,-
156,0.1,-
157,0.1,-
158,0.1,-
159,0.1,-
160,0.3,-
161,-,-
162,0.1,0.1
163,-,-
164,-,-
165,0.2,-
166,0.1,-
167,-,-
168,-,-
169,-,-
170,-,-
171,0.1,-
172,0.1,0.1
173,0.1,-
174,0.2,-
175,0.3,-
176,0.2,-
177,0.1,-
178,0.1,-
179,0.1,-
180,0.1,-
181,-,-
182,-,-
183,-,-
184,-,-
185,-,-
186,-,-
187,0.4,-
188,0.3,-
189,0.3,-
