,UnDrib,SucDrib,TotDrib
0,-,1,1
1,-,-,-
2,1.9,1.5,3.3
3,-,-,-
4,0.8,0.5,1.4
5,0.6,0.1,0.7
6,2.2,1.7,3.9
7,1.6,1.6,3.2
8,0.6,0.6,1.2
9,1,1,2.1
10,3,1,4.1
11,2.1,1.7,3.9
12,0.6,0.4,1
13,2.4,1.8,4.2
14,0.3,0.6,0.9
15,0.5,0.6,1.1
16,1.7,1.4,3.1
17,2.5,1.6,4.1
18,2,1.5,3.5
19,2.6,1.5,4.1
20,0.3,0.3,0.6
21,0.8,1,1.8
22,-,-,-
23,0.5,0.3,0.8
24,-,0.1,0.1
25,-,-,-
26,2.2,2,4.2
27,0.9,0.9,1.8
28,2.5,2,4.5
29,0.2,0.2,0.4
30,0.6,0.3,0.9
31,0.3,0.2,0.5
32,2.7,1.9,4.6
33,1.7,1.6,3.2
34,0.9,0.7,1.6
35,0.4,0.1,0.5
36,0.7,0.7,1.4
37,1.3,1.6,2.8
38,0.2,0.6,0.9
39,0.4,0.4,0.9
40,-,0.1,0.1
41,0.5,1.1,1.5
42,2.7,1.3,4
43,0.6,0.7,1.2
44,1.5,0.8,2.3
45,0.6,0.3,0.9
46,0.5,0.9,1.4
47,0.7,0.9,1.5
48,0.9,0.9,1.8
49,0.3,0.3,0.7
50,0.7,0.3,1
51,0.1,-,0.1
52,1.9,1.5,3.3
53,0.1,0.2,0.3
54,0.3,-,0.4
55,-,-,-
56,-,-,-
57,1,1.2,2.1
58,0.4,0.8,1.2
59,0.8,1.1,1.9
60,0.2,0.1,0.3
61,0.1,0.3,0.3
62,0.4,0.7,1.1
63,1.1,0.8,1.9
64,-,-,-
65,-,0.1,0.2
66,0.2,0.3,0.5
67,-,-,-
68,1,1.1,2
69,-,-,-
70,1.3,1.7,3
71,0.2,0.5,0.7
72,0.8,1.2,1.9
73,1.2,0.9,2.1
74,-,0.4,0.4
75,-,0.1,0.1
76,0.2,-,0.2
77,-,-,-
78,-,0.1,0.1
79,2.3,1.6,3.9
80,0.5,0.9,1.3
81,0.2,0.6,0.7
82,0.3,0.7,1
83,-,-,-
84,0.1,0.2,0.3
85,0.3,0.5,0.8
86,0.8,0.8,1.6
87,0.7,0.5,1.1
88,0.6,0.4,1
89,0.7,-,0.7
90,1.9,1.5,3.4
91,1.1,0.8,1.8
92,-,-,-
93,1.9,1.1,3
94,0.3,0.3,0.6
95,0.4,0.7,1.1
96,0.1,0.5,0.6
97,-,0.4,0.4
98,-,-,-
99,1,0.7,1.7
100,1.2,1.4,2.6
101,0.3,0.8,1
102,0.3,0.9,1.2
103,0.5,0.1,0.5
104,0.1,-,0.1
105,0.7,0.5,1.2
106,-,-,-
107,0.9,0.8,1.6
108,0.9,0.5,1.3
109,0.7,0.2,0.9
110,0.1,0.3,0.4
111,1.2,0.6,1.8
112,0.4,0.5,0.9
113,0.3,0.4,0.7
114,-,-,-
115,0.6,0.5,1.1
116,2.1,1.9,4
117,0.2,0.7,0.9
118,0.6,-,0.6
119,1.5,0.8,2.3
120,0.5,0.5,1
121,0.6,0.3,0.9
122,0.8,0.6,1.4
123,1,0.7,1.8
124,1.5,0.8,2.3
125,-,0.1,0.1
126,-,-,-
127,0.6,0.6,1.2
128,0.1,0.1,0.2
129,0.5,0.3,0.8
130,-,0.3,0.3
131,0.4,0.4,0.9
132,-,-,-
133,0.1,0.1,0.1
134,1.5,1,2.4
135,0.3,0.1,0.4
136,0.3,0.1,0.3
137,1,1.1,2.1
138,1.5,0.8,2.2
139,0.9,1,1.9
140,-,0.4,0.4
141,0.5,0.5,1
142,0.2,0.2,0.4
143,1.8,1.4,3.2
144,0.7,0.7,1.4
145,0.8,0.6,1.4
146,0.1,0.1,0.3
147,1.3,0.6,1.9
148,0.3,0.4,0.7
149,0.2,0.5,0.7
150,0.9,0.7,1.7
151,0.4,0.4,0.8
152,1.2,0.4,1.7
153,0.2,0.4,0.6
154,0.1,0.1,0.3
155,0.8,1.2,2
156,0.5,0.3,0.8
157,0.2,0.4,0.7
158,1.6,1,2.6
159,0.4,0.3,0.7
160,0.1,0.1,0.1
161,2.2,1.8,4
162,0.9,0.7,1.6
163,0.3,0.3,0.5
164,-,-,-
165,0.3,0.1,0.3
166,0.8,0.7,1.5
167,-,-,-
168,0.7,0.5,1.2
169,0.8,0.9,1.7
170,0.6,0.4,1
171,-,-,-
172,0.2,0.2,0.4
173,2,0.8,2.8
174,1,0.5,1.5
175,0.6,0.5,1.1
176,-,0.1,0.1
177,0.9,0.4,1.3
178,0.8,0.4,1.2
179,2.3,1.7,4
180,0.5,0.5,1
181,1.2,0.7,1.8
182,0.2,0.4,0.6
183,-,0.1,0.1
184,0.5,0.4,0.8
185,1.6,1.3,2.9
186,-,-,-
187,0.7,0.4,1
188,0.7,1.2,1.8
189,0.5,0.3,0.8
190,0.8,0.7,1.4
191,-,-,-
192,0.7,0.5,1.1
193,0.5,0.6,1.1
194,0.2,0.1,0.3
195,1,0.5,1.5
196,0.8,0.6,1.3
197,0.8,0.3,1.1
198,0.1,0.2,0.3
199,-,1,1
200,0.2,0.1,0.3
201,1.3,0.5,1.8
202,0.9,0.5,1.4
203,0.1,0.4,0.5
204,0.3,0.3,0.6
205,1,0.8,1.8
206,0.4,0.6,1.1
207,0.4,0.3,0.7
208,0.3,0.3,0.5
209,-,-,-
210,1.4,0.9,2.3
211,0.2,0.2,0.4
212,3.2,1.5,4.7
213,0.6,0.2,0.8
214,0.3,0.3,0.7
215,1.3,0.9,2.1
216,1,0.3,1.3
217,-,-,-
218,0.5,1.5,2
219,0.5,0.6,1.1
220,0.9,0.9,1.7
221,-,-,-
222,0.3,0.3,0.6
223,1.2,0.3,1.5
224,1.1,0.7,1.9
225,-,-,-
226,0.6,0.5,1.1
227,0.4,0.3,0.7
228,0.4,0.2,0.6
229,0.4,0.5,0.8
230,1.6,0.7,2.3
231,0.6,0.6,1.3
232,1.9,1.3,3.2
233,0.4,0.3,0.7
234,0.9,1,1.9
235,0.4,0.2,0.5
236,0.8,0.8,1.6
237,-,-,-
238,1.6,0.6,2.2
239,0.2,0.2,0.4
240,0.7,0.7,1.4
241,1.4,0.5,1.9
242,0.1,0.1,0.1
243,0.5,0.4,0.9
244,1.2,0.4,1.6
245,0.4,0.4,0.9
246,0.2,0.3,0.4
247,0.5,0.5,0.9
248,0.2,0.5,0.6
249,0.3,0.5,0.8
250,0.6,0.6,1.2
251,1.1,0.8,1.9
