,Fouled,Fouls
0,-,-
1,-,-
2,0.5,0.3
3,1.5,0.5
4,0.3,0.7
5,1.8,1.3
6,1.1,0.7
7,1.1,0.6
8,1.9,0.9
9,1,0.8
10,0.6,0.9
11,0.5,0.7
12,0.4,1
13,1.3,1
14,0.7,1.2
15,1.1,0.6
16,2,1.4
17,2.5,1
18,1.4,0.7
19,1.8,1.1
20,1.6,1.5
21,0.8,0.6
22,-,-
23,1.7,1.7
24,0.7,0.9
25,0.1,-
26,1.1,0.9
27,1.1,2
28,1.6,0.3
29,1,0.5
30,1.4,0.9
31,0.8,2
32,0.9,0.8
33,1.1,1
34,2.2,1
35,0.9,2.3
36,0.6,1
37,0.3,0.3
38,0.4,0.9
39,1.3,1.6
40,0.1,-
41,1.2,2
42,1.6,1.3
43,1.1,0.8
44,1.7,1.5
45,0.4,1
46,0.4,0.3
47,0.8,1.2
48,0.8,1
49,0.3,0.1
50,1.4,1.3
51,0.8,0.8
52,1,0.5
53,0.7,0.9
54,1.1,1.4
55,0.1,-
56,-,0.3
57,0.8,0.6
58,0.6,1.1
59,1.2,0.7
60,0.4,0.9
61,0.6,0.8
62,1.4,1.7
63,1.4,1.2
64,0.2,-
65,0.3,0.9
66,1.3,1.3
67,0.1,-
68,0.9,1.2
69,0.1,0.6
70,1.4,0.9
71,0.4,0.2
72,1.1,1.3
73,0.8,0.7
74,0.1,0.6
75,0.2,1
76,0.3,0.7
77,0.1,-
78,0.3,-
79,1.2,0.6
80,1,1.1
81,1.2,1.1
82,1.6,1.3
83,0.1,-
84,1.1,1
85,1.3,1.5
86,2.5,0.9
87,0.5,1.1
88,1,1.6
89,-,0.3
90,1.6,1.2
91,1.4,1.6
92,-,-
93,1.8,0.8
94,1.6,1.5
95,0.9,1.7
96,0.8,0.6
97,0.1,0.8
98,0.1,-
99,0.3,1.7
100,1.6,0.6
101,0.8,1
102,0.8,0.5
103,0.5,0.4
104,0.2,0.6
105,0.4,0.8
106,0.4,0.9
107,0.9,1.1
108,1.1,0.8
109,1.2,1.3
110,0.8,0.8
111,1.2,0.9
112,1.3,1.5
113,0.5,0.6
114,0.3,0.1
115,1.2,1
116,1,1.4
117,0.7,0.7
118,1,0.8
119,0.3,0.9
120,1.3,1.3
121,1.1,1.1
122,0.6,0.3
123,1.2,0.3
124,0.8,1.7
125,0.1,-
126,0.7,1.4
127,1.8,1.1
128,0.2,1
129,1,0.4
130,0.6,1.5
131,0.1,0.9
132,0.2,-
133,0.5,1.4
134,2.2,0.8
135,0.6,1.3
136,0.8,0.8
137,1.2,0.7
138,0.9,1
139,0.8,1
140,0.4,0.8
141,0.9,1
142,0.3,0.6
143,2.5,0.8
144,0.7,0.7
145,1,0.9
146,1.1,0.6
147,1.8,0.5
148,1,1
149,0.5,1.5
150,0.7,0.4
151,0.4,1.1
152,1.8,0.9
