,TotGs,SYBGs,PAGs,OOBGs
0,1,-,-,1
1,-,-,-,-
2,0.8,0.1,0.6,-
3,-,-,-,-
4,0.6,-,0.4,0.3
5,0.9,0.4,0.6,-
6,0.6,0.1,0.5,0.1
7,0.3,-,0.3,-
8,0.3,0.1,0.1,0.1
9,0.2,-,0.1,-
10,0.4,-,0.4,-
11,0.3,-,0.2,0.1
12,0.1,-,0.1,-
13,0.2,-,0.2,-
14,-,-,-,-
15,0.1,-,0.1,-
16,0.4,0.1,0.3,-
17,0.2,-,0.1,0.1
18,0.2,-,0.2,-
19,0.2,-,0.2,-
20,0.2,0.1,0.1,-
21,0.2,-,0.2,-
22,-,-,-,-
23,-,-,-,-
24,0.2,0.1,0.1,-
25,-,-,-,-
26,0.1,-,0.1,-
27,0.3,0.1,0.2,-
28,0.2,-,0.2,-
29,0.1,0.1,-,-
30,0.1,-,-,-
31,0.4,0.2,0.2,-
32,0.3,-,0.3,0.1
33,0.1,-,0.1,-
34,-,-,-,-
35,-,-,-,-
36,0.4,-,0.3,0.1
37,0.2,0.1,0.1,-
38,-,-,-,-
39,0.1,-,-,-
40,-,-,-,-
41,0.1,-,-,0.1
42,0.4,0.1,0.3,-
43,0.6,0.2,0.4,-
44,0.1,-,0.1,-
45,0.2,-,0.2,0.1
46,0.2,-,0.1,-
47,0.2,-,0.2,-
48,-,-,-,-
49,0.2,0.1,0.1,-
50,0.5,0.2,0.3,-
51,0.2,0.1,-,-
52,0.1,0.1,-,-
53,-,-,-,-
54,0.1,-,0.1,-
55,-,-,-,-
56,-,-,-,-
57,-,-,-,-
58,-,-,-,-
59,0.2,-,0.2,-
60,0.1,0.1,-,-
61,0.1,-,0.1,-
62,-,-,-,-
63,0.2,-,0.1,0.1
64,-,-,-,-
65,-,-,-,-
66,-,-,-,-
67,-,-,-,-
68,-,-,-,-
69,-,-,-,-
70,-,-,-,-
71,0.1,-,0.1,-
72,0.2,-,0.1,0.1
73,0.1,-,0.1,-
74,-,-,-,-
75,-,-,-,-
76,-,-,-,-
77,-,-,-,-
78,-,-,-,-
79,0.3,-,0.2,0.1
80,-,-,-,-
81,-,-,-,-
82,-,-,-,-
83,-,-,-,-
84,-,-,-,-
85,0.2,-,0.1,-
86,-,-,-,-
87,0.2,-,0.1,-
88,0.5,0.2,0.3,-
89,0.7,-,0.7,-
90,-,-,-,-
91,0.1,-,-,-
92,-,-,-,-
93,0.2,-,0.2,-
94,0.2,0.2,0.1,-
95,-,-,-,-
96,-,-,-,-
97,-,-,-,-
98,-,-,-,-
99,0.7,0.3,0.3,-
100,0.1,-,0.1,-
101,-,-,-,-
102,-,-,-,-
103,0.4,0.2,0.2,-
104,0.1,0.1,-,-
105,-,-,-,-
106,-,-,-,-
107,0.4,0.1,0.3,-
108,0.1,-,-,-
109,0.2,-,0.2,-
110,-,-,-,-
111,0.5,0.2,0.3,-
112,0.1,-,0.1,-
113,0.1,-,0.1,-
114,-,-,-,-
115,-,-,-,-
116,0.2,0.1,0.1,-
117,0.1,-,0.1,-
118,-,-,-,-
119,0.4,-,0.3,-
120,-,-,-,-
121,0.2,-,0.1,-
122,0.2,-,0.1,-
123,0.2,-,0.2,-
124,0.1,-,0.1,-
125,-,-,-,-
126,-,-,-,-
127,0.3,-,0.3,-
128,0.1,-,0.1,-
129,-,-,-,-
130,0.1,-,0.1,-
131,0.1,-,0.1,-
132,-,-,-,-
133,0.1,-,0.1,-
134,0.1,-,0.1,-
135,-,-,-,-
136,0.1,-,0.1,-
137,-,-,-,-
138,0.1,-,0.1,-
139,-,-,-,-
140,-,-,-,-
141,-,-,-,-
142,-,-,-,-
143,0.3,0.1,0.1,0.1
144,-,-,-,-
145,0.1,-,0.1,-
146,-,-,-,-
147,0.2,-,0.1,-
148,0.2,0.1,0.1,0.1
149,0.1,-,0.1,-
150,0.2,-,0.2,-
151,-,-,-,-
152,0.1,-,0.1,-
153,-,-,-,-
154,-,-,-,-
155,0.2,0.1,0.1,-
156,0.1,-,-,-
157,0.1,-,0.1,-
158,0.3,-,0.2,-
159,-,-,-,-
160,0.1,-,0.1,-
161,0.1,-,-,0.1
162,0.2,-,0.2,-
163,-,-,-,-
164,-,-,-,-
165,-,-,-,-
166,0.1,-,0.1,-
167,-,-,-,-
168,-,-,-,-
169,-,-,-,-
170,-,-,-,-
171,-,-,-,-
172,0.1,0.1,-,-
173,0.1,-,0.1,-
174,-,-,-,-
175,0.1,-,-,-
176,-,-,-,-
177,0.2,0.1,0.1,-
178,0.2,0.2,0.1,-
179,0.1,-,-,-
180,0.1,-,0.1,-
181,0.3,-,0.3,-
182,-,-,-,-
183,-,-,-,-
184,0.2,-,0.2,-
185,0.1,-,0.1,-
186,0.5,-,-,0.5
187,-,-,-,-
188,0.1,-,0.1,-
189,-,-,-,-
190,0.1,-,-,0.1
191,-,-,-,-
192,-,-,-,-
193,-,-,-,-
194,-,-,-,-
195,0.2,-,0.2,-
196,-,-,-,-
197,-,-,-,-
198,0.2,0.1,0.1,-
199,-,-,-,-
200,-,-,-,-
201,0.3,0.1,0.3,-
202,-,-,-,-
203,-,-,-,-
204,0.1,0.1,-,-
205,0.1,-,0.1,-
206,-,-,-,-
207,-,-,-,-
208,0.3,-,0.3,-
209,-,-,-,-
210,0.2,0.1,0.1,0.1
211,-,-,-,-
212,0.1,0.1,0.1,-
213,-,-,-,-
214,0.1,-,0.1,-
215,0.2,0.1,0.1,-
216,0.1,-,0.1,-
217,-,-,-,-
218,-,-,-,-
219,0.1,-,-,-
220,0.1,-,-,0.1
221,-,-,-,-
222,-,-,-,-
223,-,-,-,-
224,0.1,-,0.1,-
225,-,-,-,-
226,-,-,-,-
227,-,-,-,-
228,0.1,-,0.1,-
229,-,-,-,-
230,0.1,-,0.1,-
231,0.1,-,-,-
232,0.1,-,0.1,-
233,0.1,0.1,0.1,-
234,0.1,-,0.1,-
235,-,-,-,-
236,-,-,-,-
237,-,-,-,-
238,0.1,-,-,0.1
239,-,-,-,-
240,0.2,-,0.2,-
241,0.3,0.1,0.2,-
242,-,-,-,-
243,0.2,-,0.2,-
244,0.3,0.2,0.1,0.1
245,0.2,0.1,0.1,-
246,-,-,-,-
247,0.2,0.1,0.1,-
248,-,-,-,-
249,0.1,-,0.1,-
250,-,-,-,-
251,0.3,-,0.3,-
252,-,-,-,-
253,0.1,-,0.1,-
254,0.1,-,-,-
255,-,-,-,-
256,0.2,-,0.2,-
257,-,-,-,-
