,TotKPs,LKPs,SKPs
0,-,-,-
1,1,-,1
2,2.3,0.2,2
3,2,1,1
4,1.9,0.8,1.1
5,1.5,0.1,1.4
6,1.3,0.2,1.1
7,2.5,0.4,2.1
8,0.9,0.2,0.7
9,2.1,0.3,1.8
10,1.5,0.1,1.4
11,2.2,0.8,1.4
12,2.1,0.7,1.4
13,1.9,0.1,1.8
14,0.4,-,0.4
15,1.2,0.2,1
16,1,-,1
17,1.7,0.6,1
18,1.7,0.2,1.5
19,1.7,0.6,1.1
20,1,-,1
21,1.9,0.3,1.6
22,-,-,-
23,0.7,0.1,0.6
24,0.2,-,0.2
25,-,-,-
26,1,0.2,0.8
27,0.8,0.1,0.8
28,1.9,0.3,1.6
29,0.5,0.1,0.4
30,1.4,0.2,1.2
31,1.1,0.1,1.1
32,1.3,0.3,1.1
33,1.6,0.1,1.5
34,0.5,0.2,0.3
35,0.5,0.2,0.3
36,0.9,-,0.9
37,1.6,0.1,1.5
38,0.6,0.2,0.4
39,1.6,0.7,0.9
40,-,-,-
41,0.5,0.2,0.4
42,1.1,0.3,0.8
43,1.1,-,1.1
44,0.8,-,0.7
45,1.1,0.2,0.9
46,0.8,0.1,0.7
47,0.6,-,0.6
48,0.9,0.1,0.8
49,1.3,-,1.3
50,0.7,-,0.7
51,0.2,0.1,0.1
52,2.6,0.6,2
53,-,-,-
54,0.2,-,0.2
55,0.1,0.1,-
56,-,-,-
57,1.1,0.3,0.9
58,0.3,0.1,0.3
59,1.5,0.1,1.3
60,0.2,-,0.2
61,0.2,0.1,0.1
62,0.9,0.2,0.7
63,0.7,-,0.7
64,-,-,-
65,0.4,-,0.4
66,0.3,-,0.3
67,-,-,-
68,0.8,0.3,0.5
69,-,-,-
70,0.7,0.1,0.6
71,1.2,0.1,1.1
72,1.3,0.2,1.1
73,0.7,0.2,0.4
74,0.1,-,0.1
75,0.2,-,0.2
76,0.1,-,0.1
77,-,-,-
78,-,-,-
79,1.5,0.1,1.3
80,1.3,0.3,1
81,0.5,0.2,0.4
82,0.8,-,0.8
83,-,-,-
84,0.3,-,0.2
85,0.5,0.1,0.5
86,0.5,-,0.5
87,0.8,0.2,0.6
88,0.8,-,0.8
89,0.3,-,0.3
90,1.4,0.5,0.9
91,1.6,0.1,1.4
92,-,-,-
93,1.1,0.2,0.9
94,1,0.1,0.9
95,1.2,0.3,0.9
96,1.4,0.4,1
97,0.3,-,0.3
98,-,-,-
99,0.3,-,0.3
100,1,0.1,0.9
101,0.3,-,0.3
102,1.7,0.9,0.9
103,0.7,-,0.7
104,0.2,0.1,0.1
105,0.3,-,0.3
106,0.3,0.1,0.2
107,0.6,-,0.6
108,1.2,0.5,0.7
109,0.8,0.2,0.6
110,0.3,0.1,0.2
111,0.6,-,0.6
112,0.8,0.3,0.5
113,1.3,0.4,0.9
114,0.1,-,-
115,0.4,-,0.3
116,1.2,0.1,1
117,0.2,0.1,0.1
118,0.2,-,0.2
119,0.6,-,0.6
120,0.5,0.1,0.4
121,1.1,0.3,0.8
122,1.2,0.4,0.8
123,0.7,-,0.6
124,0.9,-,0.9
125,-,-,-
126,0.3,0.2,0.1
127,0.2,-,0.2
128,0.2,-,0.2
129,0.3,-,0.3
130,0.1,-,0.1
131,0.4,-,0.4
132,0.1,0.1,-
133,0.1,-,0.1
134,2.5,1,1.5
135,0.5,-,0.4
136,0.1,-,0.1
137,1.8,1,0.8
138,1.1,-,1.1
139,1.1,0.2,1
140,0.3,0.1,0.2
141,0.9,0.1,0.7
142,0.6,0.1,0.4
143,0.9,0.1,0.9
144,0.5,0.1,0.5
145,0.6,-,0.6
146,0.3,0.1,0.1
147,0.9,-,0.9
148,0.2,0.1,0.2
149,0.4,-,0.4
150,1.3,0.7,0.6
151,0.2,0.1,0.1
152,0.8,0.1,0.7
153,0.2,-,0.2
154,-,-,-
155,0.6,-,0.6
156,0.8,0.2,0.6
157,0.2,-,0.2
158,0.7,-,0.7
159,0.8,0.2,0.5
160,0.1,-,0.1
161,0.9,0.2,0.7
162,1.3,0.2,1.2
163,0.3,0.1,0.2
164,-,-,-
165,-,-,-
166,1,0.1,0.9
167,1,1,-
168,0.8,0.1,0.8
169,1,0.2,0.7
170,0.2,-,0.2
171,-,-,-
172,0.1,-,0.1
173,1.2,0.1,1.1
174,0.3,-,0.3
175,0.4,-,0.4
176,-,-,-
177,1.3,0.1,1.3
178,0.9,0.2,0.8
179,1,0.1,0.9
180,1,0.2,0.8
181,0.5,-,0.5
182,0.6,0.2,0.4
183,0.2,-,0.1
184,0.5,-,0.5
185,1.1,0.1,1
186,0.5,-,0.5
187,0.9,-,0.9
188,0.6,0.1,0.5
189,0.5,0.1,0.5
190,0.6,0.2,0.3
191,-,-,-
192,0.7,0.1,0.6
193,0.3,-,0.2
194,0.1,-,0.1
195,1.1,0.1,1
196,0.6,0.2,0.4
197,0.8,0.2,0.6
198,0.2,-,0.2
199,-,-,-
200,0.1,0.1,-
201,0.6,-,0.6
202,0.1,-,0.1
203,0.4,0.1,0.3
204,0.9,0.3,0.6
205,0.9,0.1,0.8
206,0.3,0.1,0.3
207,0.1,-,0.1
208,-,-,-
209,-,-,-
210,0.6,0.1,0.5
211,0.5,0.1,0.4
212,0.8,0.1,0.7
213,1,0.3,0.8
214,0.6,-,0.6
215,0.5,0.2,0.4
216,0.7,0.1,0.6
217,0.2,0.2,-
218,2,0.5,1.5
219,0.9,0.2,0.6
220,0.9,-,0.9
221,-,-,-
222,0.1,-,0.1
223,0.3,-,0.3
224,0.6,0.1,0.4
225,-,-,-
226,1,0.4,0.7
227,0.6,0.2,0.4
228,0.7,0.2,0.6
229,0.5,0.1,0.5
230,1.2,0.1,1.1
231,0.3,-,0.3
232,1.2,0.2,1
233,0.3,-,0.3
234,0.8,-,0.8
235,0.1,-,0.1
236,0.8,-,0.7
237,-,-,-
238,1.2,0.2,0.9
239,0.6,-,0.5
240,0.5,-,0.5
241,0.5,-,0.5
242,0.1,-,0.1
243,0.2,-,0.2
244,1.3,0.1,1.2
245,0.4,-,0.4
246,0.6,-,0.5
247,0.8,0.1,0.7
248,0.1,-,-
249,0.3,-,0.2
250,0.4,0.1,0.3
251,0.8,-,0.8
252,0.4,0.1,0.3
253,0.5,0.1,0.4
254,0.7,-,0.7
255,0.2,-,0.2
256,0.4,-,0.4
257,1.5,0.4,1.1
258,0.6,-,0.6
259,1.1,-,1.1
260,0.5,-,0.5
261,0.6,0.1,0.5
