,COF
0,-
1,-
2,0.3
3,-
4,0.4
5,0.4
6,0.1
7,0.1
8,-
9,0.3
10,0.2
11,0.3
12,-
13,-
14,-
15,0.1
16,0.3
17,0.1
18,-
19,-
20,0.3
21,-
22,-
23,0.1
24,-
25,-
26,0.1
27,0.4
28,0.3
29,-
30,-
31,0.4
32,0.4
33,0.3
34,-
35,0.1
36,0.2
37,0.3
38,-
39,-
40,-
41,-
42,0.3
43,0.2
44,-
45,0.1
46,-
47,-
48,-
49,0.3
50,0.9
51,-
52,0.3
53,-
54,-
55,-
56,-
57,-
58,-
59,0.1
60,0.1
61,-
62,-
63,0.1
64,-
65,-
66,0.1
67,-
68,-
69,-
70,0.3
71,0.2
72,0.1
73,0.1
74,-
75,-
76,-
77,-
78,-
79,0.1
80,0.1
81,-
82,-
83,-
84,0.1
85,-
86,0.1
87,0.2
88,0.7
89,-
90,-
91,0.2
92,-
93,0.1
94,0.1
95,-
96,0.2
97,-
98,-
99,1.3
100,-
101,-
102,0.1
103,0.4
104,0.1
105,-
106,-
107,0.3
108,0.1
109,-
110,-
111,0.4
112,-
113,-
114,-
115,-
116,0.1
117,-
118,0.2
119,0.3
120,-
121,-
122,-
123,0.3
124,0.2
125,-
126,-
127,-
128,0.1
129,-
130,-
131,0.1
132,-
133,0.1
134,-
135,-
136,-
137,0.2
138,0.4
139,0.1
140,-
141,-
142,-
143,0.1
144,-
145,0.3
146,-
147,0.2
148,-
149,-
150,-
151,-
152,-
153,-
154,-
155,0.2
156,0.1
157,-
158,0.2
159,-
160,-
161,0.3
162,-
163,-
164,-
165,-
166,0.1
167,-
168,0.1
169,-
170,-
171,-
172,-
173,0.4
174,0.2
175,-
176,-
177,0.4
178,0.1
179,-
180,0.2
181,-
182,0.1
183,-
184,0.2
185,-
186,-
187,-
188,-
189,-
190,-
191,-
192,-
193,-
194,-
195,0.4
196,0.2
197,-
198,0.1
199,-
200,-
201,0.1
202,-
203,-
204,0.2
205,0.3
206,-
207,-
208,0.3
209,-
210,-
211,-
212,0.2
213,-
214,-
215,0.1
216,0.2
217,-
218,-
219,-
220,0.1
221,-
222,-
223,0.1
224,0.2
225,-
226,0.1
227,-
228,-
229,-
230,-
231,-
232,0.3
233,0.1
234,0.3
235,-
236,0.2
237,-
238,0.5
239,0.1
240,0.2
241,0.5
242,-
243,0.2
244,0.2
245,0.1
246,-
247,1.1
248,-
249,-
250,-
251,0.4
252,-
253,-
254,0.1
255,-
256,0.2
257,0.1
258,0.6
259,0.4
260,0.2
261,-
262,0.1
263,-
264,-
265,0.1
266,-
267,-
268,-
269,0.1
270,0.7
271,0.1
272,-
273,-
274,-
275,0.1
276,-
277,-
278,-
279,0.1
280,0.1
281,-
282,0.1
283,-
284,1.1
285,0.1
286,0.5
287,-
288,-
289,-
290,-
291,-
292,-
293,0.1
294,-
295,0.1
296,0.2
297,0.1
298,-
299,-
300,-
301,0.5
302,0.4
303,0.1
304,-
305,0.1
306,0.8
307,-
308,-
309,-
310,-
311,-
312,0.2
313,-
314,0.4
315,0.1
316,0.1
317,-
318,-
319,0.1
320,0.1
321,-
322,0.1
323,-
324,-
325,0.1
326,-
327,-
328,-
329,0.2
330,-
331,-
332,-
333,0.1
334,-
335,-
336,-
337,0.1
338,-
339,-
340,0.2
341,0.2
342,0.3
343,0.5
344,-
345,-
346,-
347,-
348,0.2
349,0.1
350,-
351,-
352,-
353,-
354,-
355,-
356,-
357,-
358,-
359,-
360,0.4
361,-
362,-
363,0.2
364,-
365,-
366,0.1
367,0.3
368,-
369,-
370,0.3
371,0.1
372,0.3
373,0.1
374,-
375,0.5
376,-
377,-
378,-
379,-
380,-
381,0.3
382,-
383,-
384,-
385,-
386,0.2
387,0.1
388,-
389,-
390,-
391,-
392,0.1
393,0.1
394,-
395,-
396,0.1
397,-
398,0.1
399,0.1
400,0.4
401,-
402,0.3
403,0.1
404,-
405,-
406,0.1
407,0.2
408,-
409,-
410,0.1
411,0.1
412,0.1
413,-
414,1.1
415,-
416,-
417,0.2
418,-
419,-
420,-
421,-
422,-
423,-
424,-
425,-
426,0.1
427,0.3
428,-
429,-
430,0.2
431,-
432,0.1
433,-
434,-
435,-
436,-
437,-
438,-
439,-
440,-
441,-
442,-
443,0.1
444,-
445,-
446,-
447,-
448,0.1
449,-
450,-
451,-
452,-
453,0.3
454,-
455,-
456,0.2
457,-
458,-
459,1
460,-
461,0.2
462,-
463,0.1
464,0.2
465,-
466,-
467,-
468,-
469,-
470,-
471,-
472,-
473,-
474,-
475,-
476,-
477,0.3
478,-
479,-
480,-
481,-
482,-
483,-
484,-
485,0.1
486,0.1
487,0.3
488,-
489,-
490,-
491,0.7
492,-
493,-
494,0.3
495,-
496,-
497,-
498,0.1
499,-
500,-
501,0.3
502,-
503,-
504,0.5
505,-
506,-
507,-
508,-
509,-
510,-
511,0.4
512,-
513,-
514,1
515,-
516,-
517,-
518,-
519,1
520,-
521,-
522,-
523,-
524,-
525,-
526,-
527,-
528,-
529,-
530,-
531,-
532,-
533,-
534,-
535,-
536,-
537,-
538,-
539,-
540,-
541,-
542,-
