,UnTch,Dispo
0,1,1
1,-,1
2,1.4,1
3,-,-
4,1.3,1.1
5,2.5,1.1
6,1.7,1.4
7,1.6,1.5
8,1.4,0.3
9,1.5,0.6
10,1.9,0.6
11,1.2,1.8
12,1.2,0.3
13,1.7,1.1
14,0.4,0.3
15,0.9,0.6
16,2.3,2
17,1.9,1.2
18,1.2,1.8
19,2.6,1.5
20,1,0.6
21,0.8,0.8
22,-,-
23,1.6,1.1
24,0.3,0.1
25,-,-
26,2.1,0.9
27,1.7,1.2
28,2,1.8
29,0.5,0.1
30,1,0.8
31,1.9,0.3
32,1.9,2.4
33,2.6,1.4
34,1.7,0.7
35,1,0.5
36,1.7,0.6
37,0.9,0.5
38,0.6,0.4
39,1.4,0.7
40,-,-
41,0.9,0.9
42,2.8,2
43,2.1,1.3
44,1.2,0.8
45,0.9,0.4
46,1.1,0.7
47,1.3,0.9
48,1.4,0.5
49,0.3,0.4
50,2.3,1.1
51,0.2,0.1
52,2.6,1.2
53,0.4,-
54,1,0.2
55,-,-
56,-,-
57,1.2,0.9
58,1.3,0.3
59,1.8,0.5
60,0.7,0.1
61,0.6,0.3
62,1.2,0.3
63,1.1,0.9
64,-,-
65,0.1,-
66,0.5,0.3
67,0.1,-
68,1.4,1.2
69,0.1,0.3
70,1.9,0.4
71,0.8,0.6
72,1.4,0.9
73,1.2,0.5
74,0.3,0.3
75,0.4,0.1
76,0.6,0.1
77,-,0.1
78,-,-
79,2.2,1.7
80,1.2,0.5
81,0.8,0.6
82,1.2,0.6
83,-,0.1
84,0.7,0.3
85,0.6,0.5
86,0.5,0.9
87,1.2,0.6
88,1.8,0.6
89,1.3,0.3
90,1.3,1.1
91,2,1.3
92,-,-
93,1.9,1.1
94,1.4,0.3
95,0.6,1.1
96,0.9,0.3
97,0.5,0.3
98,-,-
99,2,-
100,1.6,1.2
101,0.8,0.5
102,1.1,0.2
103,0.6,0.5
104,0.4,0.1
105,0.6,0.5
106,0.4,0.1
107,2.1,0.7
108,1.1,0.7
109,1,0.9
110,0.2,0.4
111,1.8,1.8
112,1.2,0.4
113,0.9,0.4
114,-,-
115,0.6,0.4
116,1.7,1.6
117,0.6,0.1
118,0.4,-
119,2.1,1.3
120,0.9,0.6
121,1.6,0.7
122,0.7,0.5
123,1.2,0.6
124,1.9,1.2
125,-,-
126,0.3,-
127,1.1,1.2
128,0.4,0.1
129,0.3,0.1
130,0.4,0.2
131,0.8,0.4
132,-,-
133,0.4,0.1
134,1.6,1
135,0.5,0.1
136,0.5,0.2
137,1.1,0.8
138,1.4,1.2
139,1.1,1.1
140,0.5,0.1
141,0.9,0.3
142,0.3,0.2
143,2.3,0.9
144,1.3,1
145,1.2,0.4
146,0.1,0.3
147,2.2,1
148,0.6,0.3
149,0.8,0.7
150,1.5,0.7
151,0.5,0.4
152,1,0.8
153,0.5,0.5
154,0.4,0.1
155,1.6,1.2
156,1.2,0.6
157,0.2,0.2
158,2.8,1.8
159,0.9,0.2
160,0.4,0.1
161,2.1,1.4
162,1.2,1
163,0.5,0.1
164,-,-
165,0.3,0.3
166,2,0.9
167,1,1
168,0.8,0.7
169,0.7,0.4
170,1.2,0.5
171,-,-
172,0.4,0.2
173,2.7,1
174,1.7,0.7
175,1.2,0.6
176,0.1,-
177,1.8,0.7
178,0.8,0.6
179,2.1,1.7
180,0.8,0.5
181,0.8,0.3
182,0.8,0.4
183,0.3,0.1
184,1.1,0.3
185,1.4,0.8
186,0.5,0.5
187,1,0.5
188,1.2,0.7
189,1,0.9
190,0.8,1.6
191,-,-
192,1,0.6
193,0.9,0.5
194,0.3,0.1
195,2.2,1.9
196,0.7,0.8
197,1.1,0.4
198,0.7,0.4
199,-,-
200,0.5,0.2
201,1.4,0.6
202,0.9,0.5
203,0.7,0.6
204,1.1,0.8
205,1.8,1.2
206,0.6,0.6
207,0.7,0.2
208,0.3,0.8
209,-,-
210,1,0.5
211,0.7,0.6
212,3.2,1.3
213,0.8,0.4
214,0.8,0.4
215,0.7,0.4
216,1.2,0.6
217,-,-
218,-,-
219,1.4,0.7
220,0.6,0.4
221,0.1,-
222,0.6,0.2
223,0.7,0.4
224,0.7,0.7
225,-,-
226,0.7,0.5
227,0.6,0.5
228,0.6,0.4
229,0.8,0.4
230,2.1,0.9
231,1.6,0.8
232,0.9,0.8
233,0.7,0.5
234,1.3,1
235,0.8,0.4
236,1.2,0.8
237,0.1,-
238,1.2,0.8
239,0.4,0.2
240,1.1,1
241,2.6,1
242,0.4,0.1
243,1.6,0.8
244,2.5,0.8
245,0.4,0.7
246,0.4,0.7
247,1.1,0.9
248,0.6,0.1
249,0.3,0.3
250,1.2,0.3
251,1.7,0.8
252,0.7,0.8
253,0.9,1.1
254,0.9,0.7
255,1.3,0.7
256,1.1,1.1
257,0.3,0.4
258,1.4,0.7
259,1.8,0.6
260,2.1,0.9
261,0.6,0.5
262,0.8,0.5
263,0.6,0.3
264,0.6,0.3
265,1,0.5
266,0.3,0.2
267,1,0.7
268,0.6,0.4
269,1.2,0.2
270,2.3,0.5
271,1.7,1.1
272,0.4,0.4
273,0.7,0.2
274,0.7,0.6
275,1,0.2
276,0.9,0.1
277,0.4,-
278,0.7,0.3
279,0.7,0.1
280,2.1,1
281,0.8,0.5
