,TotSh,OOBSh,SYBSh,PASh
0,2,1,-,1
1,-,-,-,-
2,3.3,0.8,0.3,2.2
3,-,-,-,-
4,3.9,1,0.1,2.8
5,2.9,0.1,0.6,2.1
6,3.4,1.4,0.2,1.8
7,1.3,0.3,0.1,0.9
8,1.3,0.6,0.3,0.4
9,1.3,0.6,0.1,0.6
10,2.3,0.3,0.2,1.7
11,1.8,0.8,-,0.9
12,1,0.3,-,0.7
13,1.9,0.6,-,1.3
14,0.9,-,0.1,0.8
15,1,0.2,0.1,0.6
16,1.9,0.2,0.2,1.5
17,1.8,1,-,0.8
18,2.1,1,0.2,0.9
19,2,0.6,-,1.3
20,1.7,0.5,0.3,0.9
21,1.4,0.6,-,0.8
22,-,-,-,-
23,0.5,0.1,-,0.4
24,1.1,0.2,0.2,0.7
25,-,-,-,-
26,0.8,0.2,0.1,0.6
27,1.4,0.3,0.2,0.9
28,1.4,0.3,-,1.1
29,1.2,0.3,0.3,0.6
30,1.1,0.6,0.1,0.5
31,1.6,0.1,0.4,1.1
32,1.9,1.1,0.1,0.8
33,1.9,0.4,0.1,1.3
34,0.8,0.6,-,0.2
35,0.8,0.1,0.1,0.7
36,2.8,0.5,0.2,2
37,0.9,0.2,0.2,0.5
38,1.1,0.9,0.1,0.1
39,1,0.7,-,0.2
40,-,-,-,-
41,1.2,1.2,-,-
42,2.7,1.2,0.3,1.3
43,2.2,0.3,0.3,1.6
44,1.5,0.6,0.1,0.8
45,0.9,0.4,-,0.5
46,1,0.6,-,0.4
47,1.3,0.5,0.1,0.7
48,0.8,0.2,-,0.6
49,2.2,0.4,0.3,1.4
50,2.3,0.1,0.3,1.9
51,0.5,-,0.1,0.3
52,1,0.3,0.2,0.5
53,0.3,-,-,0.3
54,1,0.2,-,0.8
55,-,-,-,-
56,-,-,-,-
57,0.8,0.5,0.1,0.3
58,0.6,0.1,0.1,0.4
59,1.5,0.5,-,0.9
60,1.1,-,0.2,0.9
61,0.5,0.1,-,0.3
62,0.6,0.3,-,0.2
63,1.5,0.5,0.1,0.8
64,-,-,-,-
65,0.3,-,0.1,0.1
66,0.7,0.1,0.2,0.4
67,-,-,-,-
68,0.2,0.1,-,0.1
69,0.8,-,0.1,0.6
70,1.1,0.7,-,0.4
71,1.5,0.7,0.1,0.7
72,1.3,0.7,-,0.5
73,0.9,0.2,-,0.7
