,TotTkl,DribPast,TotAttTkl
0,1,2,3
1,2,-,2
2,0.4,0.3,0.7
3,2.5,1,3.5
4,0.5,0.1,0.5
5,0.3,0.3,0.6
6,1.1,0.6,1.7
7,0.5,0.8,1.3
8,3.5,1.2,4.7
9,2,1.2,3.1
10,0.8,0.7,1.5
11,1.6,0.8,2.4
12,1.9,1,2.9
13,1.5,0.8,2.3
14,2.4,0.8,3.2
15,2.3,0.6,2.9
16,1.3,0.2,1.5
17,0.9,0.4,1.3
18,1.5,0.8,2.2
19,1.3,0.7,2
20,1.8,1,2.8
21,0.8,0.6,1.4
22,-,0.5,0.5
23,3.4,1.4,4.8
24,2.1,0.4,2.5
25,-,-,-
26,1.3,0.8,2.1
27,1.7,0.4,2.2
28,0.6,0.5,1.1
29,0.9,0.2,1.1
30,2,1.2,3.2
31,0.8,0.8,1.6
32,0.4,0.4,0.8
33,1.7,0.8,2.5
34,2.5,0.7,3.3
35,1.6,0.3,1.9
36,0.7,0.5,1.2
37,0.5,-,0.5
38,1.8,0.5,2.3
39,2.3,0.7,3.1
40,0.1,0.1,0.1
41,2.3,0.8,3.1
42,1.7,1.5,3.3
43,0.7,0.3,1
44,2.7,0.8,3.5
45,1.8,0.6,2.4
46,1.5,0.8,2.3
47,1.6,0.4,2
48,2.8,0.7,3.5
49,0.3,0.5,0.8
50,0.2,0.2,0.4
51,1.4,0.6,2
52,1.4,1.4,2.8
53,2.1,0.6,2.7
54,2.5,0.8,3.2
55,-,0.1,0.1
56,-,0.3,0.3
57,1.3,0.7,1.9
58,2,0.5,2.5
59,1.5,0.7,2.2
60,1.2,0.6,1.8
61,1.7,0.5,2.2
62,3,1.2,4.2
63,2.1,0.6,2.8
64,-,-,-
65,1.4,0.4,1.8
66,1.3,0.3,1.7
67,-,-,-
68,2.3,1.1,3.4
69,0.9,-,0.9
70,1.7,0.4,2.1
71,1.3,0.9,2.2
72,2,1.2,3.2
73,2.2,0.8,3
74,1.6,0.3,1.9
75,1.2,0.3,1.5
76,2,0.3,2.4
77,0.1,0.1,0.2
78,-,0.1,0.1
79,0.7,1.1,1.8
80,2,1.4,3.5
81,2.4,0.4,2.8
82,1.7,0.6,2.4
83,-,0.1,0.2
84,1.1,0.4,1.5
85,2.4,0.7,3.1
86,2,0.3,2.3
87,1.9,0.6,2.5
88,0.5,0.4,0.8
89,1.3,0.7,2
90,1.8,0.7,2.5
91,2.8,1.2,4
92,0.2,-,0.2
93,1,0.4,1.4
94,1.9,0.8,2.7
95,2,0.5,2.5
96,1.3,0.8,2.1
97,1.8,0.9,2.7
98,0.1,-,0.1
99,-,0.3,0.3
100,1.9,0.4,2.4
101,2,0.8,2.8
102,1.2,0.3,1.5
103,0.6,0.2,0.7
104,1.9,0.2,2.1
105,2.1,0.6,2.7
106,1.6,0.6,2.2
107,0.6,0.5,1.1
108,1.9,0.5,2.4
109,1.7,0.9,2.6
110,1.7,0.3,2
111,0.6,0.2,0.8
112,2.5,1.4,3.9
113,2.3,0.6,3
114,0.1,0.1,0.2
115,1.5,0.3,1.8
116,1.6,1,2.6
117,1.3,0.4,1.7
118,1.4,-,1.4
119,0.8,0.6,1.4
120,2,0.7,2.7
121,1.7,1,2.6
122,0.7,0.4,1.1
123,0.7,0.3,1
124,1.6,0.8,2.3
125,-,-,-
126,1.6,0.6,2.2
127,2.3,0.8,3.1
128,2.2,0.5,2.7
129,1.9,0.5,2.4
130,1,0.3,1.3
131,1.9,0.6,2.4
132,0.1,-,0.1
133,1.1,0.5,1.5
134,1,0.9,1.9
135,1.9,0.7,2.6
136,2,0.5,2.5
137,1,0.4,1.4
138,1,0.4,1.4
139,2.2,1.2,3.4
140,1.4,0.3,1.7
141,1.6,0.5,2.1
142,1.6,0.4,2
143,1.5,0.6,2.1
144,1.7,0.7,2.4
145,2.3,0.9,3.2
146,0.9,0.3,1.1
147,0.7,1.2,1.9
148,1.7,0.5,2.2
149,1.9,0.7,2.6
150,1.3,0.6,1.8
151,1.3,0.3,1.6
152,0.7,0.4,1.1
153,2.5,0.3,2.8
154,0.9,0.4,1.3
155,0.3,0.2,0.6
156,1.3,0.7,2
157,1.9,0.4,2.3
158,0.4,0.2,0.5
159,1.9,0.9,2.8
160,1.3,0.4,1.7
161,0.9,0.7,1.6
162,0.7,0.1,0.8
163,1.7,0.5,2.1
164,-,-,-
165,1.8,0.8,2.5
166,1.4,0.6,2
167,2,-,2
168,2.1,0.8,3
169,1.6,0.6,2.2
170,2.5,0.9,3.4
171,-,-,0.1
172,1.2,0.4,1.5
173,0.5,0.3,0.8
174,2,0.3,2.3
175,2.2,1,3.2
176,0.2,0.1,0.2
177,1,0.9,1.9
178,0.9,0.5,1.4
179,0.9,0.6,1.5
180,1,0.3,1.4
181,0.5,0.7,1.2
182,2.2,0.6,2.9
183,1.5,0.3,1.7
184,0.6,0.3,0.9
185,0.4,0.2,0.6
186,1,-,1
187,1.5,0.5,2
188,1.4,0.7,2.1
189,2.7,0.6,3.3
190,2.7,0.7,3.3
191,-,0.1,0.1
192,1.1,0.5,1.6
193,2.1,0.5,2.6
194,2.5,1,3.5
195,0.7,0.4,1.1
196,0.8,0.3,1.1
197,1.7,0.9,2.6
198,1.5,0.4,1.9
199,3,-,3
200,1.7,0.4,2.1
201,0.2,0.2,0.4
202,2,0.9,2.9
203,1.3,0.3,1.5
204,0.9,0.5,1.4
205,1.3,0.3,1.6
206,2.3,0.9,3.2
207,1.4,0.6,2
208,0.3,-,0.3
209,-,0.1,0.1
210,0.5,0.3,0.8
211,2.1,0.5,2.6
212,0.9,0.5,1.4
213,0.8,0.3,1
214,1.6,0.6,2.2
215,0.7,0.3,0.9
216,1.3,0.6,1.9
217,0.1,-,0.1
218,0.5,-,0.5
219,1.3,0.6,1.9
220,0.7,0.4,1.1
221,0.1,-,0.1
222,1.7,0.3,2.1
223,2.5,0.6,3.1
224,1.3,0.5,1.7
225,-,0.1,0.1
226,1.4,0.7,2
227,1.8,0.8,2.6
228,1.3,0.3,1.6
229,1.6,0.5,2.2
230,1.3,1.1,2.4
231,2.4,1.4,3.9
232,0.5,0.2,0.7
233,0.8,0.5,1.3
234,0.9,0.7,1.6
235,1.4,0.2,1.5
236,1.4,0.4,1.8
237,0.1,-,0.1
238,0.7,0.5,1.2
239,1.2,0.7,1.9
240,0.4,0.2,0.6
241,0.8,0.7,1.5
242,1.5,0.4,1.9
243,0.6,0.3,0.9
244,0.4,0.8,1.3
245,0.3,0.3,0.6
246,1.5,0.7,2.1
247,0.3,0.1,0.3
248,1.4,0.5,1.9
249,2.2,0.8,3
250,1.1,0.7,1.8
251,0.1,-,0.1
