,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,Benjamin Bourigeaud,1,81,1,-,-,-,2,85.7,2,-,7.99
1,Logan Costa,1,90,-,-,-,-,-,83.3,4,-,7.73
2,Ousmane Dembélé,19(9),1663,21,6,2,-,3.3,83.3,0.1,9,7.70
3,Ismail Jakobs,2,180,-,-,-,-,-,88.5,0.5,-,7.55
4,Amine Gouiri,9(2),789,7,3,-,-,3.9,89.7,0.2,2,7.44
5,Mika Biereth,14,1149,13,2,1,-,2.9,62.7,1.4,4,7.41
6,Mason Greenwood,29(2),2550,18,4,2,-,3.4,83.2,0.2,10,7.36
7,Rayan Cherki,20(7),1843,8,10,3,-,1.3,84.9,0.1,6,7.35
8,Andrey Santos,29,2587,9,3,7,-,1.3,88.1,1.2,2,7.34
9,Achraf Hakimi,23(1),1978,4,6,4,-,1.3,91,0.4,-,7.33
10,Bradley Barcola,24(7),1976,13,10,2,-,2.3,83.8,0.4,4,7.27
11,Gaëtan Perrin,28(3),2445,9,9,1,-,1.8,78.3,0.1,7,7.26
12,Jonathan Clauss,24(1),2047,3,8,7,-,1,78,0.6,3,7.25
13,Désiré Doué,17(11),1599,6,6,1,-,1.9,85.8,0.3,2,7.23
14,Jérémy Jacquet,9,778,-,1,-,-,0.9,86.2,2.1,2,7.20
15,João Neves,20(7),1730,3,8,1,-,1,92.2,0.8,4,7.18
16,Evann Guessand,28(3),2435,11,7,2,-,1.9,78.1,0.9,5,7.16
17,Dilane Bakwa,26(1),2270,5,8,4,-,1.8,80.8,0.4,5,7.16
18,Khvicha Kvaratskhelia,10(3),830,2,3,-,-,2.1,88.6,0.2,2,7.14
19,Ludovic Blas,23(3),2051,6,7,6,-,2,81.3,0.5,2,7.11
20,Corentin Tolisso,26(4),2234,7,4,4,-,1.7,86,1.8,-,7.11
21,Lee Kang-In,17(11),1533,6,6,1,-,1.4,91.8,0.1,2,7.10
22,Théo De Percin,2,180,-,-,-,-,-,49.1,-,1,7.10
23,Benjamin André,28,2513,-,3,12,-,0.5,84,3.1,3,7.09
24,Jubal,28,2463,6,-,6,-,1.1,86,2.6,2,7.09
25,Djordje Petrovic,28,2520,-,-,2,-,-,78.6,0.2,4,7.08
26,Diego Moreira,26(3),2382,2,7,4,1,0.8,81.2,0.9,4,7.07
