,Name,Club,Age,Height,National,Positions
0,Juan Musso,Atletico Madrid,30 years old (06-05-1994),191cm,Argentina,Goalkeeper
1,Daniele Padelli,Udinese,39 years old (25-10-1985),191cm,Italy,Goalkeeper
2,Rui Patrício,Atalanta,37 years old (15-02-1988),190cm,Portugal,Goalkeeper
3,Bremer,Juventus,28 years old (18-03-1997),188cm,Brazil,Defender (Centre)
4,Christos Mandas,Lazio,23 years old (17-09-2001),189cm,Greece,Goalkeeper
5,Stefan Posch,Atalanta,27 years old (14-05-1997),190cm,Austria,"Defender (Centre, Right)"
6,Marcus Thuram,Inter,27 years old (06-08-1997),192cm,France,"Attacking Midfielder (Left), Forward"
7,Scott McTominay,Napoli,28 years old (08-12-1996),193cm,Scotland,"Defender (Centre), Midfielder (Centre)"
8,Ademola Lookman,Atalanta,27 years old (20-10-1997),174cm,Nigeria,"Attacking Midfielder (Centre, Left, Right), Forward"
9,Simone Scuffet,Napoli,28 years old (31-05-1996),193cm,Italy,Goalkeeper
10,Nico Paz,Como,20 years old (08-09-2004),186cm,,Attacking Midfielder (Centre)
11,Mateo Retegui,Atalanta,26 years old (29-04-1999),186cm,Italy,Forward
12,Duván Zapata,Torino,34 years old (01-04-1991),189cm,Colombia,Forward
13,Hakan Çalhanoglu,Inter,31 years old (08-02-1994),178cm,Turkey,"Midfielder (Centre, Left, Right), Forward"
14,Lautaro Martínez,Inter,27 years old (22-08-1997),174cm,Argentina,Forward
15,Khvicha Kvaratskhelia,Paris Saint-Germain,24 years old (12-02-2001),183cm,Georgia,"Attacking Midfielder (Centre, Left, Right), Forward"
16,Pablo Marí,Fiorentina,31 years old (31-08-1993),193cm,Spain,Defender (Centre)
17,Moise Kean,Fiorentina,25 years old (28-02-2000),183cm,Italy,"Attacking Midfielder (Left, Right), Forward"
18,Valentín Castellanos,Lazio,26 years old (03-10-1998),178cm,Argentina,"Attacking Midfielder (Right), Forward"
19,Mattia Zaccagni,Lazio,29 years old (16-06-1995),177cm,Italy,"Attacking Midfielder (Centre, Left), Forward"
20,Alexis Saelemaekers,Roma,25 years old (27-06-1999),180cm,Belgium,"Midfielder (Left, Right)"
21,Renato Veiga,Juventus,21 years old (29-07-2003),190cm,Portugal,"Defender (Centre, Left)"
22,Rafael Leão,AC Milan,25 years old (10-06-1999),188cm,Portugal,"Attacking Midfielder (Centre, Left), Forward"
23,Francesco Acerbi,Inter,37 years old (10-02-1988),192cm,Italy,Defender (Centre)
24,Tijjani Reijnders,AC Milan,26 years old (29-07-1998),185cm,Netherlands,Midfielder (Centre)
25,Alessandro Buongiorno,Napoli,25 years old (06-06-1999),190cm,Italy,Defender (Centre)
26,Christian Pulisic,AC Milan,26 years old (18-09-1998),177cm,USA,"Midfielder (Centre, Left, Right), Forward"
27,Assane Diao,Como,19 years old (07-09-2005),185cm,,"Attacking Midfielder (Left, Right)"
28,Nuno Tavares,Lazio,25 years old (26-01-2000),183cm,Portugal,"Defender (Left), Midfielder (Left)"
29,Riccardo Orsolini,Bologna,28 years old (24-01-1997),183cm,Italy,"Midfielder (Centre, Right), Forward"
30,Oumar Solet,Udinese,25 years old (07-02-2000),192cm,France,Defender (Centre)
31,Florian Thauvin,Udinese,32 years old (26-01-1993),179cm,France,"Midfielder (Centre, Left, Right), Forward"
32,Raoul Bellanova,Atalanta,24 years old (17-05-2000),188cm,Italy,Midfielder (Right)
33,Vanja Milinkovic-Savic,Torino,28 years old (20-02-1997),202cm,Serbia,Goalkeeper
34,Nicolò Barella,Inter,28 years old (07-02-1997),175cm,Italy,Attacking Midfielder (Centre)
35,Frank Anguissa,Napoli,29 years old (16-11-1995),184cm,Cameroon,Midfielder (Centre)
36,Robin Gosens,Fiorentina,30 years old (05-07-1994),183cm,Germany,"Defender (Left), Midfielder (Centre, Left)"
37,Amir Rrahmani,Napoli,31 years old (24-02-1994),192cm,Kosovo,"Defender (Centre, Left)"
38,Marten de Roon,Atalanta,34 years old (29-03-1991),186cm,Netherlands,"Defender (Centre), Defensive Midfielder (C)"
39,Mats Hummels,Roma,36 years old (16-12-1988),191cm,Germany,Defender (Centre)
40,Alberto Paleari,Torino,32 years old (29-08-1992),193cm,Italy,Goalkeeper
41,Éderson,Atalanta,25 years old (07-07-1999),183cm,Brazil,Midfielder (Centre)
42,Federico Dimarco,Inter,27 years old (10-11-1997),175cm,Italy,"Defender (Centre, Left), Midfielder (Left)"
43,Matías Soulé,Roma,22 years old (15-04-2003),182cm,Argentina,"Midfielder (Centre, Right), Forward"
44,Pietro Terracciano,Fiorentina,35 years old (08-03-1990),193cm,Italy,Goalkeeper
45,Paulo Dybala,Roma,31 years old (15-11-1993),177cm,Argentina,"Attacking Midfielder (Centre, Right), Forward"
46,Kenan Yildiz,Juventus,19 years old (04-05-2005),185cm,Turkey,"Attacking Midfielder (Centre, Left, Right), Forward"
47,Sebastian Walukiewicz,Torino,25 years old (05-04-2000),188cm,Poland,"Defender (Centre, Right)"
48,Edoardo Bove,Fiorentina,22 years old (16-05-2002),179cm,Italy,"Midfielder (Centre, Left)"
49,Milan Djuric,Parma Calcio 1913,34 years old (22-05-1990),198cm,Bosnia-Herzegovina,Forward
50,Ardian Ismajli,Empoli,28 years old (30-09-1996),185cm,Albania,Defender (Centre)
51,Theo Hernández,AC Milan,27 years old (06-10-1997),184cm,France,"Defender (Centre, Left), Midfielder (Left)"
52,Giovanni Di Lorenzo,Napoli,31 years old (04-08-1993),183cm,Italy,"Defender (Centre, Left, Right), Midfielder (Right)"
53,Dodô,Fiorentina,26 years old (17-11-1998),166cm,,"Defender (Right), Midfielder (Right)"
54,Elia Caprile,Cagliari,23 years old (25-08-2001),191cm,Italy,Goalkeeper
55,Strahinja Pavlovic,AC Milan,23 years old (24-05-2001),194cm,Serbia,Defender (Centre)
56,Denzel Dumfries,Inter,29 years old (18-04-1996),188cm,Netherlands,"Defender (Right), Midfielder (Right)"
57,Alessandro Bastoni,Inter,26 years old (13-04-1999),190cm,Italy,Defender (Centre)
58,Berat Djimsiti,Atalanta,32 years old (19-02-1993),190cm,Albania,Defender (Centre)
59,Emerson Royal,AC Milan,26 years old (14-01-1999),181cm,Brazil,"Defender (Centre, Left, Right), Midfielder (Right)"
60,Nicolás Valentini,Verona,24 years old (06-04-2001),184cm,Argentina,Defender (Centre)
61,Juan Miranda,Bologna,25 years old (19-01-2000),185cm,Spain,Defender (Left)
62,David de Gea,Fiorentina,34 years old (07-11-1990),192cm,Spain,Goalkeeper
63,Gabriel Strefezza,Como,28 years old (18-04-1997),168cm,Brazil,"Midfielder (Centre, Left, Right)"
64,Manuel Locatelli,Juventus,27 years old (08-01-1998),185cm,Italy,Midfielder (Centre)
65,Randal Kolo Muani,Juventus,26 years old (05-12-1998),187cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
66,Filip Stankovic,Venezia,23 years old (25-02-2002),187cm,Serbia,Goalkeeper
67,Kialonda Gaspar,Lecce,27 years old (27-09-1997),193cm,,Defender (Centre)
68,Charles De Ketelaere,Atalanta,24 years old (10-03-2001),192cm,Belgium,"Midfielder (Centre, Left, Right), Forward"
69,Ionut Radu,Venezia,27 years old (28-05-1997),188cm,Romania,Goalkeeper
70,Nicola Leali,Genoa,32 years old (17-02-1993),195cm,Italy,Goalkeeper
71,Nicolò Casale,Bologna,27 years old (14-02-1998),191cm,Italy,Defender (Centre)
72,Mile Svilar,Roma,25 years old (27-08-1999),189cm,Serbia,Goalkeeper
73,Mërgim Vojvoda,Como,30 years old (01-02-1995),187cm,Kosovo,"Defender (Centre, Right), Midfielder (Left, Right)"
74,Dan Ndoye,Bologna,24 years old (25-10-2000),184cm,Switzerland,"Midfielder (Left, Right)"
75,Matteo Politano,Napoli,31 years old (03-08-1993),171cm,Italy,"Midfielder (Centre, Left, Right), Forward"
76,Cesare Casadei,Torino,22 years old (10-01-2003),186cm,Italy,Defensive Midfielder (C)
77,Romelu Lukaku,Napoli,31 years old (13-05-1993),191cm,Belgium,"Attacking Midfielder (Right), Forward"
78,Guillermo Maripán,Torino,30 years old (06-05-1994),190cm,Chile,Defender (Centre)
79,Christian Kouamé,Empoli,27 years old (06-12-1997),188cm,Ivory Coast,"Attacking Midfielder (Left, Right), Forward"
80,Eljif Elmas,Torino,25 years old (24-09-1999),184cm,Macedonia,"Midfielder (Centre, Left, Right), Forward"
81,Marco Carnesecchi,Atalanta,24 years old (01-07-2000),191cm,Italy,Goalkeeper
82,Mattia Perin,Juventus,32 years old (10-11-1992),188cm,Italy,Goalkeeper
83,Alessio Zerbin,Venezia,26 years old (03-03-1999),182cm,Italy,"Midfielder (Left, Right)"
84,Raoul Bellanova,Atalanta,24 years old (17-05-2000),188cm,Italy,Midfielder (Right)
85,Angeliño,Roma,28 years old (04-01-1997),175cm,Spain,"Defender (Centre, Left), Midfielder (Left)"
86,Aarón Martín,Genoa,28 years old (22-04-1997),180cm,Spain,"Defender (Left), Midfielder (Left)"
87,Elia Caprile,Cagliari,23 years old (25-08-2001),191cm,Italy,Goalkeeper
88,Diego Coppola,Verona,21 years old (28-12-2003),192cm,Italy,Defender (Centre)
89,Khéphren Thuram,Juventus,24 years old (26-03-2001),192cm,France,"Defensive Midfielder (C), Midfielder (Left)"
90,Antonín Barák,Kasimpasa,30 years old (03-12-1994),190cm,Czech Republic,"Attacking Midfielder (Centre, Right)"
91,Johan Vásquez,Genoa,26 years old (22-10-1998),184cm,Mexico,"Defender (Centre, Left)"
92,Nicolás González,Juventus,27 years old (06-04-1998),180cm,Argentina,"Midfielder (Centre, Left, Right), Forward"
93,Mario Gila,Lazio,24 years old (29-08-2000),185cm,Spain,Defender (Centre)
94,Nicolò Rovella,Lazio,23 years old (04-12-2001),179cm,Italy,Defensive Midfielder (C)
95,Henrikh Mkhitaryan,Inter,36 years old (21-01-1989),177cm,Armenia,"Midfielder (Centre, Left, Right), Forward"
96,Mathías Olivera,Napoli,27 years old (31-10-1997),185cm,Uruguay,"Defender (Centre, Left), Midfielder (Left)"
97,Nikola Krstovic,Lecce,25 years old (05-04-2000),185cm,Montenegro,"Attacking Midfielder (Left), Forward"
98,Charalampos Lykogiannis,Bologna,31 years old (22-10-1993),190cm,Greece,"Defender (Centre, Left), Midfielder (Left)"
99,Sam Beukema,Bologna,26 years old (17-11-1998),188cm,Netherlands,Defender (Centre)
100,Morten Frendrup,Genoa,24 years old (07-04-2001),178cm,Denmark,"Defender (Right), Defensive Midfielder (C)"
101,Stefan de Vrij,Inter,33 years old (05-02-1992),190cm,Netherlands,Defender (Centre)
102,Federico Gatti,Juventus,26 years old (24-06-1998),190cm,Italy,Defender (Centre)
103,Yerry Mina,Cagliari,30 years old (23-09-1994),195cm,Colombia,Defender (Centre)
104,Leandro Paredes,Roma,30 years old (29-06-1994),180cm,Argentina,Defensive Midfielder (C)
105,Luca Ranieri,Fiorentina,26 years old (23-04-1999),187cm,Italy,"Defender (Centre, Left), Midfielder (Left)"
106,Marc Kempf,Como,30 years old (28-01-1995),186cm,Germany,Defender (Centre)
107,Paulo Azzi,Cremonese,30 years old (15-07-1994),188cm,Brazil,"Midfielder (Left, Right)"
108,Davide Zappacosta,Atalanta,32 years old (11-06-1992),182cm,Italy,"Defender (Left, Right), Midfielder (Left, Right)"
109,Adam Masina,Torino,31 years old (02-01-1994),189cm,Morocco,"Defender (Centre, Left), Midfielder (Left)"
110,Pablo Marí,Fiorentina,31 years old (31-08-1993),193cm,Spain,Defender (Centre)
111,Sead Kolasinac,Atalanta,31 years old (20-06-1993),183cm,Bosnia-Herzegovina,"Defender (Centre, Left), Defensive Midfielder (C), Midfielder (Left)"
112,Yann Sommer,Inter,36 years old (17-12-1988),183cm,Switzerland,Goalkeeper
113,Fali Candé,Venezia,27 years old (24-01-1998),184cm,Guinea-Bissau,"Defender (Centre, Left), Midfielder (Left)"
114,Josep Martínez,Inter,26 years old (27-05-1998),191cm,Spain,Goalkeeper
115,Emil Holm,Bologna,24 years old (13-05-2000),191cm,Sweden,"Defender (Right), Midfielder (Right)"
116,Evan Ndicka,Roma,25 years old (20-08-1999),192cm,Ivory Coast,"Defender (Centre, Left)"
117,Jaka Bijol,Udinese,26 years old (05-02-1999),190cm,Slovenia,"Defender (Centre), Midfielder (Centre), Forward"
118,Matteo Gabbia,AC Milan,25 years old (21-10-1999),185cm,Italy,Defender (Centre)
119,Tiago Gabriel,Lecce,20 years old (26-12-2004),196cm,Portugal,Defender (Centre)
120,Koni De Winter,Genoa,22 years old (12-06-2002),188cm,Belgium,"Defender (Centre, Right)"
121,Carlos Augusto,Inter,26 years old (07-01-1999),184cm,Brazil,"Defender (Centre, Left), Midfielder (Left)"
122,Teun Koopmeiners,Juventus,27 years old (28-02-1998),184cm,Netherlands,"Defender (Centre), Midfielder (Centre)"
123,Tommaso Augello,Cagliari,30 years old (30-08-1994),180cm,Italy,"Defender (Left), Midfielder (Left)"
124,David Neres,Napoli,28 years old (03-03-1997),176cm,Brazil,"Attacking Midfielder (Centre, Left, Right)"
125,Kike Pérez,Venezia,28 years old (14-02-1997),184cm,Spain,Midfielder (Centre)
126,Saúl Coco,Torino,26 years old (09-02-1999),187cm,Equatorial Guinea,Defender (Centre)
127,Jens Odgaard,Bologna,26 years old (31-03-1999),188cm,Denmark,"Attacking Midfielder (Centre, Right), Forward"
