,TotAD,WonAD,LostAD
0,1,1,-
1,-,-,-
2,-,-,-
3,3.2,2,1.2
4,0.6,0.6,-
5,2.5,1,1.5
6,2.6,1.5,1.1
7,3.4,1.8,1.6
8,1.1,0.6,0.5
9,1,1,-
10,1.5,0.9,0.6
11,3.3,1.4,1.9
12,7,2.9,4.1
13,1.3,0.6,0.7
14,2.5,1.2,1.3
15,0.6,0.3,0.3
16,3.6,2.8,0.8
17,3.2,1.6,1.6
18,4.6,2.4,2.3
19,1.2,0.6,0.6
20,0.6,0.4,0.2
21,3,2.2,0.8
22,1.5,0.8,0.7
23,4.5,3.1,1.4
24,0.6,0.2,0.4
25,3,2,1
26,1.5,0.3,1.2
27,3.5,1.2,2.3
28,1,0.4,0.5
29,1.6,0.8,0.7
30,2.4,1.1,1.3
31,0.6,0.2,0.4
32,1,1,-
33,0.4,0.4,0.1
34,1.6,0.8,0.8
35,3.4,1.9,1.5
36,3.5,2.3,1.1
37,4.8,3.4,1.5
38,2.1,1.3,0.8
39,3,1.8,1.2
40,1,1,-
41,2.3,1.3,0.9
42,0.7,0.2,0.4
43,1.2,0.4,0.7
44,-,-,-
45,1,0.3,0.7
46,1,0.2,0.8
47,4,2.5,1.5
48,2.3,1,1.3
49,10.4,7.4,3.1
50,4.7,2.8,1.9
51,1.6,1.1,0.5
52,2.6,1.3,1.3
53,0.9,0.4,0.5
54,0.3,0.3,-
55,3.1,1.9,1.2
56,2.9,2.1,0.8
57,2.2,1.4,0.8
58,4,2.6,1.5
59,2.3,1.5,0.8
60,4.5,3.5,1
61,2.2,1.1,1.1
62,0.2,0.2,-
63,1,0.3,0.7
64,1.7,1,0.7
65,2.2,0.7,1.5
66,0.3,0.3,-
67,5.7,4,1.8
68,2.2,1,1.1
69,0.2,0.2,-
70,0.4,0.4,-
71,3,3,-
72,0.2,0.2,-
73,1,0.6,0.4
74,1.1,0.5,0.6
75,0.7,0.2,0.5
76,6.2,4.1,2.1
77,2.6,1.1,1.4
78,4.2,2.4,1.8
79,9.1,6,3.1
80,0.4,0.1,0.3
81,0.2,0.2,-
82,0.2,0.2,-
83,0.9,0.3,0.6
84,1.5,0.8,0.7
85,1.6,0.9,0.8
86,1.6,0.6,1
87,0.3,0.3,-
88,6,3.8,2.2
89,1.6,0.8,0.8
90,1,-,1
91,4.7,2.6,2.1
92,4.3,2.4,1.9
93,4.3,2.3,2.1
94,1,0.3,0.7
95,1.2,0.7,0.4
96,2.2,1.2,1
97,6,2.5,3.5
98,2.1,1.3,0.9
99,5,2.8,2.2
100,2.1,0.9,1.2
101,3.9,2.4,1.5
102,2.3,1.3,1
103,5,3.3,1.8
104,0.6,0.4,0.2
105,3,1.3,1.6
106,4.7,3.3,1.4
107,1.8,1,0.8
108,0.8,0.4,0.4
109,3.6,2.7,1
110,3.2,2.1,1.1
111,2.7,1.5,1.2
112,0.1,0.1,-
113,4.9,2.8,2.1
114,0.3,0.3,-
115,2.7,1.6,1.1
116,3,1.7,1.3
117,5.1,3.4,1.7
118,3,1.8,1.2
119,2,2,-
120,4.7,3.3,1.5
121,3.4,2.1,1.2
122,1.6,0.8,0.8
123,2,1.4,0.6
124,0.6,0.1,0.4
125,2,1,1
126,3.9,2,1.9
127,3.8,1.6,2.2
128,0.4,0.2,0.2
129,2.6,0.8,1.7
130,2.1,1.2,1
131,0.9,0.2,0.7
132,0.6,0.1,0.5
133,0.4,0.3,0.1
134,3.4,1.8,1.6
135,1.4,0.8,0.6
136,1.1,0.6,0.5
137,0.7,0.4,0.4
138,3.7,2.1,1.6
139,3.1,1.5,1.6
140,1.8,0.9,0.9
141,5.8,3,2.8
142,0.4,0.4,-
143,1,0.4,0.6
144,0.9,0.5,0.4
145,2.2,0.9,1.3
146,0.5,-,0.4
147,2,1,1
148,3.5,1.9,1.6
149,3.9,2.5,1.4
150,1,0.5,0.5
151,2.6,1.6,1
152,1.2,0.5,0.7
153,3.2,1.3,1.9
154,1.2,0.4,0.8
155,0.1,0.1,-
156,1,1,-
157,3.2,1.7,1.4
158,1.5,0.2,1.3
159,1.9,0.8,1.1
160,3.3,1.1,2.1
161,0.2,0.2,-
162,1.6,0.8,0.8
163,1,0.6,0.4
164,2.5,1.2,1.4
165,0.4,0.4,-
166,2.3,0.6,1.6
167,0.5,0.4,-
168,1.5,0.7,0.8
169,0.6,0.2,0.3
170,0.3,0.3,-
171,1.5,0.7,0.8
172,1,0.5,0.5
173,2.1,1.1,1
174,0.4,0.2,0.2
175,3.5,2.2,1.3
176,1.8,0.8,1
177,4,1.7,2.2
178,1,0.3,0.6
179,0.8,0.6,0.2
180,1.7,1.3,0.4
181,1.5,0.7,0.8
182,3.2,1.8,1.4
183,1,0.5,0.5
184,2.6,1,1.7
185,1.5,0.4,1.1
186,0.1,-,0.1
187,2.5,1.9,0.7
188,2.2,1.2,1.1
189,5.3,2.3,3
190,1,-,0.9
191,2.5,2,0.5
192,2.8,1.7,1.1
193,0.4,0.4,-
194,0.7,0.1,0.5
195,1,0.3,0.7
196,1.8,0.9,0.9
197,2.8,1.4,1.3
198,3.6,2.2,1.4
199,2.7,1,1.7
200,1.4,0.8,0.7
201,2.8,1.4,1.4
202,-,-,-
203,0.7,0.2,0.5
204,0.7,0.5,0.2
205,2.6,1.2,1.4
206,2.5,0.7,1.8
207,3.7,1.9,1.9
208,4.4,2,2.4
209,2.5,1.4,1.1
210,4,2.5,1.5
211,1.5,0.7,0.7
212,5.5,2.4,3
213,1.9,1,0.9
214,1.6,0.6,1
215,1.5,0.9,0.5
216,3.7,2.7,1
217,1.5,0.6,0.9
218,0.7,0.2,0.5
219,2,1.2,0.8
220,1.1,0.7,0.4
221,4.1,1.7,2.4
222,0.7,0.5,0.3
223,2.1,1.4,0.8
224,1.9,1,0.9
225,7.1,2.8,4.2
226,3.1,1.5,1.6
227,2.6,1.5,1.1
228,1.1,0.4,0.7
229,-,-,-
230,2.5,0.8,1.7
231,3.3,1.7,1.6
232,1.7,1.1,0.6
233,1.8,0.9,0.9
234,2.4,1.3,1.1
235,1.6,0.8,0.8
236,0.5,0.2,0.4
237,0.8,0.3,0.6
238,2.9,0.8,2.1
239,4.1,2.3,1.8
240,0.7,0.2,0.5
241,1.1,0.7,0.4
242,2.5,1.5,1
243,0.3,0.1,0.1
244,1,0.5,0.5
245,2.3,1.3,1.1
246,0.4,0.1,0.3
247,0.5,-,0.5
248,0.2,-,0.2
249,3.3,2.2,1.1
