,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
0,-,-,-,-,-,-,-
1,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-
6,-,-,-,-,-,0.1,0.1
7,-,-,-,-,-,-,0.1
8,-,-,-,-,-,0.1,0.2
9,-,-,-,-,-,-,-
10,-,-,-,-,-,0.2,0.2
11,-,-,-,-,-,0.1,0.2
12,-,-,-,-,-,-,-
13,0.1,0.1,-,-,-,-,0.2
14,-,-,-,-,-,0.1,0.1
15,-,-,0.1,-,-,0.1,0.2
16,-,-,-,-,-,-,-
17,-,-,-,-,-,0.1,0.1
18,-,-,-,-,-,0.1,0.1
19,0.1,0.1,-,-,-,0.1,0.2
20,0.1,-,-,-,-,0.1,0.2
21,-,-,-,-,-,0.1,0.1
22,0.1,-,-,-,-,0.2,0.3
23,0.1,-,-,-,-,-,0.1
24,-,-,0.1,0.1,-,-,0.1
25,-,-,-,-,-,-,-
26,0.1,0.1,-,-,-,0.1,0.3
27,-,-,-,-,-,0.1,0.1
28,0.2,-,-,-,-,0.2,0.4
29,0.1,-,-,-,-,-,0.1
30,-,-,-,-,-,0.1,0.1
31,0.1,-,-,-,-,-,0.1
32,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-
34,0.1,-,-,-,-,0.1,0.2
35,-,-,-,-,-,0.1,0.1
36,-,-,-,-,-,0.1,0.1
37,-,-,-,-,-,-,0.1
38,-,-,-,-,-,0.1,0.1
39,-,-,-,-,-,-,-
40,-,-,-,-,-,-,-
41,-,-,-,-,-,-,-
42,0.1,-,-,-,-,0.1,0.2
43,-,-,-,-,-,-,0.1
44,-,-,-,-,-,-,-
45,-,-,-,-,-,0.1,0.1
46,-,-,-,-,-,-,0.1
47,-,-,-,-,-,-,-
48,-,-,-,-,-,0.2,0.2
49,-,-,-,-,-,0.1,0.1
50,-,-,-,-,-,-,-
51,0.1,-,-,-,-,-,0.1
52,-,-,-,-,-,-,0.1
53,0.1,-,-,-,-,0.1,0.2
54,-,-,-,-,-,-,-
55,-,-,-,-,-,0.1,0.1
56,-,-,-,-,-,-,0.1
57,-,-,-,-,-,0.1,0.1
58,-,-,-,-,-,0.1,0.1
59,-,-,-,-,-,-,-
60,-,-,-,-,-,-,-
61,0.2,-,-,-,-,-,0.2
62,-,-,-,-,-,-,-
63,-,-,-,-,-,0.1,0.1
64,-,-,-,-,-,0.1,0.1
65,-,-,-,-,-,0.1,0.1
66,-,-,-,-,-,-,-
67,-,-,-,-,-,0.1,0.1
68,-,-,-,-,-,0.1,0.2
69,-,-,-,-,-,-,-
70,-,-,-,-,-,-,-
71,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-
73,0.1,-,-,-,-,0.1,0.3
