,BlkSh,BlkCr,BlkPs
0,-,-,-
1,-,-,-
2,-,-,-
3,1.8,0.3,0.7
4,-,-,-
5,0.3,-,1
6,0.1,-,0.4
7,0.1,-,0.5
8,-,-,0.6
9,-,-,-
10,0.1,-,1.3
11,-,-,0.2
12,0.1,-,0.1
13,0.2,-,0.3
14,0.1,-,0.6
15,-,0.2,0.8
16,0.9,-,0.4
17,-,-,0.4
18,0.1,-,0.6
19,-,0.2,0.5
20,0.1,-,0.6
21,1.1,0.2,0.2
22,-,-,0.4
23,0.8,0.1,0.3
24,0.1,0.1,0.5
25,0.8,-,0.5
26,0.1,-,0.6
27,0.1,0.4,0.5
28,0.1,0.5,0.8
29,-,-,0.9
30,1,0.2,0.7
31,-,0.1,0.2
32,-,1,-
33,-,-,-
34,0.1,-,0.7
35,0.2,-,0.4
36,0.3,0.3,0.7
37,0.7,0.1,0.5
38,0.2,0.1,0.8
39,0.3,-,0.6
40,-,-,-
41,0.2,0.1,0.7
42,0.1,0.2,0.6
43,0.1,0.1,0.9
44,-,-,-
45,-,-,0.5
46,-,0.1,0.7
47,1.5,0.5,-
48,-,0.2,1
49,-,-,0.3
50,0.9,0.1,0.3
51,0.3,0.4,0.5
52,0.2,0.2,0.4
53,0.2,0.2,0.5
54,-,-,-
55,0.3,0.2,0.3
56,0.2,0.1,0.8
57,0.3,0.2,0.4
58,0.6,0.1,0.4
59,0.1,0.3,0.6
60,0.5,0.5,0.6
61,0.1,0.2,0.6
62,-,-,-
63,0.1,-,0.6
64,0.5,0.2,1
65,-,-,0.4
66,-,-,-
67,1.3,0.1,0.8
68,0.1,-,0.3
69,-,-,-
70,-,-,-
71,1.5,-,0.5
72,-,-,-
73,0.6,0.1,0.3
74,-,-,0.7
75,-,0.2,0.5
76,0.2,0.1,0.1
77,0.1,-,0.2
78,0.5,0.2,0.5
79,0.3,-,0.3
80,0.2,-,0.4
81,-,-,-
82,-,-,-
83,0.2,0.1,1.6
84,0.1,0.3,0.3
85,0.3,0.3,0.7
86,0.3,0.3,0.7
87,-,-,-
88,0.8,-,0.5
89,0.3,0.1,0.7
90,1,-,-
91,0.8,0.2,0.8
92,0.2,-,0.5
93,0.5,0.1,0.2
94,0.1,0.1,0.5
95,0.2,0.2,0.8
96,0.3,0.3,0.8
97,0.2,-,0.1
98,0.3,0.4,0.1
99,0.5,0.2,0.5
100,0.5,0.3,1.3
101,0.4,-,0.3
102,0.6,-,0.3
103,1.1,0.2,0.8
104,0.2,0.1,0.5
105,0.9,0.1,0.4
106,0.8,0.1,0.3
107,0.3,-,0.5
108,0.2,0.3,0.7
109,0.6,0.2,0.4
110,1.1,0.1,0.2
111,0.3,-,0.4
112,-,-,-
113,0.8,0.2,0.4
114,-,-,-
115,0.2,0.2,0.8
116,0.8,0.1,0.4
117,0.6,-,0.6
