,YelC,RedC
0,-,-
1,-,-
2,-,-
3,0.2,-
4,-,-
5,-,-
6,-,-
7,0.1,-
8,0.1,-
9,-,-
10,0.2,-
11,0.1,-
12,0.1,-
13,0.1,-
14,-,-
15,0.1,-
16,0.2,-
17,0.2,-
18,0.3,-
19,0.3,-
20,0.2,-
21,0.2,-
22,0.1,-
23,-,-
24,0.1,-
25,0.1,-
26,-,-
27,0.1,-
28,0.1,-
29,-,-
30,0.1,0.1
31,-,-
32,-,-
33,0.1,-
34,0.1,-
35,0.2,-
36,0.2,-
37,0.1,-
38,0.2,-
39,0.1,-
40,-,-
41,0.1,-
42,0.1,-
43,0.1,-
44,-,-
45,0.1,-
46,0.1,-
47,-,-
48,0.3,-
49,0.2,-
50,-,-
51,0.1,-
52,0.2,-
53,0.2,-
54,-,-
55,0.1,0.1
56,0.2,-
57,0.1,-
58,0.1,-
59,0.3,-
60,0.1,0.1
61,0.1,-
62,-,-
63,0.1,-
64,0.2,-
65,-,-
66,0.1,-
67,0.2,-
68,-,-
69,0.1,-
70,-,-
71,-,-
72,-,-
73,0.3,-
74,0.1,-
75,0.1,-
76,-,-
77,0.1,-
78,0.1,-
79,-,-
80,-,-
81,-,-
82,-,-
83,0.2,-
84,0.1,-
85,-,-
86,0.2,-
87,-,-
88,0.3,-
89,0.1,-
90,-,-
91,0.2,-
92,-,-
93,0.2,-
94,0.4,-
95,0.1,-
96,0.1,-
97,0.2,-
98,0.1,-
99,-,-
100,0.2,-
101,-,-
102,0.1,-
103,0.1,-
104,0.2,-
105,0.2,-
106,0.1,-
107,0.3,-
108,0.1,-
109,0.2,-
110,0.1,0.1
111,0.3,-
112,-,-
113,0.3,-
114,-,-
115,0.2,-
116,0.1,-
117,0.3,-
118,0.1,-
119,-,-
120,0.3,-
121,-,-
122,0.1,-
123,0.1,-
124,0.1,-
125,0.3,-
126,0.3,-
127,-,-
128,0.1,-
129,-,-
130,0.1,0.1
131,-,-
132,-,-
133,0.1,-
134,-,-
135,0.1,-
136,-,-
137,0.2,-
138,0.3,-
139,0.1,-
140,0.2,-
141,0.2,-
142,-,-
143,0.1,-
144,0.2,-
145,0.3,-
146,0.1,-
147,-,-
148,0.3,-
149,0.1,-
150,0.2,-
151,0.2,-
152,0.1,-
153,-,-
154,0.2,-
155,0.1,-
156,-,-
157,0.2,-
158,-,-
159,0.1,-
160,0.2,-
161,-,-
162,0.2,-
163,0.3,-
164,0.2,-
165,-,-
166,0.1,-
167,-,-
168,0.2,-
169,0.1,-
170,-,-
171,-,-
172,-,-
173,0.1,-
174,-,-
175,0.1,-
176,0.2,-
177,0.3,-
178,0.2,-
179,0.1,-
180,0.2,-
181,0.1,-
182,0.2,-
183,0.2,-
184,0.1,-
185,0.2,-
186,0.1,-
187,0.1,-
188,0.2,-
189,0.1,-
190,-,-
191,-,-
