,UnDrib,SucDrib,TotDrib
0,-,-,-
1,-,-,-
2,-,-,-
3,0.2,0.5,0.7
4,-,-,-
5,0.3,0.3,0.5
6,0.9,0.7,1.6
7,1.5,1.1,2.6
8,2.2,1.1,3.4
9,-,-,-
10,1.9,2.1,3.9
11,0.5,0.3,0.8
12,1.1,0.1,1.3
13,0.1,0.1,0.2
14,1,0.5,1.5
15,3.1,1.1,4.2
16,0.1,-,0.1
17,1.7,1.3,3.1
18,0.8,0.6,1.3
19,1.6,1.4,2.9
20,1.5,0.9,2.4
21,-,0.1,0.1
22,2.1,1.8,3.8
23,-,0.2,0.2
24,0.9,1.1,1.9
25,0.3,-,0.3
26,1.2,1,2.2
27,3.5,1.3,4.8
28,2.3,2.1,4.4
29,1.4,1.1,2.5
30,0.4,1.5,1.9
31,2.1,1.6,3.7
32,1,-,1
33,-,-,-
34,1.1,0.7,1.8
35,0.6,0.7,1.3
36,0.2,0.1,0.3
37,-,0.1,0.1
38,0.2,0.1,0.3
39,0.2,0.3,0.5
40,-,-,-
41,0.8,0.6,1.4
42,0.2,0.1,0.3
43,2.5,1.2,3.7
44,-,-,-
45,1.3,0.5,1.8
46,1.3,1.7,3
47,-,-,-
48,0.8,0.6,1.3
49,0.1,0.2,0.3
50,-,-,-
51,1,0.7,1.7
52,0.8,0.1,0.9
53,1.8,1.4,3.2
54,-,-,-
55,0.4,0.2,0.5
56,1.1,0.3,1.4
57,0.3,0.2,0.5
58,0.1,-,0.1
59,0.6,0.4,1.1
60,-,0.1,0.1
61,0.4,0.2,0.6
62,-,-,-
63,1.3,1,2.4
64,0.4,0.2,0.6
65,1.8,1.1,2.8
66,-,-,-
67,0.1,0.4,0.5
68,1.4,1.3,2.7
69,-,0.1,0.1
70,-,-,-
71,-,-,-
72,-,-,-
73,0.4,0.3,0.7
74,2,1.3,3.3
75,1.2,0.9,2.1
76,0.2,0.5,0.7
77,0.6,0.1,0.7
78,0.3,0.1,0.3
79,1,0.6,1.6
80,1.9,0.8,2.7
81,-,-,-
82,-,-,-
83,2.7,1.3,4
84,0.9,0.7,1.5
85,0.4,0.3,0.7
86,0.4,0.4,0.8
87,-,-,-
88,0.1,-,0.1
89,0.8,1.1,1.9
90,1,-,1
91,0.1,0.2,0.2
92,1.5,0.7,2.2
93,0.3,0.1,0.5
94,0.2,0.6,0.8
95,0.6,0.2,0.9
96,0.4,0.2,0.6
97,1.3,0.5,1.8
98,0.3,0.2,0.5
99,-,-,0.1
100,0.4,0.3,0.8
101,0.2,0.1,0.3
102,0.2,0.3,0.5
103,0.1,0.1,0.2
104,-,0.2,0.2
105,0.3,0.3,0.5
106,-,0.1,0.2
107,0.8,1.3,2.2
108,1,0.4,1.5
109,0.2,0.2,0.4
110,-,0.3,0.3
111,0.5,0.1,0.7
112,-,-,-
113,0.1,0.5,0.6
