,Fouled,Fouls
0,1,-
1,-,-
2,-,-
3,0.8,1.5
4,-,-
5,-,2.5
6,1.1,0.8
7,1.8,1.3
8,0.6,1.1
9,-,-
10,1,1.3
11,0.9,0.8
12,1.1,1.4
13,0.5,0.8
14,1.4,1.3
15,1.9,0.7
16,0.1,1
17,1.7,1.3
18,1.5,1.3
19,3,1
20,1.3,0.7
21,0.2,0.8
22,1.6,0.5
23,0.9,0.6
24,0.6,0.7
25,1,0.8
26,1,0.6
27,3.3,1.3
28,1.4,0.8
29,1.4,1
30,0.7,0.9
31,1.1,0.4
32,1,1
33,0.3,-
34,1.1,0.8
35,0.9,1
36,0.8,0.7
37,0.3,1.1
38,0.6,1.3
39,0.2,0.7
40,1,-
41,1.5,0.9
42,0.3,0.7
43,1.4,0.5
44,-,-
45,2.5,0.3
46,1.4,0.7
47,-,2
48,1.8,1.3
49,1,0.9
50,0.9,0.6
51,1.4,0.5
52,1.4,1.4
53,1.8,0.7
54,-,-
55,0.7,0.8
56,0.6,2
57,1.2,1.4
58,0.6,0.6
59,1.9,2
60,0.2,1.6
61,1,0.8
62,0.1,-
63,2,1.3
64,0.6,1.3
65,1.3,1.8
66,0.1,-
67,0.9,0.5
68,1.1,0.6
69,0.1,-
70,0.2,-
71,-,1
72,0.1,-
73,0.1,1
74,3.3,0.8
75,0.9,0.4
76,0.7,1.1
77,1.1,1.3
78,0.3,1
79,1.9,0.9
80,1.1,1.2
81,0.1,-
82,-,-
83,2.1,1.9
84,1.1,0.5
85,0.8,0.9
86,0.8,1
87,0.4,-
88,-,1.4
89,0.6,0.9
90,-,-
91,0.8,0.9
92,1.5,1.1
93,1,0.9
94,0.8,1.3
95,0.8,1
96,0.6,1
97,1.4,1.5
98,0.5,0.5
99,1.1,0.8
100,1,1.5
101,0.1,0.2
102,0.7,0.7
103,1.7,1.3
104,0.7,0.7
105,0.6,0.7
106,0.6,0.7
107,0.5,0.8
108,0.5,0.6
109,0.6,0.8
110,0.3,1.4
111,0.9,1.7
112,-,-
113,1.5,1.6
114,0.3,-
115,1.3,0.7
116,0.7,0.9
117,0.3,1.5
118,0.2,0.8
119,-,-
120,0.6,1.6
121,0.5,0.3
122,0.3,1.1
123,0.3,0.4
124,0.4,0.6
125,1.1,1.8
126,0.5,1.7
127,1.6,1.5
128,1,0.8
129,1.7,1.3
130,0.9,1.1
131,0.8,0.4
132,0.6,-
133,1.8,0.5
134,0.9,0.9
135,0.2,0.4
136,0.1,0.3
137,0.5,0.8
138,0.6,1.1
139,0.7,1
140,0.8,1.1
141,1,1.6
142,0.1,0.1
143,1.9,1.5
144,1,0.7
145,1.1,1.6
146,1.3,0.9
147,0.8,0.9
148,0.3,1
149,0.4,0.9
150,0.9,0.8
151,0.9,1.3
152,0.7,0.6
153,0.4,1
154,1.3,0.7
155,0.2,-
156,-,-
157,0.4,0.8
158,0.2,-
159,0.6,0.4
160,1.5,1.4
161,0.1,-
162,0.5,1.3
163,2.1,1.7
164,0.5,0.5
165,0.2,-
166,0.7,0.7
167,0.2,0.1
168,0.5,0.7
169,0.7,0.8
170,0.2,-
171,0.9,0.7
172,0.6,0.7
173,0.6,1
174,0.9,0.6
175,0.3,1.1
176,1.1,0.8
177,1.5,1.9
178,0.5,0.9
179,1.2,0.4
180,0.6,0.6
181,0.5,1
182,0.2,0.8
183,0.9,1.2
184,0.6,0.8
185,1.3,1.1
186,0.1,0.1
187,0.3,0.5
188,0.2,1.2
189,0.8,0.6
190,1.4,0.4
191,1.3,0.8
192,0.3,0.9
193,0.4,-
194,0.8,0.6
195,0.8,1
196,0.5,0.8
197,0.3,0.5
198,0.9,1.4
199,1.1,0.8
200,0.6,1
201,0.4,0.7
202,2,-
203,1.4,0.5
204,0.8,0.8
205,0.5,0.3
206,1.2,0.5
207,1.3,1.2
208,1.6,2.2
209,0.6,1.3
210,0.2,0.9
211,1,1.3
212,1.2,0.6
213,0.3,1
214,2.4,0.9
215,1,1.5
216,0.7,1
217,0.9,1.8
218,0.4,0.2
219,1.9,1.3
220,0.8,0.8
221,0.3,1.4
222,0.8,0.8
223,0.9,0.8
224,0.3,0.6
225,1.5,1.6
226,0.3,1
227,2.6,1.1
228,0.8,0.6
229,-,1
230,1.5,0.8
231,0.6,0.7
232,1.4,1
233,1.6,1.3
234,0.4,1.1
235,0.6,1.4
236,0.7,0.4
237,0.4,0.4
238,0.8,0.8
239,0.7,0.4
240,0.4,0.8
241,0.4,0.7
242,0.2,0.8
243,0.4,0.2
244,0.7,1
245,0.2,0.6
246,0.7,0.3
247,1,1.5
248,0.8,0.7
