,TotInt
0,-
1,-
2,-
3,1
4,-
5,1
6,0.1
7,0.7
8,0.1
9,-
10,0.6
11,0.1
12,0.3
13,0.7
14,0.3
15,0.2
16,2
17,0.2
18,0.2
19,0.8
20,0.4
21,1.2
22,0.2
23,1.4
24,1
25,1.6
26,0.1
27,0.2
28,0.9
29,0.3
30,0.9
31,0.3
32,-
33,-
34,0.3
35,1
36,0.6
37,0.7
38,1.3
39,2
40,-
41,1
42,0.4
43,0.3
44,-
45,0.1
46,0.2
47,0.5
48,0.5
49,0.1
50,1.9
51,0.5
52,0.9
53,1
54,-
55,0.7
56,0.2
57,0.7
58,1.2
59,0.8
60,1
61,0.7
62,-
63,0.4
64,0.7
65,0.1
66,-
67,1.3
68,0.1
69,-
70,-
71,0.5
72,-
73,0.3
74,0.3
75,0.3
76,0.5
77,-
78,1.5
79,-
80,0.5
81,-
82,-
83,0.9
84,0.6
85,0.8
86,0.6
87,-
88,2.1
89,0.3
90,-
91,1.3
92,0.3
93,0.9
94,1.5
95,0.6
96,1
97,0.2
98,0.6
99,0.8
100,1.4
101,0.9
102,0.6
103,1.1
104,1
105,0.8
106,1.1
107,0.8
108,0.4
109,1
110,1.9
111,1.1
112,-
113,0.8
114,-
115,0.5
116,0.9
117,1.2
118,0.6
119,-
120,1
121,0.3
122,0.3
123,0.5
124,0.3
125,0.7
126,1.2
127,0.3
128,0.7
129,0.4
130,1.6
131,0.3
132,0.6
133,0.3
134,1.7
135,0.6
136,0.5
137,0.8
138,1
139,-
140,0.8
141,-
142,-
143,0.4
144,0.5
145,0.3
146,0.2
147,0.3
148,0.6
149,0.8
150,0.9
151,1
152,0.4
153,0.1
154,0.2
155,-
156,-
157,0.7
158,0.3
159,0.7
160,0.1
161,-
162,1.1
163,1.2
164,0.6
165,-
166,0.2
167,-
168,0.4
169,0.5
170,-
171,0.6
172,0.9
173,0.4
174,0.9
175,0.7
176,0.7
177,0.2
178,0.6
179,0.3
180,1
181,0.7
182,1.4
183,0.6
184,0.6
185,0.5
186,-
187,0.7
188,0.6
189,0.2
190,0.2
191,0.5
192,0.6
193,-
194,0.3
195,0.8
196,0.1
197,0.9
198,0.8
199,0.1
200,0.1
201,0.9
202,1
203,0.1
204,0.5
205,1.1
206,0.1
207,1.1
208,1.6
209,1.3
210,0.6
211,0.8
212,-
213,0.4
214,0.6
215,0.5
216,1
217,0.2
218,0.4
219,0.5
220,0.9
221,0.9
222,0.8
223,0.4
224,0.4
225,0.1
226,0.4
227,0.9
228,0.7
229,-
230,0.1
231,0.9
232,0.3
233,0.5
234,1
235,0.7
236,0.1
237,0.3
238,0.1
239,1.4
240,0.4
241,0.9
242,0.5
243,0.2
244,0.2
245,0.9
246,0.1
247,0.7
248,0.1
249,1.2
250,0.6
251,0.5
252,0.1
253,-
254,0.1
255,0.5
256,0.8
257,0.1
