,TotKPs,LKPs,SKPs
0,-,-,-
1,-,-,-
2,-,-,-
3,-,-,-
4,-,-,-
5,-,-,-
6,1.3,-,1.2
7,0.6,-,0.6
8,2,0.5,1.4
9,-,-,-
10,1.5,0.3,1.2
11,1,-,1
12,1.3,-,1.3
13,1.8,0.5,1.2
14,1.2,-,1.2
15,1.6,0.2,1.4
16,-,-,-
17,0.6,-,0.6
18,0.9,-,0.9
19,1.6,0.5,1.2
20,1.2,0.2,1
21,0.2,-,0.2
22,1.8,0.1,1.7
23,0.5,-,0.5
24,1.3,0.1,1.2
25,0.2,-,0.2
26,2,0.3,1.7
27,0.5,-,0.5
28,1.5,0.2,1.2
29,1.1,0.1,1
30,0.9,0.2,0.7
31,1.6,0.5,1
32,1,-,1
33,0.1,0.1,-
34,1.7,0.2,1.5
35,0.8,0.1,0.7
36,0.8,0.1,0.7
37,0.2,0.1,0.1
38,0.7,0.1,0.6
39,0.2,-,0.2
40,-,-,-
41,1,0.1,0.9
42,1.6,0.6,1
43,1.8,0.5,1.3
44,-,-,-
45,1.7,0.3,1.3
46,1.5,0.2,1.3
47,0.5,0.5,-
48,0.9,0.1,0.8
49,0.3,-,0.3
50,-,-,-
51,1.5,0.3,1.2
52,1.1,0.1,1
53,1,0.2,0.8
54,-,-,-
55,0.3,0.1,0.3
56,0.8,-,0.7
57,0.8,0.1,0.7
58,0.3,-,0.3
59,0.9,-,0.9
60,0.6,0.5,0.1
61,1.8,0.6,1.2
62,0.1,0.1,-
63,1.6,0.5,1.1
64,0.7,0.1,0.7
65,1.2,-,1.2
66,-,-,-
67,0.3,0.1,0.2
68,1.1,0.1,1
69,-,-,-
70,-,-,-
71,-,-,-
72,-,-,-
73,0.7,-,0.7
74,0.9,-,0.8
75,1.5,0.5,0.9
76,0.5,-,0.5
77,1,-,1
78,0.2,0.1,0.1
79,1,-,1
80,0.7,-,0.7
81,-,-,-
82,-,-,-
83,1.4,0.4,1
84,1,0.3,0.7
85,1.3,0.5,0.8
86,1.8,0.8,1
87,-,-,-
88,0.1,-,0.1
89,0.8,0.1,0.7
90,3,-,3
91,0.2,0.1,0.2
92,0.8,0.1,0.7
93,0.4,-,0.4
94,1,0.2,0.8
95,1,0.1,0.9
96,0.9,0.1,0.7
97,0.8,0.1,0.8
98,1.1,0.9,0.3
99,0.3,0.1,0.2
100,0.4,-,0.3
101,-,-,-
102,0.3,-,0.2
103,0.1,-,0.1
104,1,0.4,0.6
105,0.4,0.2,0.2
106,0.4,0.1,0.3
107,0.8,0.3,0.5
108,0.9,0.3,0.6
109,0.2,-,0.1
110,0.2,0.1,0.1
111,0.7,-,0.7
112,-,-,-
113,0.2,0.1,0.1
114,0.3,0.3,-
115,0.5,0.1,0.4
116,0.2,-,0.2
117,0.4,0.1,0.3
118,0.1,-,0.1
119,-,-,-
