,TotPs,AccLB,InAccLB,AccSP,InAccSP
0,29,5,16,8,-
1,18,3,5,10,-
2,26.5,2.5,3,20.5,0.5
3,83.8,3.7,1.8,74.2,4.2
4,37,7.2,11.4,18,0.4
5,52.3,1.8,4.8,42.3,3.5
6,16.7,0.1,0.2,12.3,4
7,26.3,1.3,0.6,21.2,3.3
8,26.2,0.3,0.3,20.4,5.3
9,39,4,9,26,-
10,32.4,0.7,0.6,26.5,4.6
11,14.9,0.3,0.2,11.3,3
12,17.3,0.7,0.1,11.3,5.1
13,55.4,3.4,1.6,46.6,3.8
14,19.7,0.9,0.3,14.2,4.3
15,23.2,1.4,0.6,17.9,3.3
16,39.6,1.4,2.2,34.2,1.7
17,9.6,0.3,-,6.6,2.7
18,17.2,0.2,0.3,11.8,4.9
19,28.5,1,0.6,23.2,3.7
20,30.5,1.1,0.4,25.1,3.9
21,50.3,2.3,3,42,3
22,23.4,0.8,0.5,17.3,4.8
23,61.2,2.3,1.6,54.5,2.8
24,38.6,1.6,0.6,32.7,3.7
25,57.8,1.8,2,50.8,3.2
26,26.2,0.5,0.4,21.2,4.1
27,19.1,0.3,0.1,15.5,3.2
28,33.3,1,0.5,27.2,4.6
29,19.2,0.9,0.8,12.8,4.7
30,59.1,5.4,2.7,47.5,3.6
31,25.4,1.5,1,18.4,4.5
32,30,2,-,23,5
33,39.3,7.5,14.3,17.2,0.3
34,52.9,2.7,1.6,42.4,6.3
35,41.7,1.1,0.9,34.3,5.4
36,33.4,1.1,2.2,25,5
37,71.6,4.4,2.7,61,3.5
38,61.3,3.1,3.1,50.5,4.5
39,33.3,1.5,1.1,28.2,2.5
40,27,9,4,14,-
41,53.8,2.9,1.5,44.1,5.3
42,31.2,1.1,1.1,25.1,3.9
43,29.7,0.7,0.6,25.1,3.3
44,25,3,6,16,-
45,27.5,1.5,0.6,22.3,3.1
46,27,0.8,0.5,22.5,3.3
47,27.5,3,2,19,3.5
48,27.9,1.2,0.8,22.1,3.8
49,14.8,0.1,-,7.2,7.5
50,33.4,1.9,2.2,26.9,2.4
51,40.6,1,1.4,34.7,3.6
52,49.8,1.5,1.5,40.8,5.9
53,38,1.7,2.2,29.3,4.8
54,22,4,4,14,-
55,55.2,1.8,2.5,47.6,3.4
56,21.5,0.6,0.6,16,4.3
57,60.9,4.2,2.9,51.2,2.6
58,49.3,1.7,1.7,41.8,4
59,45.7,1.1,0.8,40.1,3.8
60,33.1,3.3,5.5,19.6,4.7
61,45.9,3,4.1,34.5,4.3
62,28.8,7.6,8.6,12.3,0.2
63,28.2,1,0.9,22,4.3
64,67.4,4.9,2.3,55.1,5.1
65,12.9,0.2,-,9.3,3.5
66,28.8,4.9,8.3,15.1,0.4
67,39.9,2.7,2.7,31.7,2.9
68,24.9,0.7,0.5,19,4.8
69,33.3,6,15.8,11.1,0.4
70,28,6,9,12.9,0.1
71,55,3,2,47,3
72,33.3,4.2,7.7,21.3,0.1
73,37.4,1.4,2.3,29.7,4
74,21.5,0.8,0.6,16.2,4
75,26.7,1,1,20.4,4.3
76,28.9,0.8,0.4,22.2,5.5
77,14.2,0.2,0.2,9.9,3.9
78,46.2,2.8,2.5,37.5,3.4
79,18.3,0.5,0.1,10.4,7.3
80,20.3,0.4,0.3,16.6,3
81,26.7,4.8,7.9,14,0.1
82,30.4,3.2,7.2,19.8,0.2
83,23,0.6,1.6,14.9,5.9
84,27.9,0.8,1,22.8,3.3
