,UnTch,Dispo
0,-,-
1,-,-
2,-,-
3,0.7,0.3
4,-,-
5,0.5,1.3
6,1.7,0.9
7,1.9,1.3
8,2.5,1.7
9,-,-
10,2.9,1.3
11,2.5,1.3
12,1.3,1.1
13,0.7,0.3
14,2.3,1.7
15,1.5,1.2
16,-,0.2
17,3.1,1.8
18,1.8,1
19,1.4,1.2
20,1.8,0.6
21,0.2,-
22,1.5,1.1
23,0.4,0.1
24,1,0.8
25,0.6,0.4
26,1.6,1.1
27,3.3,2.5
28,1.9,1.5
29,1.4,0.9
30,0.8,0.5
31,2.4,1.5
32,1,-
33,-,-
34,0.9,1.3
35,1.4,1
36,0.9,0.1
37,0.3,0.2
38,0.6,0.3
39,-,0.1
40,-,-
41,1.3,1.2
42,0.6,0.3
43,2.1,1
44,-,-
45,1.7,1.2
46,2.5,1.2
47,1,-
48,1.1,0.9
49,0.8,0.8
50,0.3,-
51,0.9,0.6
52,0.7,0.4
53,2.1,0.7
54,-,-
55,0.8,0.2
56,1,0.4
57,0.8,0.2
58,0.3,-
59,1.1,0.6
60,0.5,0.1
61,0.7,0.3
62,-,-
63,1.4,1.5
64,0.6,0.3
65,2.3,0.8
66,-,-
67,0.7,0.1
68,1.5,1.4
69,0.1,-
70,-,-
71,0.5,-
72,-,-
73,0.3,0.3
74,2.5,1.6
75,1.2,0.6
76,1.2,0.7
77,1.6,1.5
78,0.7,0.1
79,1.6,0.9
80,1.3,0.6
81,-,-
82,-,-
83,1.9,1.2
84,0.9,0.3
85,0.7,0.3
86,0.7,0.5
87,-,-
88,0.3,0.2
89,0.8,0.6
90,1,-
91,0.7,0.2
92,1.5,0.6
93,0.5,0.3
94,0.7,0.4
95,0.8,0.5
96,0.9,0.5
97,2.3,1.1
98,0.4,0.2
99,0.3,0.2
100,1.2,0.8
101,0.1,-
102,0.4,0.3
103,0.7,0.4
104,0.3,0.1
105,0.3,0.1
106,0.4,0.1
107,0.5,0.7
108,1,0.6
109,0.3,0.3
110,0.2,0.3
111,0.7,0.7
112,-,-
113,0.3,0.5
114,-,-
115,1.3,0.6
116,0.5,0.1
117,0.5,-
118,0.2,-
119,-,-
120,0.6,0.4
121,0.7,0.4
122,1.4,0.6
123,0.7,0.5
124,1.4,0.9
125,1.8,1.4
126,0.4,0.1
127,1.9,1.1
128,0.4,0.4
129,2.6,1.5
130,0.9,0.3
131,0.8,0.3
132,0.6,0.3
133,0.6,0.6
134,0.7,0.5
135,0.5,0.1
136,0.6,-
137,0.8,0.5
138,0.8,0.3
139,1.8,1
140,1.1,0.6
141,2.3,0.9
142,0.1,-
143,1.6,1.3
144,0.4,0.1
145,1.5,1
146,1.3,0.9
147,1.4,1.1
148,0.8,0.4
149,0.2,-
150,0.7,0.5
151,0.3,0.2
152,0.6,0.5
153,2.5,1
154,1.2,0.9
155,-,-
156,-,-
