,TotSh,OOBSh,SYBSh,PASh
0,-,-,-,-
1,-,-,-,-
2,-,-,-,-
3,0.5,0.2,-,0.3
4,-,-,-,-
5,0.8,-,-,0.8
6,2.1,0.2,0.2,1.7
7,2.3,0.6,0.1,1.6
8,2.6,0.5,0.3,1.9
9,-,-,-,-
10,3.1,1.6,0.1,1.5
11,2.8,0.3,0.4,2.2
12,3,0.3,0.3,2.4
13,1.6,1.2,-,0.4
14,3.3,0.6,0.5,2.2
15,2.9,1.3,0.1,1.6
16,0.3,0.2,-,0.1
17,3.1,0.7,0.4,2
18,3.7,1.1,0.3,2.3
19,1.5,0.5,0.1,0.9
20,0.9,0.3,0.1,0.6
21,0.8,-,0.1,0.7
22,2,0.4,0.1,1.5
23,0.2,-,-,0.2
24,2.1,1.1,0.1,1
25,0.4,-,0.1,0.3
26,1.6,0.5,0.2,1
27,1.9,0.2,0.1,1.6
28,1.2,0.9,-,0.3
29,2.4,0.8,0.2,1.5
30,0.7,0.3,0.1,0.2
31,2.2,0.8,0.1,1.2
32,1,-,-,1
33,-,-,-,-
34,1.4,1,-,0.4
35,1.2,0.5,0.1,0.6
36,0.8,0.2,0.1,0.5
37,0.8,-,0.2,0.5
38,0.4,0.3,-,0.2
39,0.6,0.2,-,0.5
40,-,-,-,-
41,1.1,0.5,0.1,0.5
42,1.8,0.9,-,0.9
43,1.6,1,-,0.6
44,-,-,-,-
45,2.1,1,0.1,1
46,1.7,0.4,0.1,1.2
47,-,-,-,-
48,0.6,0.1,-,0.5
49,1.3,0.1,0.1,1.1
50,0.2,-,0.1,0.1
51,1.3,0.7,-,0.6
52,0.5,0.2,0.1,0.3
53,0.8,0.3,-,0.5
54,-,-,-,-
55,0.8,0.2,0.2,0.4
56,1.3,-,0.2,1.1
57,0.4,0.1,0.1,0.2
58,0.6,-,-,0.6
59,0.6,0.2,-,0.4
60,0.6,0.1,0.1,0.4
61,0.7,0.5,-,0.2
62,-,-,-,-
63,1.6,0.8,-,0.8
64,0.7,0.5,-,0.2
65,1.6,0.1,-,1.5
66,-,-,-,-
67,0.7,0.1,0.1,0.5
68,1.3,0.1,0.1,1.1
69,-,-,-,-
70,-,-,-,-
71,0.5,-,-,0.5
72,-,-,-,-
73,0.4,0.1,-,0.3
74,1.7,0.4,0.2,1.2
75,1.5,0.7,0.1,0.7
76,0.9,0.1,0.3,0.5
77,1.8,0.2,0.3,1.3
78,0.4,-,-,0.3
79,2,0.6,0.5,0.9
80,1.4,0.6,-,0.8
81,-,-,-,-
82,-,-,-,-
83,1,0.1,-,0.9
84,0.5,0.1,-,0.4
85,0.6,0.2,-,0.4
86,0.5,0.3,-,0.1
87,-,-,-,-
88,0.2,-,-,0.2
89,1,0.6,0.1,0.4
90,2,2,-,-
91,1,0.2,-,0.8
92,1.7,0.5,0.2,1
93,0.4,0.1,-,0.3
