,TotTkl,DribPast,TotAttTkl
0,-,-,-
1,-,1,1
2,-,-,-
3,2.5,0.2,2.7
4,-,-,-
5,3.5,0.3,3.8
6,0.6,0.4,0.9
7,1.3,0.6,1.9
8,1.1,0.3,1.4
9,-,-,-
10,1.5,0.7,2.3
11,0.4,0.4,0.8
12,1,0.4,1.4
13,1.5,0.6,2.1
14,1,0.4,1.4
15,0.9,0.6,1.5
16,0.8,0.3,1.1
17,0.2,-,0.3
18,0.4,0.3,0.8
19,1.1,0.4,1.5
20,1.6,0.7,2.3
21,1.7,0.4,2.1
22,0.4,0.5,1
23,1.2,0.3,1.5
24,0.7,0.5,1.2
25,1.8,0.4,2.1
26,1.3,0.7,2
27,1.7,1.1,2.7
28,1.3,0.9,2.2
29,0.5,0.2,0.7
30,1.9,0.5,2.3
31,0.8,0.6,1.4
32,-,1,1
33,-,0.1,0.1
34,1.6,1,2.6
35,1.3,0.6,1.9
36,1.8,0.6,2.4
37,1,0.3,1.2
38,2,1,3
39,2.3,0.5,2.8
40,-,-,-
41,1.5,0.3,1.8
42,0.8,0.3,1.1
43,0.8,0.4,1.3
44,-,-,-
45,0.7,0.5,1.2
46,1.5,0.4,1.9
47,0.5,0.5,1
48,2,1.2,3.2
49,0.1,0.2,0.2
50,1,0.1,1.1
51,1,0.5,1.5
52,1.9,0.6,2.5
53,1.3,0.7,2
54,-,-,-
55,2.3,1,3.2
56,1,0.4,1.3
57,1.3,0.3,1.6
58,1.5,0.3,1.8
59,2.6,1.1,3.7
60,2.6,0.6,3.2
61,1.1,0.6,1.7
62,-,-,-
63,1.6,0.9,2.5
64,2,0.6,2.6
65,0.7,0.1,0.8
66,-,-,-
67,1.6,0.2,1.8
68,0.4,0.3,0.7
69,-,-,-
70,-,-,-
71,2.5,-,2.5
72,-,-,-
73,0.9,-,0.9
74,0.8,0.4,1.1
75,0.8,0.8,1.5
76,0.9,0.4,1.3
77,0.1,0.1,0.2
78,1.5,0.4,1.9
79,0.6,0.3,0.9
80,0.7,0.3,1
81,-,-,-
82,-,-,-
83,3.2,1.4,4.6
84,0.8,0.3,1
85,1.3,0.5,1.8
86,2.1,0.5,2.6
87,-,0.1,0.1
88,2.1,0.4,2.4
89,1.2,0.4,1.6
90,2,2,4
91,1.5,0.5,2
92,1,0.6,1.6
93,1.8,0.5,2.4
94,2.6,1.1,3.7
95,1.3,0.8,2.1
96,2.1,0.6,2.7
97,0.5,0.2,0.8
98,1.1,0.4,1.6
99,1.6,0.6,2.2
100,3.1,1.2,4.3
101,0.7,0.1,0.8
102,1,0.4,1.4
103,2,0.4,2.4
104,1.3,0.7,2
105,1.1,0.1,1.2
106,1,0.4,1.4
107,1.8,0.7,2.5
108,1,0.7,1.6
109,1.3,0.6,2
110,1.4,0.5,1.9
111,1.8,0.6,2.4
112,-,-,-
113,1.5,0.5,2
114,-,-,-
115,1.8,0.5,2.3
116,0.9,0.2,1
117,1.3,0.5,1.8
118,0.9,0.1,1
119,-,-,-
120,1.4,0.3,1.7
121,1,0.2,1.3
122,1.1,0.7,1.9
123,1.4,0.3,1.7
124,0.7,0.2,0.9
125,2.7,1.8,4.4
126,1.4,0.4,1.7
127,0.7,0.5,1.3
128,1.5,0.4,1.9
129,1.7,0.5,2.2
130,2.4,0.7,3.1
131,1.3,0.9,2.2
132,0.8,0.3,1
133,1.5,0.8,2.3
134,2.3,0.6,2.8
135,1.4,0.4,1.8
136,0.9,-,0.9
137,1.1,0.6,1.7
138,1.7,0.5,2.3
139,0.1,0.2,0.3
140,2.4,0.5,2.9
141,0.1,0.1,0.2
142,-,0.1,0.1
143,2.4,1,3.4
144,0.8,0.6,1.4
145,1,0.2,1.2
146,0.8,0.7,1.5
147,1.3,0.7,2
148,1.6,0.4,2
149,1.5,0.2,1.7
150,1,0.7,1.7
151,1.1,0.4,1.5
152,1.2,0.5,1.7
153,0.1,0.1,0.3
154,0.4,0.6,1.1
155,-,-,-
156,-,-,-
157,1.3,0.3,1.6
158,0.3,0.2,0.5
159,2.3,1,3.2
160,0.5,0.3,0.8
161,-,-,-
162,2.2,1.2,3.4
163,1.7,1.3,3
164,0.9,0.2,1.1
165,-,-,-
166,0.6,0.3,0.9
167,-,-,0.1
168,1.2,0.3,1.5
169,1.4,0.5,1.9
170,-,-,-
171,1.1,0.3,1.4
172,1.5,0.9,2.4
173,1.1,0.3,1.4
174,1,0.5,1.5
175,1.1,0.2,1.3
176,1.3,1,2.3
177,0.3,0.2,0.5
178,1.8,0.8,2.5
179,0.9,0.6,1.5
180,0.2,0.1,0.3
181,1.7,0.6,2.3
182,1.1,0.6,1.7
183,1.4,0.5,1.9
184,1.4,0.2,1.6
185,1.9,0.3,2.3
186,-,-,-
187,0.7,0.1,0.8
188,0.9,-,0.9
189,0.2,0.2,0.4
190,0.9,0.7,1.5
191,1.3,0.5,1.8
192,1.7,0.5,2.2
193,-,-,-
194,0.4,0.5,0.9
195,1.2,0.7,1.8
196,1.5,0.8,2.3
197,1.8,0.4,2.2
198,0.9,0.1,1.1
199,0.3,0.1,0.4
200,1.3,0.3,1.7
201,1.5,0.4,1.9
202,1,-,1
203,0.9,0.4,1.2
204,0.8,1,1.8
205,1.1,0.2,1.3
206,0.8,0.2,0.9
207,1.8,0.7,2.5
208,1.4,0.6,2
209,1.9,0.4,2.3
210,1,0.2,1.2
211,1.4,1.1,2.4
212,0.3,0.2,0.4
213,2,0.6,2.6
214,1.2,0.7,1.8
215,1.7,0.9,2.5
216,1.4,0.5,2
217,1.4,0.5,1.8
218,0.6,0.2,0.8
219,2,0.6,2.6
220,1.1,0.4,1.6
221,1.4,0.5,1.8
222,1.3,0.9,2.2
223,0.9,0.9,1.8
224,0.8,0.5,1.3
225,0.4,0.2,0.6
226,1.5,0.6,2.1
227,2.1,1,3.2
228,1.2,0.7,1.9
229,-,-,-
230,0.7,0.4,1.1
231,1.3,0.3,1.6
232,1.4,0.6,2
233,1,0.3,1.3
234,1.7,0.6,2.3
235,1.7,0.4,2.1
236,0.6,0.2,0.8
237,1.1,0.4,1.5
238,0.5,0.2,0.7
239,1.6,0.7,2.3
240,2.1,1.1,3.1
241,1.8,0.3,2.1
242,1.5,0.2,1.7
243,0.5,0.4,1
244,1,0.4,1.4
245,1.1,0.2,1.3
246,0.7,0.3,1
247,1.4,0.6,2
248,0.7,0.4,1
249,1.7,0.5,2.2
250,1.4,0.9,2.3
251,0.9,0.6,1.5
