,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,Juan Musso,1,90,-,-,-,-,-,44.8,1,-,7.80
1,Daniele Padelli,1,90,-,-,-,-,-,72.2,-,-,7.47
2,Rui Patrício,2,180,-,-,-,-,-,86.8,-,-,7.38
3,Bremer,6,540,-,-,1,-,0.5,92.8,2,1,7.35
4,Christos Mandas,5,450,-,-,-,-,-,68.1,0.6,1,7.34
5,Stefan Posch,4,343,-,-,-,-,0.8,84.2,1,-,7.33
6,Marcus Thuram,26(5),2209,14,4,1,-,2.1,74.7,1.5,5,7.25
7,Scott McTominay,29(1),2581,11,2,3,-,2.3,85.2,1.8,5,7.22
8,Ademola Lookman,26(2),2053,13,5,4,-,2.6,78.9,0.6,5,7.22
9,Simone Scuffet,1,90,-,-,-,-,-,76.9,1,-,7.19
10,Nico Paz,26(5),2344,6,6,6,-,3.1,83.8,0.9,4,7.17
11,Mateo Retegui,28(4),2061,24,5,2,-,2.8,78.2,1.4,4,7.15
12,Duván Zapata,7,589,3,-,1,-,3,69.4,2.9,1,7.14
13,Hakan Çalhanoglu,24(2),1786,5,4,3,-,1.6,90.3,0.6,1,7.14
14,Lautaro Martínez,31,2579,12,3,1,-,3.3,76.6,1.2,4,7.13
15,Khvicha Kvaratskhelia,15(2),1191,5,3,1,-,2.9,83.3,0.3,2,7.12
16,Pablo Marí,8(1),738,-,-,2,-,0.3,90.2,2.8,1,7.09
17,Moise Kean,28(1),2442,17,3,5,-,3.1,71.6,1.6,2,7.08
18,Valentín Castellanos,24(1),2036,10,3,7,1,3.7,69.9,2.4,4,7.08
19,Mattia Zaccagni,30(1),2468,8,6,9,-,1.5,84.8,0.6,4,7.08
20,Alexis Saelemaekers,15(4),1219,6,3,4,-,0.9,85.7,0.4,1,7.07
21,Renato Veiga,9,779,-,1,2,-,0.8,88.1,2.2,1,7.06
22,Rafael Leão,25(7),2246,7,8,4,-,2,77,0.8,4,7.06
23,Francesco Acerbi,19,1572,-,1,-,-,0.2,92.8,3.1,1,7.05
24,Tijjani Reijnders,32(1),2772,10,4,2,1,2.1,88.9,0.2,4,7.04
25,Alessandro Buongiorno,22,1926,1,-,2,-,0.4,91,2,-,7.03
26,Christian Pulisic,25(5),2145,10,8,1,-,1.6,82.7,0.3,4,7.03
27,Assane Diao,14(1),1259,8,1,2,-,1.9,82.9,1.2,2,7.03
28,Nuno Tavares,20(1),1563,-,8,2,1,1.2,84.7,0.4,3,7.02
29,Riccardo Orsolini,20(6),1616,12,3,1,-,2.4,71.4,0.8,4,7.02
30,Oumar Solet,15,1314,1,1,1,1,0.7,89.4,1.1,2,7.01
31,Florian Thauvin,24(1),1971,8,3,-,-,2.2,78.5,0.2,4,7.01
32,Raoul Bellanova,1,88,-,-,-,-,1,83.3,1,-,7.01
33,Vanja Milinkovic-Savic,33,2970,-,-,2,-,-,62.9,0.4,5,7.01
34,Nicolò Barella,27(3),2318,3,6,4,-,1.4,85.2,0.8,3,7.00
35,Frank Anguissa,28(3),2503,6,4,5,-,1.2,85,1.9,7,7.00
36,Robin Gosens,25(3),2218,5,4,5,-,0.8,78.4,2.3,5,6.99
37,Amir Rrahmani,34,3046,1,2,2,-,0.8,91.3,3.4,-,6.98
38,Marten de Roon,31(2),2789,4,3,5,-,0.4,87.5,1.3,-,6.97
39,Mats Hummels,11(2),919,-,-,1,-,0.6,89.4,1.8,1,6.95
40,Alberto Paleari,1,90,-,-,-,-,-,85.2,1,-,6.95
41,Éderson,30(3),2664,4,1,3,1,1.1,87.3,1.3,1,6.95
42,Federico Dimarco,26(3),1969,4,7,3,-,1.8,83.9,0.2,2,6.94
43,Matías Soulé,18(5),1444,5,2,2,-,1.6,87,0.4,3,6.94
44,Pietro Terracciano,3,270,-,-,-,-,-,76,-,-,6.93
45,Paulo Dybala,16(8),1420,6,3,2,-,2.1,86.5,0.3,4,6.92
46,Kenan Yildiz,26(7),2233,6,2,2,1,1.7,86.1,0.2,3,6.92
47,Sebastian Walukiewicz,2,180,-,-,-,-,-,80,2.5,-,6.92
48,Edoardo Bove,11(1),857,1,2,3,-,0.6,83.3,1,1,6.91
49,Milan Djuric,13(5),1270,4,1,3,-,1.3,49.2,7.4,3,6.91
50,Ardian Ismajli,25,2150,-,-,1,-,0.2,86.2,2.8,2,6.90
51,Theo Hernández,28(3),2519,4,3,4,1,1.3,87.8,1.1,2,6.90
52,Giovanni Di Lorenzo,33,2970,3,2,5,-,0.5,85,1.3,1,6.90
53,Dodô,32,2849,-,5,7,-,0.8,81.5,0.4,1,6.90
54,Elia Caprile,3(1),324,-,-,-,-,-,81.8,0.3,1,6.90
55,Strahinja Pavlovic,17(3),1530,2,1,2,1,0.8,89.4,1.9,1,6.90
56,Denzel Dumfries,19(7),1786,6,2,4,-,1.3,77.1,2.1,1,6.89
57,Alessandro Bastoni,29(2),2253,1,4,4,1,0.4,90.9,1.4,-,6.89
58,Berat Djimsiti,29(2),2391,1,2,4,-,0.6,88.4,2.6,1,6.88
59,Emerson Royal,16(1),1382,-,-,5,-,0.6,90,1.5,1,6.88
60,Nicolás Valentini,9(1),781,-,-,1,1,0.6,69.2,3.5,2,6.88
61,Juan Miranda,23(6),2122,-,6,4,-,0.7,81.6,1.1,1,6.88
62,David de Gea,31,2790,-,1,1,-,-,69.4,0.2,2,6.88
63,Gabriel Strefezza,29(4),2350,4,4,4,-,1.6,81.4,0.3,5,6.87
64,Manuel Locatelli,30(2),2486,1,2,7,-,0.7,89.1,1,1,6.87
65,Randal Kolo Muani,9(3),852,6,1,-,-,1.6,72.9,0.7,2,6.87
66,Filip Stankovic,16,1368,-,-,1,-,-,69.6,0.3,1,6.86
67,Kialonda Gaspar,20,1798,-,1,3,-,0.7,86.2,4,2,6.86
68,Charles De Ketelaere,22(10),1842,5,5,1,-,1.3,79.1,1,2,6.86
69,Ionut Radu,11,990,-,-,1,-,-,51.4,0.2,1,6.85
70,Nicola Leali,27,2430,-,-,1,-,-,67.4,0.4,1,6.85
71,Nicolò Casale,2,136,-,-,-,-,0.5,90.9,3,-,6.85
72,Mile Svilar,34,3060,-,-,1,-,-,76.7,0.2,3,6.85
73,Mërgim Vojvoda,5(2),454,1,2,2,-,0.4,83.2,0.6,-,6.85
74,Dan Ndoye,24(4),1971,8,3,3,-,1.7,78.6,0.5,6,6.85
75,Matteo Politano,30(3),2513,3,3,2,-,1.5,80,0.2,2,6.84
76,Cesare Casadei,10(1),801,1,1,-,-,0.9,79.6,4.1,1,6.84
77,Romelu Lukaku,31(1),2538,12,10,3,-,1.8,71.3,1.1,1,6.84
78,Guillermo Maripán,23(1),1981,1,1,3,1,0.4,87.3,2.4,-,6.83
79,Christian Kouamé,5(3),508,1,-,-,-,2,59.6,6,1,6.83
80,Eljif Elmas,9(1),764,4,-,-,-,1.4,83.7,0.1,-,6.83
81,Marco Carnesecchi,31,2790,-,-,1,-,-,70.3,0.2,3,6.83
82,Mattia Perin,5,450,-,-,-,-,-,75.7,0.2,-,6.83
83,Alessio Zerbin,13(1),1167,1,-,3,-,1,67.7,0.3,3,6.83
84,Raoul Bellanova,24(6),2130,-,8,3,-,0.5,84.5,0.8,-,6.83
85,Angeliño,32(2),2819,2,1,1,-,0.6,81.8,0.9,3,6.82
86,Aarón Martín,32,2788,-,4,5,-,0.5,81,0.6,1,6.82
87,Elia Caprile,15,1350,-,-,-,-,-,63.9,0.3,2,6.82
88,Diego Coppola,30(1),2657,1,-,10,-,0.2,81.8,3.8,3,6.82
89,Khéphren Thuram,23(9),2058,3,5,4,-,1,89.8,0.8,3,6.82
90,Antonín Barák,1,55,-,-,-,-,2,89.5,-,-,6.82
91,Johan Vásquez,31(2),2827,2,-,8,-,1,85.3,2.6,2,6.82
92,Nicolás González,19(3),1471,2,2,1,-,1.7,76.6,2.4,-,6.81
93,Mario Gila,28,2453,1,-,6,-,0.4,91.9,2.3,1,6.81
94,Nicolò Rovella,27(2),2419,-,3,13,-,0.9,91.2,0.3,1,6.80
95,Henrikh Mkhitaryan,29(1),2298,1,4,4,-,0.8,88.7,0.7,1,6.80
96,Mathías Olivera,22(6),2014,-,2,4,-,0.5,83.6,1.2,1,6.80
97,Nikola Krstovic,33,2743,10,3,5,-,3.9,67.7,2.5,2,6.80
98,Charalampos Lykogiannis,10(4),863,-,4,2,-,0.3,79.5,1.3,1,6.80
99,Sam Beukema,31(2),2831,-,1,1,-,0.4,86.7,2.8,-,6.80
100,Morten Frendrup,32,2837,2,-,5,-,0.8,85.5,0.9,3,6.79
101,Stefan de Vrij,15(8),1453,2,-,1,-,0.5,93.1,2.4,1,6.78
102,Federico Gatti,26(2),2188,1,-,2,-,0.9,95.2,1.3,2,6.78
103,Yerry Mina,29,2397,-,-,4,1,0.8,85.6,3.3,-,6.77
104,Leandro Paredes,13(7),1205,1,1,4,-,1,91.2,0.4,-,6.77
105,Luca Ranieri,32(1),2807,1,2,5,-,0.3,86.7,1.3,1,6.77
106,Marc Kempf,27(1),2349,-,-,3,1,0.5,87.8,3.3,1,6.76
107,Paulo Azzi,5(1),428,-,-,2,-,1.3,75,1,-,6.76
108,Davide Zappacosta,24(3),1883,4,2,3,-,1.3,86.5,0.4,1,6.76
109,Adam Masina,17(7),1667,1,2,5,-,0.3,85.2,2.7,1,6.75
110,Pablo Marí,19,1630,-,-,2,1,0.1,90,2.1,-,6.75
111,Sead Kolasinac,23,1910,-,2,7,-,0.4,88.1,1.5,-,6.75
112,Yann Sommer,31,2790,-,-,-,-,-,86.4,0.1,1,6.75
113,Fali Candé,13,1170,-,1,4,-,0.2,82.5,2.8,1,6.75
114,Josep Martínez,3,270,-,-,-,-,-,80.8,0.3,-,6.75
115,Emil Holm,11(8),1078,1,1,3,-,0.5,79.7,1.6,1,6.75
116,Evan Ndicka,34,3060,-,1,2,-,0.5,92,1.7,-,6.75
117,Jaka Bijol,31,2790,1,-,10,-,0.6,84,3.4,3,6.74
118,Matteo Gabbia,20(2),1801,1,-,3,-,0.5,91,1.8,-,6.74
119,Tiago Gabriel,0(1),79,-,-,-,-,-,85.7,2,-,6.74
120,Koni De Winter,21(1),1898,3,-,6,-,0.5,86.9,3.3,1,6.74
