,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
0,0.7,0.2,0.9,0.1,3.2,0.5,0.4,0.1,0.1,-,0.4,-,-,-,-
1,0.4,0.1,0.6,0.1,0.7,0.3,0.5,0.5,0.1,-,0.4,-,-,-,-
2,1.1,0.5,1.6,0.3,2,0.6,0.1,0.3,-,0.1,0.7,-,-,-,-
3,1.4,0.7,2.1,0.3,2.2,0.8,0.1,0.2,-,-,1.2,-,-,-,-
4,1.1,0.4,1.5,0.3,1.3,0.7,0.3,0.2,-,-,0.9,-,-,-,-
5,1.5,0.6,2,0.7,0.8,0.5,0.1,0.8,0.1,0.2,0.6,-,-,-,-
6,0.5,0.2,0.7,0.2,0.5,1.1,0.6,0.8,-,-,0.4,-,-,-,-
7,0.9,0.9,1.8,0.4,0.8,2.4,0.8,2.1,0.3,0.1,1.2,-,-,-,-
8,1.1,0.6,1.7,0.5,2.2,1.1,0.2,0.6,0.1,0.1,0.5,-,-,-,-
9,2.5,1,3.5,1,-,1,0.5,11.5,1,1,-,-,-,-,-
10,1.8,0.7,2.5,1.7,0.6,1,-,2.3,0.4,-,0.5,-,-,-,-
11,0.2,0.1,0.3,0.1,1.9,0.6,0.4,1.2,0.1,-,0.2,-,-,-,-
12,1.6,1,2.6,0.6,1.8,1.6,0.1,1,0.1,0.1,0.5,-,-,-,-
13,2.7,0.7,3.4,1.4,1.4,0.8,0.1,2.9,0.4,0.2,1.1,-,-,-,-
14,0.9,0.3,1.2,0.3,0.2,0.3,0.4,1.4,0.1,0.3,0.5,-,-,-,-
15,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
16,2.6,0.4,3,0.6,0.9,0.5,-,1.9,-,0.4,1.3,-,-,-,-
17,2,0.6,2.6,0.5,1.5,0.8,0.3,0.9,0.1,0.3,1.6,-,-,-,-
18,3.1,1.3,4.4,1,1.1,1.5,-,1.6,0.4,-,1.8,-,-,-,-
19,1.9,0.3,2.2,1.6,0.3,1.4,0.1,6.6,0.7,0.2,0.5,-,-,-,-
20,0.2,-,0.2,-,-,-,-,1.2,-,-,-,4,0.4,1.8,1.8
21,1.5,0.4,1.9,0.8,0.6,0.9,0.2,6.7,1.2,0.1,0.6,-,-,-,-
22,1.2,0.3,1.5,1.6,0.5,1.4,0.1,5.9,0.8,-,0.1,-,-,-,-
23,1.6,0.5,2.1,0.7,1.4,0.4,0.2,1.1,0.1,0.1,0.7,-,-,-,-
24,0.7,0.6,1.3,0.2,0.3,0.4,0.1,0.5,0.1,0.1,0.6,-,-,-,-
25,0.7,0.8,1.5,0.5,0.8,0.4,0.2,1.3,0.1,0.2,0.7,-,-,-,-
26,0.1,0.1,0.1,-,0.1,-,-,1.3,-,-,-,3.5,0.6,1.8,1.2
27,0.9,0.8,1.6,0.3,0.7,1,0.8,0.7,0.1,0.1,1.3,-,-,-,-
28,0.6,0.2,0.8,0.3,0.3,0.4,0.3,0.5,-,-,0.4,-,-,-,-
29,0.8,0.3,1.2,1.6,0.5,1.2,-,6.2,0.7,0.3,0.6,-,-,-,-
30,2.1,0.6,2.7,1.9,1.2,0.8,0.1,5.2,0.8,0.2,1.2,-,-,-,-
31,0.7,0.3,1,0.2,0.9,0.6,0.2,0.1,-,-,0.3,-,-,-,-
32,1.4,0.5,2,0.4,1,1,-,1.4,0.2,0.1,0.7,-,-,-,-
33,1,0.1,1.1,0.3,1.4,0.9,0.1,0.1,-,-,0.6,-,-,-,-
34,1.3,0.4,1.7,1.4,0.1,0.9,-,3.2,0.4,0.1,0.5,-,-,-,-
35,1.9,0.5,2.4,0.7,0.3,1.1,0.4,1.3,0.3,0.2,0.8,-,-,-,-
36,2.3,0.5,2.7,1.5,1.1,1.3,-,3.5,0.4,-,1,-,-,-,-
37,1.6,0.3,1.8,1.3,0.6,0.4,-,6.5,1.2,0.2,0.3,-,-,-,-
38,-,-,-,-,-,-,-,0.5,-,-,-,3,0.3,2.3,0.3
39,1.5,0.6,2.1,0.6,1.3,1,0.1,0.3,-,-,0.6,-,-,-,-
40,0.2,0.1,0.4,0.1,0.6,0.7,0.2,0.5,-,-,0.2,-,-,-,-
41,0.2,0.3,0.5,0.2,0.6,0.9,0.6,0.7,0.1,-,0.3,-,-,-,-
42,0.9,0.2,1,0.4,0.3,0.4,-,0.7,-,-,0.4,-,-,-,-
43,1.4,0.8,2.2,0.4,1.2,0.9,0.1,0.3,0.1,-,1.3,-,-,-,-
44,1.6,0.5,2.1,0.8,1.5,0.7,-,1.5,0.3,0.1,0.7,-,-,-,-
45,2.3,0.7,3,1.6,1.3,1.7,-,4.4,0.9,0.2,0.7,-,-,-,-
46,0.6,0.4,1,1.2,0.2,0.3,-,7.9,1,-,0.5,-,-,-,-
47,1.5,0.6,2,0.4,0.4,1,0.3,1.8,0.3,0.2,0.8,-,-,-,-
48,1.8,0.6,2.4,2.1,0.6,0.5,0.1,5.9,0.9,-,0.7,-,-,-,-
49,-,-,-,0.1,-,-,-,0.8,-,-,0.1,3.6,0.3,2.3,1.1
50,-,-,-,-,0.3,-,-,0.5,-,-,-,2.5,-,1.5,1
51,1.5,0.5,2,1,1.4,0.9,-,3,0.6,0.4,0.6,-,-,-,-
52,0.4,0.2,0.6,-,0.8,0.7,0.4,0.5,-,-,0.3,-,-,-,-
53,1,0.3,1.3,1.8,0.3,0.3,-,5.3,1,0.3,0.7,-,-,-,-
54,1.8,0.7,2.5,1.8,0.9,0.5,-,1.6,0.4,0.1,1.5,-,-,-,-
55,0.8,0.4,1.3,0.8,0.3,0.8,-,5.8,0.9,0.1,0.5,-,-,-,-
56,-,-,-,-,0.2,-,-,1.6,-,-,-,3.9,0.2,2.1,1.6
57,0.1,-,0.1,-,0.1,-,-,2,-,-,-,3.2,0.2,2,1
58,0.8,0.3,1,0.6,0.5,1.9,0.1,10,1,0.3,0.8,-,-,-,-
59,0.3,0.4,0.7,0.3,0.6,0.2,0.5,0.8,-,-,0.2,-,-,-,-
60,1.7,0.8,2.4,0.7,1.1,1.4,0.2,1.3,0.3,0.2,1.2,-,-,-,-
61,-,-,-,-,0.2,-,-,1.3,-,-,-,2.7,0.1,1.8,0.8
62,2,1,3,0.7,0.4,0.8,-,2.7,0.5,0.3,1.2,-,-,-,-
63,1.5,0.6,2,0.6,1.2,1.9,0.5,1.2,-,0.1,1.2,-,-,-,-
64,0.9,0.3,1.2,1,0.2,0.8,0.1,3.3,0.4,-,0.5,-,-,-,-
65,1.2,0.7,1.9,0.9,1.9,1,-,2.5,0.4,-,0.4,-,-,-,-
66,1.3,0.3,1.6,1,0.9,0.7,-,3.7,0.6,0.1,0.6,-,-,-,-
67,1.3,0.7,2,1.1,1.2,0.7,0.2,1.1,0.1,0.1,1,-,-,-,-
68,2.3,1.1,3.4,1.4,0.7,1,0.1,5.2,0.9,-,0.7,-,-,-,-
