,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
0,0.6,0.2,0.8,0.2,1,0.7,0.5,0.2,-,-,0.3,-,-,-,-
1,1.2,0.5,1.7,0.1,1.8,0.7,0.2,0.3,-,0.1,0.9,-,-,-,-
2,0.4,0.2,0.7,0.1,0.4,0.8,0.7,0.5,0.1,-,0.5,-,-,-,-
3,1.2,0.9,2.1,0.6,2.2,1.4,0.3,0.7,-,0.1,0.6,-,-,-,-
4,0.3,0.1,0.5,0.2,0.4,0.8,0.1,0.8,-,-,0.4,-,-,-,-
5,0.8,0.4,1.2,0.2,1.7,0.4,0.2,0.5,-,-,0.4,-,-,-,-
6,1.2,0.3,1.5,0.4,1.1,0.7,0.3,1.2,0.1,0.1,0.6,-,-,-,-
7,1,0.7,1.7,0.2,0.9,1.5,0.3,0.2,-,-,0.5,-,-,-,-
8,1.1,0.6,1.7,0.5,1.7,0.8,0.8,0.3,0.1,-,0.8,-,-,-,-
9,2.4,1.5,3.8,0.8,1.2,0.8,0.1,0.9,0.1,0.2,0.8,-,-,-,-
10,1.6,0.8,2.5,0.2,1.1,2,0.5,0.7,0.2,0.2,1.5,-,-,-,-
11,-,-,-,-,0.2,-,-,1.8,-,-,-,4,0.6,1.8,1.6
12,1.2,0.3,1.5,0.2,1.2,0.3,0.2,0.1,-,-,0.4,-,-,-,-
13,1.5,0.5,2,0.5,1,0.9,0.4,0.6,-,0.1,0.5,-,-,-,-
14,2.4,1.9,4.3,1.1,0.3,0.3,-,1.6,0.3,0.3,0.6,-,-,-,-
15,-,-,-,-,2,-,-,1,-,-,-,2,-,2,-
16,0.6,0.6,1.3,0.2,1,0.2,0.4,0.5,-,-,0.4,-,-,-,-
17,2.6,1.3,3.9,1.7,0.5,0.9,0.2,3.3,0.2,0.3,0.9,-,-,-,-
18,0.8,0.5,1.3,0.3,1,1.7,0.7,1.4,0.2,-,0.9,-,-,-,-
19,2.4,1,3.3,0.7,1.5,1.3,-,1.3,0.5,-,0.6,-,-,-,-
20,1.1,0.3,1.3,1.6,0.4,0.5,-,5.2,0.4,-,0.3,-,-,-,-
