,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
0,1.3,0.6,1.9,0.4,1.8,0.9,0.4,0.1,-,-,0.4,-,-,-,-
1,7,1,8,3,-,-,-,4,2,-,-,-,-,-,-
2,-,-,-,-,-,-,-,2,-,-,-,5,1,2,2
3,1.1,0.5,1.6,0.3,1.1,0.3,0.3,0.7,0.1,0.1,0.8,-,-,-,-
4,0.3,0.1,0.4,-,1.1,0.8,1.3,-,-,-,0.1,-,-,-,-
5,1.2,0.4,1.6,0.6,0.7,0.9,0.3,0.3,0.1,-,1.1,-,-,-,-
6,0.3,0.2,0.5,0.1,1.1,0.9,0.5,0.8,0.1,-,0.4,-,-,-,-
7,2,0.5,2.4,0.9,2.1,1,0.2,0.6,0.1,0.1,1.1,-,-,-,-
8,0.7,0.5,1.2,0.1,2.4,1,0.4,-,-,-,0.2,-,-,-,-
9,1,0.9,1.9,0.8,1.4,1.4,0.1,0.4,0.1,0.3,1,-,-,-,-
10,0.9,1.1,2.1,0.5,2.2,1.2,0.2,0.3,-,0.1,0.5,-,-,-,-
11,1.7,1.2,2.9,0.8,1.4,0.3,0.1,0.4,0.1,0.3,1.2,-,-,-,-
12,1.3,0.4,1.7,1.6,0.5,0.3,-,1.5,0.2,-,0.9,-,-,-,-
13,1.3,1,2.3,0.6,1.4,0.8,-,0.4,-,0.3,0.8,-,-,-,-
14,0.7,0.5,1.2,0.4,1.2,0.3,-,0.2,-,0.1,0.6,-,-,-,-
15,0.7,0.4,1.1,0.2,1,0.8,0.1,0.5,0.2,-,0.2,-,-,-,-
16,0.9,0.6,1.5,0.3,1.5,0.8,0.2,0.3,-,0.1,0.5,-,-,-,-
17,-,-,-,-,0.2,-,-,1,-,-,-,4.8,0.2,2.3,2.3
18,1.6,0.4,2,1,0.7,1.5,-,2.8,0.7,0.1,0.4,-,-,-,-
19,0.6,0.4,1,0.2,1.5,1,0.6,0.4,-,0.1,0.5,-,-,-,-
20,-,-,-,1,-,2,-,7,-,1,-,-,-,-,-
21,1.5,0.3,1.9,1.1,0.2,0.9,-,5.7,0.7,0.5,0.6,-,-,-,-
22,1,0.8,1.7,0.2,1.3,0.6,0.4,0.1,-,0.2,0.6,-,-,-,-
23,1.5,0.3,1.9,0.2,2.6,0.6,-,0.1,0.1,-,0.6,-,-,-,-
24,1.4,1.7,3.1,0.4,1.4,0.9,0.2,1,0.1,0.2,0.4,-,-,-,-
25,0.9,0.2,1.1,0.7,1,0.6,-,3.8,0.3,0.2,0.4,-,-,-,-
26,1.3,0.3,1.6,1.7,0.7,0.6,-,5.4,0.3,0.1,0.2,-,-,-,-
27,1.2,0.4,1.6,1.4,0.6,0.5,-,6.4,1,0.1,0.6,-,-,-,-
28,-,-,-,-,0.2,-,-,1.2,-,-,-,3.8,0.2,2.2,1.4
29,0.6,0.3,0.8,0.1,0.9,1.1,0.4,0.5,0.1,-,0.4,-,-,-,-
30,0.5,0.3,0.9,0.4,1.2,0.7,0.5,0.9,0.1,0.1,0.9,-,-,-,-
31,2.5,2.3,4.8,1.3,1.5,1.5,-,1.3,-,0.5,1.5,-,-,-,-
32,1.5,0.5,2,-,1,1.5,-,0.5,-,0.5,1,-,-,-,-
33,1.5,0.3,1.8,0.7,1,0.6,-,4.3,0.8,0.1,0.3,-,-,-,-
34,2,1.2,3.2,1.8,1,1.3,-,2.3,0.5,-,0.6,-,-,-,-
35,1.1,0.4,1.5,2.1,0.6,1.1,-,5.3,0.5,-,-,-,-,-,-
36,2.2,0.7,2.9,0.9,1.6,1.1,0.1,1,0.4,0.2,0.8,-,-,-,-
37,1.3,0.4,1.7,1.1,0.3,1,0.2,6.3,0.7,0.1,0.4,-,-,-,-
38,2,0.9,2.9,1,0.8,1.2,0.1,2.7,0.2,0.7,1.2,-,-,-,-
39,0.5,0.3,0.8,0.2,0.8,0.5,0.1,0.2,-,-,0.4,-,-,-,-
40,1.3,-,1.3,0.8,0.2,0.9,-,1.8,0.4,0.3,-,-,-,-,-
41,2.1,0.8,2.9,0.8,0.5,0.7,0.2,1.8,0.1,0.4,1.1,-,-,-,-
42,0.7,0.6,1.3,-,0.2,0.8,0.2,0.2,-,-,0.4,-,-,-,-
43,1.4,0.8,2.3,0.6,2.1,1.5,0.4,0.5,0.1,0.1,0.9,-,-,-,-
44,1.5,0.7,2.1,1.5,0.8,0.9,-,2.7,0.7,-,0.3,-,-,-,-
45,0.9,0.7,1.5,0.2,0.7,0.3,0.4,0.7,-,-,0.5,-,-,-,-
46,2,0.5,2.6,0.8,0.7,0.6,0.1,1.5,0.3,0.1,0.6,-,-,-,-
47,1.5,0.4,1.9,1.3,0.8,0.4,-,1.8,0.4,0.6,0.6,-,-,-,-
48,2.2,0.4,2.6,0.8,1.3,0.7,-,2.8,0.4,0.6,0.8,-,-,-,-
49,2,0.7,2.7,0.6,0.6,0.7,0.2,1.8,0.2,0.3,0.9,-,-,-,-
50,2.6,0.8,3.4,1.1,0.6,1.4,0.1,2.5,0.1,0.2,0.6,-,-,-,-
