,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
0,1,2,3,2,-,-,-,1,1,-,1,-,-,-,-
1,2,-,2,2,-,-,-,4,2,-,-,-,-,-,-
2,0.4,0.3,0.7,0.3,0.5,0.3,0.3,-,-,-,0.1,-,-,-,-
3,2.5,1,3.5,1,1.5,0.5,-,3,-,-,-,-,-,-,-
4,0.5,0.1,0.5,-,0.3,0.7,0.4,0.1,-,-,0.5,-,-,-,-
5,0.3,0.3,0.6,0.3,1.8,1.3,0.4,0.4,-,-,0.7,-,-,-,-
6,1.1,0.6,1.7,0.3,1.1,0.7,0.1,0.2,-,-,0.2,-,-,-,-
7,0.5,0.8,1.3,0.3,1.1,0.6,0.1,0.2,-,-,0.2,-,-,-,-
8,3.5,1.2,4.7,0.8,1.9,0.9,-,2.2,0.4,0.1,1,-,-,-,-
9,2,1.2,3.1,1.2,1,0.8,0.3,0.6,0.1,0.2,1,-,-,-,-
10,0.8,0.7,1.5,0.6,0.6,0.9,0.2,0.3,0.1,-,0.7,-,-,-,-
11,1.6,0.8,2.4,0.4,0.5,0.7,0.3,0.1,-,-,0.3,-,-,-,-
12,1.9,1,2.9,1.8,0.4,1,-,2.4,0.1,0.2,0.7,-,-,-,-
13,1.5,0.8,2.3,0.4,1.3,1,-,0.3,-,-,0.7,-,-,-,-
14,2.4,0.8,3.2,2.3,0.7,1.2,-,4.6,0.3,0.2,0.6,-,-,-,-
15,2.3,0.6,2.9,0.8,1.1,0.6,0.1,0.7,0.3,0.1,0.7,-,-,-,-
16,1.3,0.2,1.5,0.5,2,1.4,0.3,0.4,0.1,0.1,0.7,-,-,-,-
17,0.9,0.4,1.3,0.4,2.5,1,0.1,0.9,-,0.1,0.7,-,-,-,-
18,1.5,0.8,2.2,0.2,1.4,0.7,-,0.2,-,0.1,0.5,-,-,-,-
19,1.3,0.7,2,0.5,1.8,1.1,-,0.3,0.1,-,0.5,-,-,-,-
20,1.8,1,2.8,0.7,1.6,1.5,0.3,1.2,0.4,0.1,1.3,-,-,-,-
21,0.8,0.6,1.4,0.1,0.8,0.6,-,0.1,-,-,0.3,-,-,-,-
22,-,0.5,0.5,-,-,-,-,1.5,-,-,-,3,-,2,1
23,3.4,1.4,4.8,1.7,1.7,1.7,0.1,1.8,0.2,0.2,1.3,-,-,-,-
24,2.1,0.4,2.5,0.8,0.7,0.9,-,6.6,1.2,0.1,0.9,-,-,-,-
25,-,-,-,-,0.1,-,-,1,-,-,-,3.8,0.3,2.6,0.9
26,1.3,0.8,2.1,1.1,1.1,0.9,0.1,1.9,0.1,0.2,0.7,-,-,-,-
27,1.7,0.4,2.2,0.8,1.1,2,0.4,1.1,-,-,0.7,-,-,-,-
28,0.6,0.5,1.1,0.4,1.6,0.3,0.3,0.4,-,-,0.4,-,-,-,-
29,0.9,0.2,1.1,1.8,1,0.5,-,4.3,0.9,0.2,0.5,-,-,-,-
30,2,1.2,3.2,1.5,1.4,0.9,-,1.1,0.1,0.1,0.9,-,-,-,-
31,0.8,0.8,1.6,0.2,0.8,2,0.4,0.8,0.2,-,0.5,-,-,-,-
32,0.4,0.4,0.8,0.3,0.9,0.8,0.4,0.1,-,-,0.7,-,-,-,-
