,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
0,-,-,-,-,1,-,-,-,-,-,-,4,1,2,1
1,-,1,1,-,-,-,-,-,-,-,-,3,-,2,1
2,-,-,-,-,-,-,-,1,-,-,-,4.5,-,3,1.5
3,2.5,0.2,2.7,1,0.8,1.5,-,2.3,1.8,0.3,0.7,-,-,-,-
4,-,-,-,-,-,-,-,0.8,-,-,-,2.8,-,2.4,0.4
5,3.5,0.3,3.8,1,-,2.5,-,3.3,0.3,-,1,-,-,-,-
6,0.6,0.4,0.9,0.1,1.1,0.8,0.4,0.5,0.1,-,0.4,-,-,-,-
7,1.3,0.6,1.9,0.7,1.8,1.3,0.2,1.5,0.1,-,0.5,-,-,-,-
8,1.1,0.3,1.4,0.1,0.6,1.1,0.9,0.2,-,-,0.6,-,-,-,-
9,-,-,-,-,-,-,-,4,-,-,-,3,-,3,-
10,1.5,0.7,2.3,0.6,1,1.3,0.1,0.4,0.1,-,1.3,-,-,-,-
11,0.4,0.4,0.8,0.1,0.9,0.8,0.2,0.5,-,-,0.2,-,-,-,-
12,1,0.4,1.4,0.3,1.1,1.4,0.3,1,0.1,-,0.1,-,-,-,-
13,1.5,0.6,2.1,0.7,0.5,0.8,-,0.8,0.2,-,0.3,-,-,-,-
14,1,0.4,1.4,0.3,1.4,1.3,0.7,0.5,0.1,-,0.6,-,-,-,-
15,0.9,0.6,1.5,0.2,1.9,0.7,-,0.2,-,0.2,0.8,-,-,-,-
16,0.8,0.3,1.1,2,0.1,1,-,8.3,0.9,-,0.4,-,-,-,-
17,0.2,-,0.3,0.2,1.7,1.3,1.8,0.8,-,-,0.4,-,-,-,-
18,0.4,0.3,0.8,0.2,1.5,1.3,0.6,0.8,0.1,-,0.6,-,-,-,-
19,1.1,0.4,1.5,0.8,3,1,0.3,0.5,-,0.2,0.5,-,-,-,-
20,1.6,0.7,2.3,0.4,1.3,0.7,-,0.4,0.1,-,0.6,-,-,-,-
21,1.7,0.4,2.1,1.2,0.2,0.8,0.1,5.2,1.1,0.2,0.2,-,-,-,-
22,0.4,0.5,1,0.2,1.6,0.5,0.2,0.1,-,-,0.4,-,-,-,-
23,1.2,0.3,1.5,1.4,0.9,0.6,0.1,3.8,0.8,0.1,0.3,-,-,-,-
24,0.7,0.5,1.2,1,0.6,0.7,-,0.7,0.1,0.1,0.5,-,-,-,-
25,1.8,0.4,2.1,1.6,1,0.8,-,3.3,0.8,-,0.5,-,-,-,-
26,1.3,0.7,2,0.1,1,0.6,0.1,0.4,0.1,-,0.6,-,-,-,-
27,1.7,1.1,2.7,0.2,3.3,1.3,0.4,0.9,0.1,0.4,0.5,-,-,-,-
28,1.3,0.9,2.2,0.9,1.4,0.8,-,1.4,0.1,0.5,0.8,-,-,-,-
29,0.5,0.2,0.7,0.3,1.4,1,0.4,0.4,-,-,0.9,-,-,-,-
30,1.9,0.5,2.3,0.9,0.7,0.9,-,3.9,1,0.2,0.7,-,-,-,-
31,0.8,0.6,1.4,0.3,1.1,0.4,0.1,0.3,-,0.1,0.2,-,-,-,-
32,-,1,1,-,1,1,-,3,-,1,-,-,-,-,-
33,-,0.1,0.1,-,0.3,-,-,1.3,-,-,-,3.6,0.2,2.2,1.3
34,1.6,1,2.6,0.3,1.1,0.8,0.1,0.5,0.1,-,0.7,-,-,-,-
35,1.3,0.6,1.9,1,0.9,1,0.1,1.1,0.2,-,0.4,-,-,-,-
36,1.8,0.6,2.4,0.6,0.8,0.7,0.2,2.8,0.3,0.3,0.7,-,-,-,-
37,1,0.3,1.2,0.7,0.3,1.1,-,4.6,0.7,0.1,0.5,-,-,-,-
38,2,1,3,1.3,0.6,1.3,-,1.6,0.2,0.1,0.8,-,-,-,-
39,2.3,0.5,2.8,2,0.2,0.7,-,3.3,0.3,-,0.6,-,-,-,-
40,-,-,-,-,1,-,-,2,-,-,-,4,1,3,-
41,1.5,0.3,1.8,1,1.5,0.9,-,0.9,0.2,0.1,0.7,-,-,-,-
42,0.8,0.3,1.1,0.4,0.3,0.7,0.3,0.8,0.1,0.2,0.6,-,-,-,-
43,0.8,0.4,1.3,0.3,1.4,0.5,-,0.7,0.1,0.1,0.9,-,-,-,-
44,-,-,-,-,-,-,-,-,-,-,-,3.7,1,1.7,1
45,0.7,0.5,1.2,0.1,2.5,0.3,0.3,0.1,-,-,0.5,-,-,-,-
46,1.5,0.4,1.9,0.2,1.4,0.7,0.1,0.2,-,0.1,0.7,-,-,-,-
47,0.5,0.5,1,0.5,-,2,-,7,1.5,0.5,-,-,-,-,-
48,2,1.2,3.2,0.5,1.8,1.3,-,0.5,-,0.2,1,-,-,-,-
49,0.1,0.2,0.2,0.1,1,0.9,0.3,0.9,-,-,0.3,-,-,-,-
50,1,0.1,1.1,1.9,0.9,0.6,-,8.4,0.9,0.1,0.3,-,-,-,-
51,1,0.5,1.5,0.5,1.4,0.5,0.1,1.9,0.3,0.4,0.5,-,-,-,-
52,1.9,0.6,2.5,0.9,1.4,1.4,0.2,2,0.2,0.2,0.4,-,-,-,-
53,1.3,0.7,2,1,1.8,0.7,0.1,1.6,0.2,0.2,0.5,-,-,-,-
54,-,-,-,-,-,-,-,0.8,-,-,-,1.8,-,1.5,0.3
55,2.3,1,3.2,0.7,0.7,0.8,0.1,3.2,0.3,0.2,0.3,-,-,-,-
56,1,0.4,1.3,0.2,0.6,2,0.2,0.7,0.2,0.1,0.8,-,-,-,-
57,1.3,0.3,1.6,0.7,1.2,1.4,-,1.4,0.3,0.2,0.4,-,-,-,-
58,1.5,0.3,1.8,1.2,0.6,0.6,-,3.5,0.6,0.1,0.4,-,-,-,-
59,2.6,1.1,3.7,0.8,1.9,2,-,3,0.1,0.3,0.6,-,-,-,-
60,2.6,0.6,3.2,1,0.2,1.6,-,5.7,0.5,0.5,0.6,-,-,-,-
61,1.1,0.6,1.7,0.7,1,0.8,-,1.4,0.1,0.2,0.6,-,-,-,-
62,-,-,-,-,0.1,-,-,0.9,-,-,-,2.9,0.1,1.6,1.2
63,1.6,0.9,2.5,0.4,2,1.3,-,0.7,0.1,-,0.6,-,-,-,-
64,2,0.6,2.6,0.7,0.6,1.3,-,1.8,0.5,0.2,1,-,-,-,-
65,0.7,0.1,0.8,0.1,1.3,1.8,0.3,0.2,-,-,0.4,-,-,-,-
66,-,-,-,-,0.1,-,-,1.3,-,-,-,3.8,0.2,2,1.6
67,1.6,0.2,1.8,1.3,0.9,0.5,-,4.8,1.3,0.1,0.8,-,-,-,-
68,0.4,0.3,0.7,0.1,1.1,0.6,0.1,0.3,0.1,-,0.3,-,-,-,-
69,-,-,-,-,0.1,-,-,0.6,-,-,-,3.3,0.1,2.3,0.9
70,-,-,-,-,0.2,-,-,1.1,-,-,-,2.8,0.2,1.6,1
71,2.5,-,2.5,0.5,-,1,-,1,1.5,-,0.5,-,-,-,-
72,-,-,-,-,0.1,-,-,0.5,-,-,-,3.1,0.1,1.6,1.4
73,0.9,-,0.9,0.3,0.1,1,0.1,1.4,0.6,0.1,0.3,-,-,-,-
74,0.8,0.4,1.1,0.3,3.3,0.8,0.3,0.1,-,-,0.7,-,-,-,-
75,0.8,0.8,1.5,0.3,0.9,0.4,0.2,1.2,-,0.2,0.5,-,-,-,-
