,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,OOBSh,SYBSh,PASh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
0,4.5,0.9,0.1,0.1,0.7,4.5,1.4,0.1,3.1,5.9,3.2,2.7,3.9,2.2,1.2,0.4,0.8
1,3.7,0.8,0.1,0.1,0.6,3.7,0.9,0.4,2.4,1.8,1,0.8,1.3,0.7,1.6,1,0.7
2,2.4,0.3,0.1,-,0.2,2.4,0.7,0.1,1.6,4.1,2.2,1.9,1.6,0.8,0.6,0.3,0.4
3,2.7,0.5,-,0.2,0.3,2.7,0.7,0.3,1.7,5.6,2.8,2.9,2.7,1.3,0.8,0.3,0.6
4,2.4,0.3,-,0.1,0.3,2.4,0.9,0.1,1.4,5.4,2.7,2.7,1.9,1.6,1.5,0.3,1.3
5,1,0.1,-,-,-,1,0.7,-,0.2,0.6,0.3,0.3,0.7,0.2,0.7,0.4,0.3
6,3.5,0.5,-,0.3,0.2,3.5,0.9,0.5,2.1,3.6,2,1.6,2.9,0.9,3.2,1.4,1.8
7,2.5,0.5,-,0.2,0.3,2.5,0.3,0.4,1.7,1.1,0.7,0.4,2.6,1.4,8.6,4.7,4
8,1.8,0.4,0.1,-,0.3,1.8,0.9,-,0.9,3.8,2.5,1.3,3.1,2.3,1.8,0.8,1
9,1,-,-,-,-,1,-,0.5,0.5,-,-,-,0.5,-,6,4.5,1.5
10,0.7,0.1,-,-,0.1,0.7,0.1,0.2,0.4,0.3,0.2,0.2,0.3,0.2,5.1,3,2.1
11,3,0.6,-,0.3,0.4,3,0.2,0.5,2.3,1,0.8,0.3,2.5,1,7.3,4,3.3
12,2,0.2,0.1,-,0.1,2,1.3,-,0.8,2.3,1.2,1.1,1.5,0.9,1.2,0.6,0.6
13,0.6,-,-,-,-,0.6,0.5,-,0.1,1.2,0.6,0.6,0.9,0.3,1.4,0.9,0.5
14,1.6,0.2,-,0.1,0.1,1.6,0.3,0.1,1.3,1.8,1.1,0.6,1.3,0.6,0.9,0.3,0.6
15,-,-,-,-,-,-,-,-,-,1,1,-,-,-,4,3,1
16,0.6,0.1,-,0.1,-,0.6,0.1,0.1,0.4,1.3,0.9,0.4,1.1,0.4,0.9,0.3,0.6
17,1.8,0.3,0.1,0.1,0.1,1.8,0.7,0.2,1,3.7,2.1,1.6,1.7,1.8,1.4,0.5,0.9
18,1.6,0.2,0.1,-,-,1.6,1,-,0.5,1.9,1.1,0.9,1.4,1.3,1.1,0.4,0.7
19,0.5,-,-,-,-,0.5,-,0.2,0.4,0.3,0.2,0.1,0.4,-,6.2,3.9,2.2
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.8,-
21,0.9,0.2,-,0.2,-,0.9,-,0.4,0.5,0.2,-,0.1,0.6,0.2,6,4.2,1.9
22,0.5,-,-,-,-,0.5,-,0.1,0.5,0.3,0.3,0.1,0.8,0.2,6.5,4.3,2.1
23,0.9,0.1,-,0.1,-,0.9,0.4,0.1,0.4,3.6,1.9,1.6,1.7,1,0.9,0.5,0.4
24,2,0.3,0.1,-,0.2,2,1,-,1,1.4,0.6,0.8,1.1,0.5,1,0.5,0.5
25,1.4,0.1,-,-,-,1.4,0.9,-,0.5,1.6,0.9,0.6,1.8,0.4,1,0.4,0.6
26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
27,2.4,0.4,-,0.1,0.3,2.4,0.6,0.1,1.7,3,1.8,1.2,2.8,0.6,2.2,0.7,1.5
28,1.6,0.2,0.1,-,0.1,1.6,0.5,0.2,0.9,2.8,1.3,1.5,1,0.6,0.8,0.3,0.5
29,0.4,-,-,-,-,0.4,0.1,-,0.3,0.3,0.3,0.1,0.6,0.3,2.9,1.7,1.3
30,0.6,-,-,-,-,0.6,0.1,0.1,0.4,0.5,0.2,0.3,0.6,0.2,4.8,2.7,2.1
31,2.3,0.4,-,0.1,0.2,2.3,0.7,0.2,1.4,3.3,2,1.3,2.1,1,0.5,0.3,0.2
32,0.7,0.1,0.1,-,-,0.7,0.6,-,0.1,0.5,0.3,0.2,0.5,0.4,2,1.3,0.8
33,1.8,0.3,-,0.1,0.2,1.8,0.4,0.1,1.3,5.7,3.1,2.7,1.7,1.2,0.4,0.2,0.2
34,0.3,0.1,-,-,-,0.3,-,0.1,0.1,0.2,0.1,0.1,0.5,0.2,4.7,3,1.7
35,1,-,-,-,-,1,0.4,0.1,0.5,2,1.1,1,1.3,0.7,2.1,1.1,1
36,1,-,-,-,-,1,0.6,-,0.4,1.1,0.6,0.4,0.7,0.3,3.3,1.9,1.4
37,0.5,-,-,-,-,0.5,-,0.1,0.3,-,-,-,0.3,-,4,2.2,1.8
38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,0.7,-
39,1.8,0.4,0.1,-,0.3,1.8,1,-,0.8,3.3,1.8,1.5,2.9,1.7,1.2,0.5,0.7
40,2.3,0.7,0.1,0.1,0.5,2.3,0.3,0.4,1.7,0.8,0.5,0.3,1.3,0.9,3.1,1.4,1.7
41,2.2,0.4,0.1,-,0.3,2.2,0.7,0.1,1.3,2.4,1.2,1.3,1.9,1.7,3.9,2.2,1.7
42,1,0.2,-,-,0.1,1,0.3,-,0.6,0.9,0.5,0.4,0.8,0.6,0.7,0.3,0.3
43,1.5,0.1,0.1,-,0.1,1.5,0.6,-,0.9,3,1.6,1.3,2.3,1.8,1.6,0.7,0.9
44,0.7,-,-,-,-,0.7,0.4,-,0.3,1,0.3,0.7,0.7,0.8,1.6,0.7,0.9
45,0.5,0.1,-,0.1,-,0.5,0.3,0.1,0.1,0.3,0.1,0.2,0.7,0.3,2.8,1.4,1.3
46,1,0.1,-,0.1,-,1,0.5,0.2,0.3,0.2,0.1,0.1,0.3,-,4.2,2.9,1.3
47,0.4,-,-,-,-,0.4,0.1,-,0.3,1.2,0.8,0.4,0.7,0.4,1.5,0.6,0.9
48,0.7,-,-,-,-,0.7,0.2,0.1,0.5,0.3,0.2,0.2,0.5,0.2,5.1,3.2,1.9
49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,0.1
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.5,0.3
51,0.7,0.1,-,-,-,0.7,0.1,0.2,0.3,0.4,0.3,0.1,0.6,0.1,3.3,1.9,1.4
52,2.2,0.6,-,0.3,0.2,2.2,0.3,0.5,1.4,1.3,0.8,0.5,2.5,1.2,3.4,0.7,2.7
53,0.4,-,-,-,-,0.4,0.1,0.1,0.2,0.4,0.1,0.2,0.7,0.3,3.1,2.2,0.9
54,0.5,-,-,-,-,0.5,0.3,0.1,0.2,1.5,0.5,0.9,1.2,1,4.8,2.6,2.2
55,0.6,0.1,-,0.1,-,0.6,0.2,0.1,0.3,0.1,0.1,-,0.4,0.1,5,3.3,1.7
56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,0.9,-
57,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.3,0.3,-
58,0.5,-,-,-,-,0.5,-,0.1,0.4,0.3,-,0.3,0.1,0.1,8,5.4,2.6
59,2.2,0.2,-,-,0.2,2.2,0.6,-,1.5,0.6,0.4,0.2,0.9,0.3,1.7,0.7,1
60,1.4,0.3,-,0.1,0.2,1.4,0.2,0.1,1.1,0.6,0.4,0.3,1,0.4,2,1.1,0.9
61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,0.7,-
62,0.7,0.1,-,-,-,0.7,-,0.1,0.5,1.4,0.7,0.8,1.3,0.5,2.3,1.3,1
63,1.6,0.2,-,-,0.2,1.6,0.3,0.3,1,1.9,1,0.9,2.2,0.9,5.6,2.8,2.8
64,0.4,0.1,-,0.1,-,0.4,-,0.3,0.1,0.2,0.1,0.1,0.3,0.1,4.3,2.5,1.8
65,1,0.1,0.1,-,-,1,0.9,-,0.1,0.2,0.2,-,0.7,0.4,1.4,0.5,0.9
66,0.8,0.1,-,-,-,0.8,0.1,0.1,0.6,1,0.2,0.8,0.8,0.4,2.9,1.7,1.1
67,1.2,0.2,-,0.1,0.1,1.2,-,0.2,1,1,0.6,0.4,2.3,0.8,3.9,1.6,2.2
68,0.2,-,-,-,-,0.2,-,0.1,-,0.3,-,0.3,0.4,0.2,3.7,2,1.7
69,0.4,-,-,-,-,0.4,-,-,0.4,2.4,1.5,0.9,1.6,0.4,1.1,0.4,0.8
70,1.8,0.3,-,0.1,0.2,1.8,0.4,0.2,1.2,1.5,0.8,0.6,0.9,0.3,0.4,0.2,0.2
71,0.7,0.1,-,-,-,0.7,0.1,0.2,0.4,0.2,0.1,0.1,0.5,0.3,3,2.3,0.7
72,0.7,-,-,-,-,0.7,0.3,0.2,0.3,1,0.3,0.6,0.5,0.4,3.5,2.3,1.2
73,0.4,0.1,0.1,-,-,0.4,0.3,-,0.1,0.3,-,0.3,0.7,0.1,0.9,0.5,0.4
74,0.5,-,-,-,-,0.5,0.2,0.1,0.2,0.4,0.2,0.2,0.5,0.2,2.9,1.9,1
75,2.2,0.3,-,-,0.2,2.2,0.8,0.1,1.3,2.3,1.1,1.2,1.7,1.4,3,1.5,1.5
76,1.4,0.1,-,-,-,1.4,0.6,0.2,0.6,2.3,1.1,1.2,1.5,1,3.1,1.5,1.7
77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
78,1.9,0.2,-,-,0.2,1.9,0.6,-,1.3,3.6,2,1.7,1.7,1.4,1,0.4,0.6
79,2.7,0.4,-,0.2,0.3,2.7,0.4,0.4,1.8,1.9,1.1,0.8,2.3,1.5,2.9,1.7,1.2
80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.5,-
81,0.8,-,-,-,-,0.8,0.4,0.1,0.4,1.4,0.8,0.7,0.8,0.8,1.3,0.5,0.7
82,0.7,0.1,-,-,0.1,0.7,-,0.1,0.5,0.7,0.3,0.4,0.3,0.3,3.3,2.2,1.1
83,1.5,0.2,-,-,0.2,1.5,0.3,0.1,1.2,2,1.3,0.7,2,1.2,6.8,1.9,4.9
84,1.4,-,-,-,-,1.4,0.1,0.2,1.1,0.8,0.5,0.3,1.4,0.4,5.3,3,2.3
85,1.3,0.2,-,0.1,0.1,1.3,0.1,0.1,1,2.6,1.5,1,2.3,1.2,2.7,1.1,1.6
86,1.4,0.3,0.1,-,0.2,1.4,0.6,-,0.8,2.8,1.6,1.2,1.9,1.1,2.8,1,1.8
87,1.7,0.1,-,0.1,-,1.7,0.4,0.3,1,0.7,0.3,0.3,1.7,1,9.6,5.4,4.2
88,0.5,0.1,-,-,0.1,0.5,0.1,0.1,0.2,0.6,0.1,0.5,0.8,0.3,2.8,1.4,1.4
89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.3,-
90,0.7,0.2,-,0.1,0.1,0.7,0.3,0.2,0.3,0.4,0.4,-,0.4,0.3,2.6,1.7,0.9
91,0.4,0.1,-,0.1,-,0.4,-,0.1,0.3,0.3,0.2,0.1,0.2,0.6,1.4,0.6,0.9
92,1.2,0.2,-,-,0.2,1.2,-,0.1,1,1.1,0.5,0.6,1.5,0.8,4.8,2.7,2.1
93,2.6,0.3,0.1,-,0.2,2.6,0.7,0.1,1.7,2.2,1.6,0.6,2.6,0.9,1.7,0.7,1
94,0.3,-,-,-,-,0.3,-,0.1,0.2,0.2,0.1,0.1,0.5,0.3,5.9,3.7,2.2
95,1.3,0.2,0.1,-,0.1,1.3,0.7,-,0.6,0.3,-,0.3,0.2,0.2,2,1.2,0.8
96,1,0.1,-,-,0.1,1,0.4,-,0.6,3.8,2.1,1.7,1.6,1.3,0.8,0.3,0.5
97,1.2,0.3,-,-,0.2,1.2,0.1,0.1,1,0.7,0.4,0.2,1.8,0.9,6.4,3.2,3.1
98,1.2,-,-,-,-,1.2,0.6,-,0.6,0.4,0.1,0.3,0.6,0.3,3,1.5,1.4
99,1.3,0.3,-,-,0.2,1.3,0.6,0.1,0.6,2,1.2,0.8,2.2,1.3,2.5,0.6,1.9
100,0.8,-,-,-,-,0.8,0.7,-,0.1,0.2,0.1,0.1,0.4,0.2,2.2,1.1,1.2
101,0.3,0.2,0.1,-,0.1,0.3,0.1,0.1,0.2,1.5,1.1,0.4,1.5,0.4,2.3,0.9,1.3
102,1.4,0.4,-,0.1,0.3,1.4,0.3,0.2,1,1.5,0.9,0.6,1.4,0.8,1.7,0.5,1.1
103,1.2,0.1,0.1,-,0.1,1.2,0.5,-,0.7,1.3,0.7,0.6,1,0.7,1.4,0.3,1.1
104,1.1,0.2,-,-,0.2,1.1,0.3,-,0.8,1.8,1.2,0.6,1.4,0.7,2.3,0.9,1.4
105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
106,1.6,0.1,-,-,0.1,1.6,0.7,-,0.9,1.9,1.1,0.8,1.9,1.4,1.2,0.6,0.6
107,0.6,0.1,-,-,0.1,0.6,0.1,0.1,0.4,0.2,0.1,0.1,0.4,0.1,4.1,2.5,1.6
108,1,0.1,-,-,0.1,1,0.3,0.1,0.6,2,1,0.9,1.4,0.5,1.4,0.7,0.7
109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,0.6,-,-,-,-,0.6,0.2,-,0.3,0.5,0.2,0.3,0.7,0.9,0.4,-,0.4
111,1.5,0.1,-,-,0.1,1.5,0.7,-,0.8,1.8,1.1,0.6,1.6,1.1,1.4,0.4,1
112,0.8,0.1,-,-,0.1,0.8,0.4,0.1,0.3,1.9,1,1,1.3,0.9,4,2.2,1.8
113,1.4,0.3,-,0.1,0.1,1.4,0.2,0.2,1.1,1.8,1,0.8,1.3,0.9,1.5,0.8,0.7
114,0.2,-,-,-,-,0.2,0.1,-,-,1.2,0.6,0.7,1,0.4,1.8,1.1,0.6
115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.2,0.1
116,0.7,0.2,-,-,0.2,0.7,0.1,0.1,0.6,0.2,-,0.2,0.4,-,3.2,2.2,1
117,1.3,0.2,-,-,0.2,1.3,0.3,-,1,1.8,0.8,1,1.7,0.8,1.8,0.7,1.1
118,1.9,0.3,-,-,0.3,1.9,0.4,0.2,1.4,1,0.6,0.4,2.3,0.8,6.4,2.5,3.9
119,2.1,0.4,-,0.1,0.3,2.1,0.5,0.2,1.4,1.3,0.8,0.6,1.6,1.2,0.9,0.2,0.7
120,0.3,-,-,-,-,0.3,-,-,0.3,0.1,0.1,-,0.4,-,3.4,2.4,1
121,0.4,-,-,-,-,0.4,0.2,0.1,0.1,0.7,0.2,0.4,1,0.5,3.1,1.7,1.4
122,0.6,-,-,-,-,0.6,0.3,-,0.3,2.1,0.9,1.2,1.4,0.6,1.2,0.4,0.8
123,0.9,-,-,-,-,0.9,0.4,0.1,0.5,0.3,0.2,0.1,0.8,0.3,1.9,0.8,1.1
124,0.3,-,-,-,-,0.3,0.2,-,0.1,0.3,0.2,0.1,0.3,0.2,1.5,1,0.5
125,1,0.1,-,-,0.1,1,0.4,0.1,0.4,1.4,0.4,1,1.6,0.8,1.4,0.6,0.9
126,1.5,0.1,-,-,-,1.5,0.9,-,0.6,3.4,1.9,1.5,1.7,0.5,0.7,0.1,0.6
127,2.6,0.3,0.1,0.1,0.2,2.6,0.5,0.4,1.8,0.8,0.5,0.3,1.9,1.1,2.2,0.8,1.3
128,0.6,-,-,-,-,0.6,0.1,0.2,0.4,0.6,0.4,0.2,0.5,0.2,2,1.2,0.9
