,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,OOBSh,SYBSh,PASh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
0,3.4,0.8,-,0.2,0.7,3.4,0.3,0.4,2.7,3.7,2,1.6,3.1,1.8,0.7,0.3,0.4
1,2.7,0.3,-,0.1,0.3,2.7,0.6,0.2,1.9,4.3,2.4,1.9,1.4,1.9,1.4,0.4,0.9
2,2.9,0.7,0.1,0.3,0.3,2.9,0.5,0.3,2,2.9,1.4,1.4,2,1.7,2.5,0.9,1.6
3,3.3,0.5,0.2,-,0.3,3.3,1.6,0.1,1.6,4.4,2.5,1.9,2.5,1.6,1.2,0.4,0.9
4,3.6,0.8,0.1,0.1,0.5,3.6,0.3,0.7,2.6,1.1,0.8,0.4,1.4,0.9,3.4,1.8,1.6
5,3.6,0.5,0.1,-,0.3,3.6,1.8,0.1,1.8,3.2,1.8,1.4,1.8,1,0.3,-,0.2
6,2.1,0.5,0.1,-,0.4,2.1,0.6,0.1,1.4,2.8,1.6,1.2,2.7,1.2,3.1,1,2.1
7,2,0.4,-,-,0.3,2,0.4,0.3,1.4,3.4,1.9,1.5,1.6,1.4,1.3,0.4,0.9
8,3,0.6,0.2,-,0.4,3,1.6,-,1.4,2.2,1.6,0.6,2.8,0.9,0.8,0.3,0.5
9,2.5,0.3,0.2,-,0.1,2.5,1.5,-,1,2,1.2,0.8,1.1,1.2,1.5,0.6,0.9
10,3.6,0.3,-,0.1,0.2,3.6,1.2,0.2,2.3,3.8,1.8,2,2.4,2.1,4.2,1.9,2.3
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-
12,1,0.1,-,-,0.1,1,0.3,-,0.7,7.3,3.3,4,2.1,2.2,0.4,-,0.4
13,1.8,0.3,-,-,0.3,1.8,0.6,-,1.2,3.3,1.6,1.6,1.6,1.5,1.1,0.4,0.7
14,1.4,0.1,-,-,-,1.4,1,-,0.3,1,0.6,0.5,0.7,0.5,0.5,0.1,0.4
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-
16,2,0.3,-,-,0.3,2,0.6,-,1.3,2.9,1.9,1,0.9,1,0.6,0.2,0.4
17,0.5,-,-,-,-,0.5,0.4,-,0.1,2.3,1.3,1,1.3,0.5,2.2,1.4,0.8
18,2.5,0.4,-,0.1,0.2,2.5,0.3,0.6,1.6,1.8,1.4,0.4,2,1,6.6,3,3.5
19,1.1,0.1,-,-,0.1,1.1,0.6,0.1,0.5,1.7,0.8,0.9,0.9,0.8,1.2,0.7,0.5
20,0.7,0.1,-,-,-,0.7,0.1,0.2,0.4,0.2,0.1,0.1,0.2,0.2,4.5,3.2,1.3
21,1,0.1,-,-,0.1,1,0.1,0.2,0.7,1.5,1,0.6,1.5,0.6,3.8,1.6,2.2
22,0.4,-,-,-,-,0.4,-,0.1,0.3,0.2,0.1,0.2,0.4,0.2,4.3,3.2,1.1
23,2.6,0.3,-,0.1,0.2,2.6,0.8,0.3,1.5,3.9,2.4,1.4,2.3,2.3,1.7,0.3,1.4
24,1,0.1,-,-,0.1,1,0.3,-,0.7,2.7,1.3,1.4,1.7,1.3,1.1,0.4,0.8
25,1.1,0.1,-,-,0.1,1.1,0.5,-,0.6,1.3,0.8,0.5,0.8,0.6,1.6,0.6,1
26,1.3,0.3,-,0.1,0.2,1.3,0.6,0.2,0.6,1.9,0.9,1,0.9,1.1,0.6,0.1,0.5
27,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.1,0.1,-
28,0.5,-,-,-,-,0.5,0.4,-,0.1,2.2,1.2,1,1.4,0.6,1,0.7,0.3
29,1.3,0.1,-,-,0.1,1.3,0.6,-,0.7,0.8,0.5,0.4,1.2,0.8,1.7,1,0.7
30,3.2,0.1,0.1,-,-,3.2,1.9,-,1.3,4.3,2.3,2.1,1.8,1.6,1.5,0.2,1.3
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,0.4,0.1,-,-,0.1,0.4,0.1,-,0.3,3.1,1.4,1.6,0.9,0.6,1.6,0.7,0.9
33,1.8,0.6,-,0.1,0.4,1.8,0.4,0.3,1.1,0.3,0.2,0.1,2.1,0.7,6.6,2.6,4
34,1.8,0.2,-,0.1,0.1,1.8,0.7,0.4,0.7,2.5,1.5,1,2.2,1.3,2.8,1.3,1.5
35,1.1,0.1,-,0.1,0.1,1.1,0.4,0.2,0.4,2,1.1,0.9,1.5,2.3,1,0.5,0.4
36,0.6,-,-,-,-,0.6,0.4,0.1,0.2,1,0.2,0.8,0.6,0.3,1.7,1.1,0.6
37,1.5,0.2,0.1,0.1,-,1.5,0.9,0.1,0.6,2.5,1.1,1.3,1.5,1.6,1.1,0.2,0.9
38,1.1,0.3,-,-,0.3,1.1,0.3,-,0.9,4.8,2.6,2.2,1.7,1.4,0.9,0.2,0.6
39,0.5,-,-,-,-,0.5,0.4,-,0.1,1.5,0.9,0.6,1,0.7,1.5,0.9,0.6
40,1.1,0.2,-,-,0.1,1.1,0.2,0.2,0.7,1.3,0.5,0.7,0.8,0.5,2.4,1.5,0.9
41,2,0.2,-,-,0.2,2,0.6,0.2,1.2,3.4,2.1,1.3,1,1.3,0.4,0.2,0.3
42,2,0.4,0.1,-,0.3,2,0.6,0.1,1.3,2.7,1.6,1.1,1.6,0.9,1,0.3,0.8
43,1.1,-,-,-,-,1.1,0.6,-,0.5,2.2,1.1,1.1,1.6,1.1,1.9,1.2,0.6
44,1.8,0.3,0.1,-,0.2,1.8,0.7,0.1,1.1,2.6,1.3,1.3,1.6,1.2,1,0.2,0.9
45,-,-,-,-,-,-,-,-,-,1,-,1,1,0.5,1.5,0.5,1
46,1.3,0.2,0.2,-,-,1.3,1,-,0.3,1.5,0.7,0.8,0.6,1.1,0.6,0.3,0.3
47,1.3,0.3,0.1,0.1,0.1,1.3,0.5,0.2,0.6,2.5,1.4,1,0.8,0.8,0.4,0.2,0.3
48,2.8,0.3,-,0.1,0.3,2.8,0.3,0.5,2,2.1,1.5,0.7,2.2,1.3,2,0.7,1.3
49,1.2,0.1,-,-,0.1,1.2,0.9,-,0.3,1.1,0.7,0.4,0.8,0.5,1.1,0.4,0.7
50,2,-,-,-,-,2,0.8,-,1.2,4.2,2.3,1.9,1.6,1.4,0.1,-,0.1
51,0.6,0.1,-,-,-,0.6,0.1,0.3,0.1,0.2,0.1,0.1,0.6,-,3.8,2.3,1.5
52,2,0.1,0.1,-,-,2,1.2,-,0.8,1.4,0.8,0.5,1,1,0.7,0.2,0.5
53,2.3,0.1,-,-,0.1,2.3,1.5,-,0.8,3.9,1.6,2.3,1.5,2.6,2.4,0.6,1.8
54,1.2,-,-,-,-,1.2,0.8,0.1,0.3,6.3,3.6,2.6,1.6,1.1,2.5,1.3,1.2
55,0.8,0.1,0.1,-,-,0.8,0.5,0.1,0.1,0.9,0.3,0.6,0.6,0.4,1.6,0.9,0.7
56,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,-,0.5,0.5,-
57,0.5,0.1,-,-,-,0.5,0.1,0.1,0.3,0.4,0.2,0.2,0.5,0.3,4.9,3.2,1.7
58,1.4,0.2,0.1,-,-,1.4,0.4,-,0.9,2.2,1,1.2,1.6,0.9,0.5,0.1,0.4
59,1.8,0.4,-,0.1,0.3,1.8,0.3,0.1,1.3,3,2,1,2.7,1.4,3.3,1.6,1.8
60,1.6,0.2,-,0.1,0.1,1.6,0.7,0.1,0.8,1.4,0.7,0.7,0.9,0.9,1.5,0.5,1
61,2.4,0.5,-,0.2,0.3,2.4,0.4,0.4,1.6,1.4,1,0.4,2,0.9,2,1,1
62,1.6,0.1,-,-,0.1,1.6,0.4,0.3,1,1.6,1.1,0.5,1.4,1.8,3.6,2,1.7
63,0.9,0.1,-,-,0.1,0.9,0.2,0.1,0.7,3.2,1.6,1.6,1.2,1.2,1.4,0.6,0.8
64,0.8,0.1,-,0.1,0.1,0.8,0.1,0.2,0.5,-,-,-,-,0.1,4.1,2.9,1.2
65,0.4,-,-,-,-,0.4,0.1,-,0.3,0.8,0.4,0.4,1.2,0.7,2.3,1.1,1.1
66,1.9,0.2,-,0.1,0.2,1.9,0.4,0.4,1.1,2.5,1.3,1.2,1.8,1,3.2,1.3,1.9
67,1.1,0.1,-,-,-,1.1,0.6,0.1,0.4,1.7,0.9,0.8,1.5,0.9,1.8,0.8,1
68,0.9,0.3,-,0.2,0.1,0.9,0.3,0.3,0.4,0.8,0.3,0.5,0.3,0.6,3.4,1.8,1.6
69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.5,0.5
70,0.3,-,-,-,-,0.3,-,-,0.3,1,0.7,0.3,0.3,-,5.3,3,2.3
71,0.5,-,-,-,-,0.5,0.3,-,0.2,1,0.3,0.7,0.2,0.3,3.1,1.8,1.3
72,1.5,0.3,-,0.1,0.2,1.5,0.3,0.1,1.1,3.8,2.6,1.3,2.6,2.5,0.8,0.3,0.4
73,2.4,0.3,-,0.1,0.2,2.4,0.2,0.2,2,2.1,1.4,0.7,2.8,2,4.2,1.8,2.4
74,1.1,0.1,-,-,0.1,1.1,0.4,0.1,0.6,0.4,0.2,0.2,1,0.6,2.5,1.4,1.1
75,0.8,0.1,-,0.1,-,0.8,0.1,0.5,0.3,0.2,-,0.1,0.3,0.1,3.3,2,1.4
76,1.6,0.2,-,0.1,0.1,1.6,0.2,0.2,1.2,4.1,2.5,1.5,1.5,0.7,1.6,0.8,0.8
77,1.5,0.3,0.1,-,0.2,1.5,0.5,0.2,0.9,4.6,2.7,1.8,2.9,2.1,1.7,0.3,1.4
78,0.4,0.1,-,-,0.1,0.4,0.3,-,0.2,3.3,1.6,1.7,1.2,1.2,1.4,0.8,0.6
79,1.4,0.1,-,-,-,1.4,1.2,-,0.2,1.8,0.7,1.1,1.2,1.1,2.1,1.3,0.8
80,0.5,-,-,-,-,0.5,0.4,-,0.1,0.5,0.2,0.3,0.9,0.5,2.4,1.3,1.1
81,1.8,0.4,-,0.2,0.2,1.8,-,0.4,1.4,1.4,0.8,0.7,0.8,0.6,0.9,0.2,0.7
82,1.1,-,-,-,-,1.1,0.6,-,0.6,1.3,0.8,0.5,0.7,0.5,1.9,1.1,0.8
83,0.9,-,-,-,-,0.9,0.1,0.2,0.5,0.4,0.2,0.3,0.7,0.1,3.4,1.9,1.5
84,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.4,0.4,-
85,0.5,-,-,-,-,0.5,-,0.1,0.4,0.2,0.1,0.1,0.3,0.1,3.7,2.6,1.1
86,2,0.1,-,-,0.1,2,1.1,0.2,0.7,2,1.2,0.9,1.6,1.8,2.2,0.9,1.3
87,0.2,0.1,-,0.1,-,0.2,-,0.1,-,0.6,0.2,0.4,0.6,0.2,3,1.9,1.1
88,1.9,0.2,-,-,0.1,1.9,0.8,0.1,1,1.2,0.5,0.6,1.1,0.7,1.2,0.6,0.7
89,0.9,0.1,0.1,-,0.1,0.9,0.2,0.1,0.6,0.4,0.1,0.3,0.1,0.2,1.5,0.8,0.7
90,0.7,-,-,-,-,0.7,0.2,0.2,0.4,1.6,0.8,0.8,1.2,0.6,1.9,1.2,0.7
91,2.4,0.1,-,-,0.1,2.4,0.6,0.2,1.6,6.7,3.8,2.9,2.3,3.2,1.7,0.4,1.3
92,1,0.2,-,-,0.2,1,0.1,-,0.9,3,1.6,1.4,1.6,0.7,1.5,0.6,1
93,2.4,0.4,-,0.2,0.2,2.4,0.3,0.4,1.7,0.8,0.5,0.2,1.2,0.8,3.7,1.5,2.2
94,1.9,0.1,0.1,-,-,1.9,0.8,-,1.1,2.4,1.3,1.1,0.8,0.1,1,0.1,0.9
95,0.9,0.1,-,0.1,-,0.9,-,0.2,0.7,0.2,0.2,0.1,0.5,0.3,3.9,2.4,1.5
96,1.9,0.4,-,0.1,0.3,1.9,0.4,0.2,1.3,1.3,0.7,0.5,2.1,1.2,4.9,1.8,3
97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,0.5,0.1
99,2.4,0.4,-,0.1,0.3,2.4,0.7,0.1,1.6,1.4,0.7,0.7,0.6,0.9,-,-,-
100,2.7,0.3,-,-,0.2,2.7,0.5,0.2,2,2.8,1.7,1.2,1.5,0.9,0.9,0.3,0.5
101,0.5,-,-,-,-,0.5,-,0.1,0.5,0.1,-,0.1,0.6,0.1,5.9,4,1.9
102,1.5,0.1,-,-,0.1,1.5,0.7,-,0.9,2,1.2,0.8,1.1,1.5,0.6,0.3,0.3
103,0.8,-,-,-,-,0.8,0.7,-,0.1,1.1,0.6,0.5,0.9,1.1,1.2,0.7,0.5
104,0.3,0.1,-,-,-,0.3,0.2,-,0.1,2.1,1.2,1,1.3,0.7,1,0.4,0.6
