,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
0,3.8,0.2,-,0.1,0.1,3.8,1.6,0.1,2,8.8,4.4,4.4,3,1.4,0.1,-,-
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,3.1,0.5,0.1,0.4,0.1,3.1,1.3,0.1,1.7,3.1,1.5,1.5,1.5,0.9,0.4,0.3,0.2
4,4.4,0.8,-,0.6,0.1,4.4,1.1,0.3,3,5.6,3.1,2.4,2.4,1.4,0.3,0.1,0.2
5,2.9,0.3,-,0.3,-,2.9,0.6,0.2,2.1,2.1,0.8,1.3,3.3,0.8,5.1,2.5,2.6
6,3.5,0.8,0.2,0.5,-,3.5,0.6,0.6,2.2,1,0.4,0.6,2.3,1.4,2.4,1.1,1.3
7,2,0.3,0.1,0.2,-,2,0.6,0.2,1.2,2.4,1.1,1.3,1.7,1.2,1.8,0.9,1
8,2.9,0.4,0.1,0.3,-,2.9,0.9,0.2,1.8,6.6,3.8,2.9,2.3,1.6,0.3,-,0.3
9,2.2,0.2,0.1,0.1,-,2.2,1.1,0.1,1,1.9,1.2,0.7,1.4,1.1,1.3,0.6,0.7
10,2.2,0.5,-,0.5,-,2.2,1.1,0.1,1,2.6,1.4,1.2,2.6,1.4,1.8,0.7,1.1
11,0.8,0.1,-,0.1,-,0.8,0.4,-,0.3,1.8,0.6,1.2,1.4,1,0.3,0.2,0.2
12,1.5,0.2,-,-,0.2,1.5,1.2,0.1,0.2,0.7,0.3,0.4,1,-,1.2,0.8,0.5
13,2.6,0.3,-,0.3,-,2.6,1,-,1.6,3.5,2,1.5,3.3,1.3,1.3,0.3,1
14,1.8,0.2,-,0.2,-,1.8,0.5,0.1,1.2,3.7,2.1,1.6,1.6,0.5,0.8,0.2,0.5
15,1.9,0.5,-,0.4,0.1,1.9,0.6,0.1,1.2,1.9,0.9,1,1.7,1.1,0.8,0.5,0.4
16,2.6,0.5,0.1,0.4,-,2.6,0.5,0.2,1.8,2.7,1.4,1.3,2.1,1.1,1.5,0.5,1
17,-,-,-,-,-,-,-,-,-,0.2,-,0.2,-,-,0.2,0.2,-
18,0.8,0.1,-,0.1,-,0.8,0.2,0.1,0.6,0.7,0.3,0.4,0.5,0.3,2.8,1.8,1
19,2.4,0.3,-,0.3,-,2.4,1,-,1.4,4.8,2.4,2.5,3.1,1.6,1,0.5,0.6
20,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,3,2
21,0.8,0.1,0.1,-,-,0.8,0.2,0.3,0.3,0.5,0.3,0.2,0.5,0.1,3.9,2.3,1.7
22,1.9,0.2,-,0.1,-,1.9,0.5,-,1.4,6.3,4,2.3,2.1,1.6,1,0.4,0.6
23,1.3,0.3,-,0.2,0.1,1.3,0.7,-,0.6,2.2,1.4,0.9,1.7,1.4,0.8,0.2,0.5
24,1.3,0.4,-,0.3,0.1,1.3,0.7,0.2,0.4,3.3,1.9,1.4,2.2,0.8,2,1.1,0.9
25,0.5,-,-,-,-,0.5,0.1,0.1,0.3,0.1,-,0.1,0.4,0.1,3.5,2.3,1.2
26,0.4,0.1,-,0.1,-,0.4,0.1,-,0.3,0.4,0.2,0.3,0.5,0.3,3.9,2.2,1.7
27,0.8,0.1,-,-,-,0.8,0.2,0.1,0.5,0.6,0.3,0.3,0.4,0.2,3.8,2,1.8
28,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.7,0.7,-
29,2.5,0.5,-,0.5,-,2.5,0.2,0.3,2,1.1,0.8,0.3,2.3,1.2,7.6,3.8,3.8
30,2,0.2,0.1,0.1,-,2,0.5,0.2,1.2,3.1,2.1,1,2,1.2,1.6,0.9,0.7
31,0.3,-,-,-,-,0.3,0.3,-,-,1.8,0.8,1,1.8,0.5,3,1.3,1.8
32,2,-,-,-,-,2,1.5,-,0.5,4,3,1,2.5,1.5,3.5,1.5,2
33,0.8,-,-,-,-,0.8,0.1,0.2,0.5,0.5,0.3,0.3,0.4,0.2,4.6,3,1.6
34,0.8,0.1,-,0.1,-,0.8,0.2,0.1,0.4,1.6,0.6,1,1.4,0.9,1.8,1.1,0.6
35,0.1,-,-,-,-,0.1,-,0.1,-,0.3,0.1,0.1,0.8,-,3.1,1.6,1.5
36,0.4,0.1,-,-,0.1,0.4,0.1,-,0.3,1.6,0.8,0.8,0.4,0.6,2.1,1.2,0.9
37,1.1,-,-,-,-,1.1,0.5,0.1,0.5,0.8,0.3,0.5,0.9,0.3,4.5,2.9,1.6
38,0.6,-,-,-,-,0.6,0.1,0.1,0.4,0.9,0.6,0.3,0.7,0.4,2.1,1.3,0.8
