,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
0,2,1,-,-,1,2,1,-,1,1,-,1,1,1,4,2,2
1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,4,2
2,3.3,0.8,0.1,0.6,-,3.3,0.8,0.3,2.2,3.3,1.9,1.5,1.4,1,0.3,0.1,0.2
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.5,0.5,3
4,3.9,0.6,-,0.4,0.3,3.9,1,0.1,2.8,1.4,0.8,0.5,1.3,1.1,1.1,0.2,0.9
5,2.9,0.9,0.4,0.6,-,2.9,0.1,0.6,2.1,0.7,0.6,0.1,2.5,1.1,3.4,1.4,2
6,3.4,0.6,0.1,0.5,0.1,3.4,1.4,0.2,1.8,3.9,2.2,1.7,1.7,1.4,0.5,0.2,0.2
7,1.3,0.3,-,0.3,-,1.3,0.3,0.1,0.9,3.2,1.6,1.6,1.6,1.5,0.4,0.1,0.3
8,1.3,0.3,0.1,0.1,0.1,1.3,0.6,0.3,0.4,1.2,0.6,0.6,1.4,0.3,1.9,1.2,0.8
9,1.3,0.2,-,0.1,-,1.3,0.6,0.1,0.6,2.1,1,1,1.5,0.6,0.9,0.4,0.5
10,2.3,0.4,-,0.4,-,2.3,0.3,0.2,1.7,4.1,3,1,1.9,0.6,0.6,0.4,0.2
11,1.8,0.3,-,0.2,0.1,1.8,0.8,-,0.9,3.9,2.1,1.7,1.2,1.8,0.5,0.1,0.4
12,1,0.1,-,0.1,-,1,0.3,-,0.7,1,0.6,0.4,1.2,0.3,1,0.6,0.4
13,1.9,0.2,-,0.2,-,1.9,0.6,-,1.3,4.2,2.4,1.8,1.7,1.1,0.6,0.3,0.4
14,0.9,-,-,-,-,0.9,-,0.1,0.8,0.9,0.3,0.6,0.4,0.3,3.3,2.1,1.2
15,1,0.1,-,0.1,-,1,0.2,0.1,0.6,1.1,0.5,0.6,0.9,0.6,1.2,0.8,0.4
16,1.9,0.4,0.1,0.3,-,1.9,0.2,0.2,1.5,3.1,1.7,1.4,2.3,2,2,0.9,1.1
17,1.8,0.2,-,0.1,0.1,1.8,1,-,0.8,4.1,2.5,1.6,1.9,1.2,0.7,0.4,0.3
18,2.1,0.2,-,0.2,-,2.1,1,0.2,0.9,3.5,2,1.5,1.2,1.8,0.5,0.2,0.3
19,2,0.2,-,0.2,-,2,0.6,-,1.3,4.1,2.6,1.5,2.6,1.5,1.9,0.5,1.4
20,1.7,0.2,0.1,0.1,-,1.7,0.5,0.3,0.9,0.6,0.3,0.3,1,0.6,3.8,1.8,2
21,1.4,0.2,-,0.2,-,1.4,0.6,-,0.8,1.8,0.8,1,0.8,0.8,0.5,0.1,0.4
22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,0.5,-,-,-,-,0.5,0.1,-,0.4,0.8,0.5,0.3,1.6,1.1,5.9,3.1,2.8
24,1.1,0.2,0.1,0.1,-,1.1,0.2,0.2,0.7,0.1,-,0.1,0.3,0.1,3.6,2.6,1
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-
26,0.8,0.1,-,0.1,-,0.8,0.2,0.1,0.6,4.2,2.2,2,2.1,0.9,2,0.9,1
27,1.4,0.3,0.1,0.2,-,1.4,0.3,0.2,0.9,1.8,0.9,0.9,1.7,1.2,2,1.1,0.9
28,1.4,0.2,-,0.2,-,1.4,0.3,-,1.1,4.5,2.5,2,2,1.8,1.4,0.2,1.2
29,1.2,0.1,0.1,-,-,1.2,0.3,0.3,0.6,0.4,0.2,0.2,0.5,0.1,2.8,2.3,0.5
30,1.1,0.1,-,-,-,1.1,0.6,0.1,0.5,0.9,0.6,0.3,1,0.8,1.4,0.8,0.6
31,1.6,0.4,0.2,0.2,-,1.6,0.1,0.4,1.1,0.5,0.3,0.2,1.9,0.3,8.6,4.2,4.4
32,1.9,0.3,-,0.3,0.1,1.9,1.1,0.1,0.8,4.6,2.7,1.9,1.9,2.4,0.4,0.3,0.2
33,1.9,0.1,-,0.1,-,1.9,0.4,0.1,1.3,3.2,1.7,1.6,2.6,1.4,0.8,0.1,0.7
34,0.8,-,-,-,-,0.8,0.6,-,0.2,1.6,0.9,0.7,1.7,0.7,1.3,0.6,0.6
35,0.8,-,-,-,-,0.8,0.1,0.1,0.7,0.5,0.4,0.1,1,0.5,5.3,3.4,1.9
36,2.8,0.4,-,0.3,0.1,2.8,0.5,0.2,2,1.4,0.7,0.7,1.7,0.6,3.4,1.7,1.7
37,0.9,0.2,0.1,0.1,-,0.9,0.2,0.2,0.5,2.8,1.3,1.6,0.9,0.5,0.1,-,0.1
