,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,0.5,-,-,-,-,0.5,0.2,-,0.3,0.7,0.2,0.5,0.7,0.3,3.2,2,1.2
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,0.6,-
5,0.8,-,-,-,-,0.8,-,-,0.8,0.5,0.3,0.3,0.5,1.3,2.5,1,1.5
6,2.1,0.5,0.1,0.4,-,2.1,0.2,0.2,1.7,1.6,0.9,0.7,1.7,0.9,2.6,1.5,1.1
7,2.3,0.4,0.1,0.3,-,2.3,0.6,0.1,1.6,2.6,1.5,1.1,1.9,1.3,3.4,1.8,1.6
8,2.6,0.5,0.1,0.3,0.1,2.6,0.5,0.3,1.9,3.4,2.2,1.1,2.5,1.7,1.1,0.6,0.5
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
10,3.1,0.2,-,0.1,0.1,3.1,1.6,0.1,1.5,3.9,1.9,2.1,2.9,1.3,1.5,0.9,0.6
11,2.8,0.8,0.1,0.6,-,2.8,0.3,0.4,2.2,0.8,0.5,0.3,2.5,1.3,3.3,1.4,1.9
12,3,0.4,0.1,0.3,-,3,0.3,0.3,2.4,1.3,1.1,0.1,1.3,1.1,7,2.9,4.1
13,1.6,0.2,-,0.1,0.1,1.6,1.2,-,0.4,0.2,0.1,0.1,0.7,0.3,1.3,0.6,0.7
14,3.3,0.4,0.1,0.3,-,3.3,0.6,0.5,2.2,1.5,1,0.5,2.3,1.7,2.5,1.2,1.3
15,2.9,0.3,-,0.2,0.1,2.9,1.3,0.1,1.6,4.2,3.1,1.1,1.5,1.2,0.6,0.3,0.3
16,0.3,-,-,-,-,0.3,0.2,-,0.1,0.1,0.1,-,-,0.2,3.6,2.8,0.8
17,3.1,0.6,0.2,0.3,-,3.1,0.7,0.4,2,3.1,1.7,1.3,3.1,1.8,3.2,1.6,1.6
18,3.7,0.4,0.1,0.3,-,3.7,1.1,0.3,2.3,1.3,0.8,0.6,1.8,1,4.6,2.4,2.3
19,1.5,0.3,-,0.2,-,1.5,0.5,0.1,0.9,2.9,1.6,1.4,1.4,1.2,1.2,0.6,0.6
20,0.9,0.3,0.1,0.2,0.1,0.9,0.3,0.1,0.6,2.4,1.5,0.9,1.8,0.6,0.6,0.4,0.2
21,0.8,-,-,-,-,0.8,-,0.1,0.7,0.1,-,0.1,0.2,-,3,2.2,0.8
22,2,0.2,-,0.2,-,2,0.4,0.1,1.5,3.8,2.1,1.8,1.5,1.1,1.5,0.8,0.7
23,0.2,-,-,-,-,0.2,-,-,0.2,0.2,-,0.2,0.4,0.1,4.5,3.1,1.4
24,2.1,0.3,0.1,0.2,0.1,2.1,1.1,0.1,1,1.9,0.9,1.1,1,0.8,0.6,0.2,0.4
25,0.4,-,-,-,-,0.4,-,0.1,0.3,0.3,0.3,-,0.6,0.4,3,2,1
26,1.6,0.3,0.1,0.3,-,1.6,0.5,0.2,1,2.2,1.2,1,1.6,1.1,1.5,0.3,1.2
27,1.9,0.5,0.1,0.5,-,1.9,0.2,0.1,1.6,4.8,3.5,1.3,3.3,2.5,3.5,1.2,2.3
28,1.2,-,-,-,-,1.2,0.9,-,0.3,4.4,2.3,2.1,1.9,1.5,1,0.4,0.5
29,2.4,0.5,0.1,0.4,-,2.4,0.8,0.2,1.5,2.5,1.4,1.1,1.4,0.9,1.6,0.8,0.7
30,0.7,0.1,-,-,0.1,0.7,0.3,0.1,0.2,1.9,0.4,1.5,0.8,0.5,2.4,1.1,1.3
31,2.2,0.3,0.1,0.2,-,2.2,0.8,0.1,1.2,3.7,2.1,1.6,2.4,1.5,0.6,0.2,0.4
32,1,-,-,-,-,1,-,-,1,1,1,-,1,-,1,1,-
33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,0.1
34,1.4,0.1,-,-,0.1,1.4,1,-,0.4,1.8,1.1,0.7,0.9,1.3,1.6,0.8,0.8
35,1.2,0.2,-,0.2,-,1.2,0.5,0.1,0.6,1.3,0.6,0.7,1.4,1,3.4,1.9,1.5
36,0.8,0.2,-,0.2,-,0.8,0.2,0.1,0.5,0.3,0.2,0.1,0.9,0.1,3.5,2.3,1.1
37,0.8,-,-,-,-,0.8,-,0.2,0.5,0.1,-,0.1,0.3,0.2,4.8,3.4,1.5
38,0.4,0.1,-,0.1,0.1,0.4,0.3,-,0.2,0.3,0.2,0.1,0.6,0.3,2.1,1.3,0.8
39,0.6,-,-,-,-,0.6,0.2,-,0.5,0.5,0.2,0.3,-,0.1,3,1.8,1.2
40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
41,1.1,0.1,-,0.1,-,1.1,0.5,0.1,0.5,1.4,0.8,0.6,1.3,1.2,2.3,1.3,0.9
42,1.8,0.1,-,0.1,-,1.8,0.9,-,0.9,0.3,0.2,0.1,0.6,0.3,0.7,0.2,0.4
43,1.6,0.2,-,-,0.1,1.6,1,-,0.6,3.7,2.5,1.2,2.1,1,1.2,0.4,0.7
44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,2.1,0.3,-,0.2,-,2.1,1,0.1,1,1.8,1.3,0.5,1.7,1.2,1,0.3,0.7
46,1.7,0.2,0.1,0.1,-,1.7,0.4,0.1,1.2,3,1.3,1.7,2.5,1.2,1,0.2,0.8
47,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,2.5,1.5
48,0.6,0.1,-,0.1,-,0.6,0.1,-,0.5,1.3,0.8,0.6,1.1,0.9,2.3,1,1.3
49,1.3,0.2,0.1,0.1,-,1.3,0.1,0.1,1.1,0.3,0.1,0.2,0.8,0.8,10.4,7.4,3.1
50,0.2,-,-,-,-,0.2,-,0.1,0.1,-,-,-,0.3,-,4.7,2.8,1.9
51,1.3,0.1,-,0.1,-,1.3,0.7,-,0.6,1.7,1,0.7,0.9,0.6,1.6,1.1,0.5
52,0.5,0.1,-,-,-,0.5,0.2,0.1,0.3,0.9,0.8,0.1,0.7,0.4,2.6,1.3,1.3
53,0.8,-,-,-,-,0.8,0.3,-,0.5,3.2,1.8,1.4,2.1,0.7,0.9,0.4,0.5
