,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
0,31,0.7,0.7,22.3,7.3,2.3,0.2,2.2,0.6,0.1,-,-,-,-,0.5
1,24.1,0.3,0.5,20.1,3.3,2.3,0.6,1.7,0.5,0.3,0.2,0.1,-,-,0.2
2,19.2,0.4,0.4,14,4.4,1.3,0.1,1.2,0.2,-,-,-,-,-,0.2
3,28.8,1.4,1.2,21,5.1,1.7,0.2,1.5,0.1,-,-,-,-,-,0.1
4,12,0.1,-,7.9,4,0.9,-,0.9,0.1,-,-,-,-,-,0.1
5,35.4,2.5,1.1,26.9,4.9,2.5,0.6,1.8,0.3,-,-,-,-,-,0.2
6,28.3,0.7,0.7,20.4,6.5,1.8,0.3,1.4,0.2,0.1,-,-,-,-,0.1
7,23.9,1,0.2,19.6,3.1,1.6,-,1.5,0.2,-,-,-,-,-,0.2
8,18.6,0.1,-,15.5,3,1,0.1,0.9,-,-,-,-,-,-,-
9,55,4.1,2.9,40.2,7.8,2.5,0.4,2.1,0.3,0.1,0.1,0.1,-,-,0.1
10,26.9,0.5,1,20.3,5.1,1.3,0.1,1.3,0.1,-,-,-,-,-,0.1
11,22.6,6.8,8.2,7.4,0.2,-,-,-,-,-,-,-,-,-,-
12,25.2,0.2,-,21.2,3.8,1,-,1,0.2,-,-,-,-,-,0.2
13,32.5,0.5,0.6,27.3,4.2,1.8,0.3,1.5,0.3,-,-,-,-,-,0.2
14,52.4,4.2,5.3,36.7,6.1,1.8,0.4,1.5,0.2,0.1,-,-,-,-,0.1
15,27,4,9,14,-,-,-,-,-,-,-,-,-,-,-
16,28.6,0.5,0.2,23.5,4.4,1.8,0.1,1.7,0.3,-,-,0.1,-,-,0.2
17,45.8,1.9,2.2,35,6.8,1.3,0.2,1.1,0.3,0.1,-,-,-,-,0.2
18,23.5,-,0.2,18.7,4.5,0.8,-,0.8,0.1,-,-,-,-,-,0.1
19,54.8,2.3,1.4,45,6.1,1.8,0.4,1.3,0.2,0.1,0.1,0.1,-,-,-
20,77.9,4,3.2,67.4,3.2,0.3,-,0.3,-,-,-,-,-,-,-
21,30.9,0.8,1.3,22.3,6.5,1.2,-,1.1,0.1,-,-,-,-,-,0.1
22,39,3.9,3.3,27.8,4,0.5,0.1,0.3,-,-,-,-,-,-,-
23,20,0.6,0.2,15.3,3.9,1.6,0.3,1.3,0.2,-,-,-,-,-,0.1
24,35.2,1.6,1.5,25.8,6.3,1.7,0.4,1.3,0.3,0.1,0.1,0.1,-,-,0.1
25,42.3,1.5,1.1,35.3,4.4,1.2,0.3,0.9,0.1,-,-,-,-,-,0.1
26,23.5,0.7,0.8,17.1,4.9,1.2,0.1,1.1,0.4,0.1,-,0.1,-,-,0.2
27,43.8,9.5,11.7,22.2,0.4,0.1,0.1,-,-,-,-,-,-,-,-
28,52.6,1.1,1.2,45.8,4.4,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
29,42.2,1.8,1.1,36.1,3.1,1.7,0.7,1,0.2,0.1,-,-,-,-,0.1
30,28.5,1,1,22.5,4.1,1.8,0.3,1.5,0.3,-,-,-,-,-,0.2
31,27,5.5,10.5,11,-,-,-,-,-,-,-,-,-,-,-
32,40.8,0.9,1.5,32.6,5.7,0.9,0.1,0.7,0.1,-,-,-,-,-,-
33,13.1,0.3,0.2,8.5,4.1,0.5,0.1,0.5,0.1,-,-,-,-,-,0.1
34,35.8,1.6,0.8,27.4,6,1.6,0.2,1.4,0.3,0.1,-,-,-,-,0.1
35,45.4,2.2,2.1,35.5,5.6,1.3,0.1,1.2,0.2,-,-,-,-,-,0.1
36,38.7,3.3,4.6,27.3,3.5,0.4,0.1,0.3,-,-,-,-,-,-,-
37,27.7,1,1.3,21.6,3.9,2.2,0.9,1.3,0.3,0.1,-,0.1,0.1,-,0.1
38,21,0.5,0.2,17,3.3,0.6,-,0.6,-,-,-,-,-,-,-
39,57.8,2.6,1.5,49.6,4.1,0.8,0.2,0.7,0.1,-,-,0.1,-,-,-
40,68.9,1.6,1.4,61.6,4.4,0.8,-,0.8,-,-,-,-,-,-,-
41,25.5,0.6,0.6,19.7,4.5,1.8,0.4,1.4,0.2,0.1,-,-,-,-,0.1
42,19.2,0.7,0.5,14.5,3.4,1.5,0.2,1.4,0.2,0.1,-,-,-,-,0.1
43,32.4,0.9,1.5,25.6,4.4,1.1,0.3,0.8,0.2,0.1,0.1,-,-,-,0.1
44,36.5,1.6,1.3,27.4,6.2,1.6,0.2,1.4,0.2,-,-,-,-,-,0.1
45,24.5,1,1,19,3.5,-,-,-,-,-,-,-,-,-,-
46,60,1.2,1.1,54.5,3.1,1.1,-,1.1,-,-,-,-,-,-,-
47,37.6,1.3,1.2,31.2,3.8,1.3,0.2,1.1,0.2,0.1,-,-,-,-,0.1
48,12.8,0.2,0.1,9.4,3.1,1,0.1,0.9,0.2,-,-,-,-,-,0.2
49,43.7,2.5,3.4,30.8,7,1.6,0.6,1,0.2,0.1,0.1,-,-,-,-
50,27.6,0.8,0.3,23.3,3.2,1.7,0.1,1.6,0.3,-,-,0.1,-,-,0.2
51,46.7,4.1,3.6,35.3,3.7,0.5,-,0.5,-,-,-,-,-,-,-
52,35.5,1.2,0.5,28.1,5.6,2,0.5,1.5,0.3,-,-,-,-,-,0.2
53,19.4,0.5,0.3,13.6,5,1.1,0.3,0.9,0.4,0.1,0.1,-,-,-,0.3
54,14.4,1,0.8,8.8,3.7,0.5,-,0.5,0.2,0.1,-,-,-,-,0.1
55,50.9,1.7,1.1,43.6,4.5,0.6,-,0.6,0.1,-,-,-,-,-,0.1
56,31.3,2,2.8,25.8,0.8,-,-,-,-,-,-,-,-,-,-
57,52.3,1.9,2.7,43.3,4.4,0.3,-,0.2,0.1,-,-,-,-,-,-
58,26.5,0.9,0.7,22.7,2.3,1.6,0.1,1.6,0.1,-,-,-,-,-,0.1
59,23.3,0.5,0.3,16.8,5.6,1.1,0.1,1,0.2,-,-,0.1,-,-,0.2
60,51.3,2.9,1.9,40.2,6.2,2.3,0.5,1.8,0.2,-,-,-,-,-,0.1
61,16.4,0.5,0.4,12.8,2.7,0.8,-,0.8,0.1,-,-,-,-,-,0.1
62,34.5,0.5,0.5,28.5,4.9,0.8,-,0.8,0.1,-,-,-,-,-,0.1
63,36.9,0.6,1.3,31.3,3.7,1.1,0.2,1,0.2,0.1,-,-,-,-,0.1
64,27.1,2.4,2.4,19.6,2.6,0.2,0.1,0.2,0.1,-,-,-,-,-,0.1
65,48.6,2.1,2.1,39.4,5,1.3,0.4,0.9,0.1,0.1,-,-,-,-,-
66,14.9,0.3,0.9,9.6,4.2,1.1,0.1,0.9,0.1,-,-,-,-,-,0.1
67,34.4,1.9,2.3,26.4,3.9,1.4,0.2,1.2,0.1,0.1,-,-,-,-,-
68,35.8,2.7,3.5,25.9,3.8,0.3,0.1,0.3,-,-,-,-,-,-,-
69,52.5,7,4.5,40,1,-,-,-,-,-,-,-,-,-,-
70,42.7,2,1,35.7,4,-,-,-,-,-,-,-,-,-,-
71,55.6,4.9,4.2,41.6,4.9,0.2,0.1,0.1,-,-,-,-,-,-,-
72,26.3,0.5,0.4,20.9,4.6,2.3,0.2,2.1,0.1,-,-,-,-,-,0.1
73,14.5,0.5,0.2,10,3.8,0.6,-,0.6,0.1,-,-,0.1,-,-,-
74,40.2,1.8,1.6,31.6,5.2,0.5,0.1,0.4,0.1,-,-,-,-,-,0.1
75,58.1,2,2.8,50.7,2.6,0.5,0.1,0.4,-,-,-,-,-,-,-
76,26.5,0.5,0.5,20.8,4.7,1.1,-,1.1,0.1,-,-,-,-,-,0.1
77,24.3,0.8,0.1,17.4,5.9,1.4,0.1,1.3,0.2,-,-,-,-,-,0.2
78,41.8,0.4,0.6,36.6,4.3,0.5,0.1,0.5,0.1,-,-,0.1,-,-,0.1
79,37.4,2,1.4,30.8,3.2,0.7,0.3,0.5,-,-,-,-,-,-,-
80,40.3,2,2.2,30.7,5.4,1.5,0.3,1.2,0.1,-,-,-,-,-,0.1
81,18.4,0.1,0.3,14.1,3.9,0.7,-,0.7,0.1,0.1,-,-,-,-,-
82,22.3,0.7,1.6,17.3,2.7,0.5,0.1,0.4,0.1,-,-,-,-,-,-
83,43.9,3.2,3.6,33,4.1,0.2,-,0.2,-,-,-,-,-,-,-
84,26.3,6.3,9.3,10.6,0.1,0.1,0.1,-,-,-,-,-,-,-,-
85,61.2,1.6,2.5,53.8,3.3,0.4,0.2,0.2,0.1,-,-,-,-,-,0.1
86,25.2,1,0.7,19.1,4.5,1.6,0.4,1.2,0.2,0.1,-,-,0.1,-,0.1
87,71.1,2.1,1.2,64.8,3,0.2,-,0.2,-,-,-,-,-,-,-
88,35.8,1.4,0.8,29.2,4.4,1.4,0.1,1.2,0.1,-,-,-,-,-,0.1
89,65.7,2.2,2.9,57,3.7,0.5,0.2,0.3,0.1,-,-,0.1,-,-,-
90,43.4,1.8,1.9,34.6,5.2,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
91,24.5,1.2,0.4,20.8,2.1,1,0.1,0.9,0.1,-,-,-,-,-,-
92,12.9,0.5,0.3,8.2,4,1,0.1,0.8,0.2,-,-,-,-,-,0.1
93,10.6,0.3,0.2,7,3.1,0.8,-,0.8,-,-,-,-,-,-,-
94,15.3,0.5,-,12.1,2.6,1.4,0.1,1.3,0.3,0.1,-,-,-,-,0.1
95,69.2,2.8,2.9,59.1,4.5,0.4,0.1,0.3,-,-,-,-,-,-,-
96,12.3,0.2,0.2,8.2,3.7,0.8,0.1,0.8,0.1,-,-,-,-,-,-
97,27.8,2.9,6.7,18.2,-,-,-,-,-,-,-,-,-,-,-
98,23.9,7.2,12.6,4.1,0.1,-,-,-,-,-,-,-,-,-,-
99,23.1,0.3,0.3,19.7,2.9,1,0.1,0.9,0.1,-,-,-,-,-,0.1
100,17.9,0.4,0.2,14.8,2.6,1.1,0.1,1,0.1,-,-,-,-,-,0.1
101,53.1,1.5,1.9,45.8,3.9,0.2,0.1,0.2,-,-,-,-,-,-,-
102,44.7,1.1,0.6,38,5,2,0.2,1.8,0.2,-,-,-,-,-,0.1
103,36.9,2.1,1.1,30.1,3.7,0.6,-,0.6,0.1,-,-,-,-,-,0.1
104,29.4,0.8,1.8,22.6,4.1,0.4,0.1,0.3,-,-,-,-,-,-,-
105,37.2,1.8,1.5,28,5.8,0.9,0.2,0.7,-,-,-,-,-,-,-
106,36.8,9.5,13.9,13.2,0.1,0.1,0.1,-,-,-,-,-,-,-,-
107,35.6,1.4,1.3,28.1,4.8,0.3,0.3,0.1,0.1,-,-,0.1,-,-,0.1
108,14.9,0.3,0.1,12.2,2.2,1,0.2,0.9,0.1,-,-,-,-,-,0.1
109,34.6,2.2,2,25.9,4.5,0.6,0.1,0.5,0.2,-,-,0.1,-,-,0.1
110,42.7,0.8,1,37,4,0.9,0.2,0.7,-,-,-,-,-,-,-
111,27.6,1.5,1,19,6.1,0.5,-,0.4,-,-,-,-,-,-,-
112,20.6,0.4,0.3,16.1,3.8,0.6,-,0.6,-,-,-,-,-,-,-
113,69.4,7.4,7.8,50.3,3.9,0.1,0.1,-,-,-,-,-,-,-,-
114,32.1,1.3,0.4,27.1,3.3,1.7,0.4,1.3,0.1,-,-,-,-,-,-
115,34.2,1.3,2.9,26.1,3.9,0.8,0.2,0.6,0.2,0.1,-,-,-,-,0.1
116,37.3,2.5,3.5,28,3.4,0.1,0.1,-,-,-,-,-,-,-,-
117,39.4,0.4,0.2,34.2,4.6,0.4,0.2,0.2,-,-,-,-,-,-,-
