,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
0,38.6,0.8,0.8,29.4,7.6,1.9,0.2,1.7,0.4,0.1,-,0.2,-,-,0.1
1,41,-,2,28,11,-,-,-,-,-,-,-,-,-,-
2,41,19,16,6,-,-,-,-,-,-,-,-,-,-,-
3,34.5,1.4,0.9,25.7,6.5,2.7,0.5,2.1,0.3,0.1,-,-,-,-,0.2
4,32,1.4,0.4,25.7,4.4,1.4,0.1,1.3,0.1,-,-,0.1,-,-,-
5,21.5,1.6,0.3,14.5,5.1,0.9,0.2,0.7,0.1,-,-,-,-,-,0.1
6,15.5,0.4,0.3,11.2,3.6,0.6,-,0.6,0.1,-,-,-,-,-,0.1
7,47.5,2,0.8,39.6,5,1.3,-,1.3,0.3,-,-,0.1,-,-,0.1
8,27.3,1.3,0.6,20.3,5.1,2,0.3,1.7,0.2,0.1,-,-,-,-,0.1
9,34.3,2.1,1.9,23.1,7.1,3.1,1,2.1,0.3,0.1,-,-,-,-,0.1
10,51.6,3.2,1.2,41.5,5.7,2.7,0.9,1.8,0.3,0.1,0.1,0.1,-,-,0.1
11,69.2,3.8,1.7,57.5,6.3,1.8,0.3,1.6,0.1,-,-,-,-,-,0.1
12,59.2,4.1,1.5,49.6,4,1.1,0.2,0.9,0.1,-,-,-,-,-,0.1
13,45.2,1,1,36.7,6.5,2.7,0.5,2.2,0.2,-,-,-,-,-,0.2
14,33,0.4,0.3,29.6,2.7,1.6,0.4,1.3,0.2,-,-,-,-,-,0.1
15,25.3,1,0.4,19.7,4.3,1.1,0.1,1,0.1,-,-,-,-,-,0.1
16,13.3,0.2,0.3,10.1,2.8,1,0.1,0.9,0.1,-,-,-,-,-,-
17,31.7,8.7,14.2,8.7,0.2,-,-,-,-,-,-,-,-,-,-
18,58.8,4,3,48.8,3,0.5,0.2,0.3,0.1,-,-,-,-,-,0.1
19,24.4,0.9,0.7,19,3.8,1.5,0.3,1.2,0.1,-,-,-,-,-,0.1
20,24,2,-,18,4,-,-,-,-,-,-,-,-,-,-
21,48.1,3.3,2.9,38.3,3.6,0.5,-,0.5,-,-,-,-,-,-,-
22,20.1,0.5,0.4,15.5,3.8,1.4,0.3,1.1,0.2,0.1,0.1,-,-,-,0.1
23,33.2,1.9,0.9,26,4.4,1.8,0.3,1.4,0.1,-,-,-,-,-,-
24,21.6,0.8,1.8,14.9,4.1,1.1,0.1,1,-,-,-,-,-,-,-
25,88.1,4.8,3,75.8,4.6,0.6,0.2,0.5,0.2,-,-,-,-,-,0.1
26,54.6,4,4.6,42.2,3.8,0.2,0.1,0.1,-,-,-,-,-,-,-
27,46.7,4,5.7,33.8,3.2,0.1,-,0.1,-,-,-,-,-,-,-
28,27.4,5.9,9.1,12.2,0.2,-,-,-,-,-,-,-,-,-,-
29,11.4,0.1,0.1,6.2,4.9,0.5,-,0.5,0.1,-,-,-,-,-,0.1
30,20.6,0.3,0.6,14.2,5.7,1.3,-,1.3,0.3,0.1,-,-,-,-,0.1
31,39,1,2.8,29.5,5.8,0.8,-,0.8,0.3,0.3,-,-,-,-,-
32,41,2,2.5,28,8.5,1.5,1,0.5,0.5,-,-,-,-,-,0.5
33,64.2,4.1,4.2,52.4,3.7,0.3,0.2,0.1,-,-,-,-,-,-,-
34,39.4,1.2,1.1,32.5,4.6,0.3,-,0.3,-,-,-,-,-,-,-
35,38.8,3.5,2.8,30.4,2.1,0.1,0.1,-,-,-,-,-,-,-,-
36,40.1,1.5,0.8,34.2,3.6,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
37,33.4,4.5,6.2,18.1,4.5,0.4,0.1,0.2,-,-,-,-,-,-,-
38,32.8,1.1,2.3,25,4.5,1.4,0.1,1.3,0.2,0.2,-,-,-,-,-
39,19.9,0.8,0.4,16,2.8,0.7,-,0.7,-,-,-,-,-,-,-
40,56,2.3,1.8,48.7,3.2,0.4,-,0.4,0.1,-,-,-,-,-,0.1
41,40.5,0.9,1.6,33.4,4.6,1,0.1,0.9,0.1,-,-,-,-,-,-
42,23,0.8,0.5,17.3,4.4,0.9,0.1,0.8,0.1,-,-,-,-,-,0.1
43,18.4,0.7,1.4,12.5,3.8,1.5,0.4,1,0.2,-,-,-,-,-,0.1
44,65.3,2.1,1.1,58.6,3.5,0.1,-,0.1,-,-,-,-,-,-,-
45,36,1.8,0.5,27,6.7,1.4,0.3,1.1,0.2,-,-,-,-,-,0.1
46,39,0.9,1,33.4,3.6,0.9,0.1,0.8,0.1,-,-,-,-,-,0.1
47,50.3,1.5,0.6,42.8,5.4,0.6,-,0.6,-,-,-,-,-,-,-
48,24.4,1.4,2.3,17,3.7,1,0.5,0.6,-,-,-,-,-,-,-
49,56.4,1.7,1.5,48.4,4.9,1,0.1,0.9,0.1,-,-,-,-,-,0.1
50,32.7,1.8,2.3,24.7,3.9,1.2,0.4,0.8,0.1,0.1,-,-,-,-,-
51,23,1,5,17,-,-,-,-,-,-,-,-,-,-,-
52,55,3.8,3.4,44.3,3.5,0.4,-,0.4,-,-,-,-,-,-,-
53,40.5,2.2,2.6,28.8,7,0.3,-,0.3,-,-,-,-,-,-,-
54,47.3,2.3,2.1,39.5,3.4,0.4,-,0.4,-,-,-,-,-,-,-
55,52.9,2.9,3.9,43,3.1,0.2,0.1,0.1,-,-,-,-,-,-,-
56,18.3,0.4,0.3,12.2,5.5,0.7,-,0.7,0.1,-,-,-,-,-,0.1
57,41.6,2.7,2.7,31.2,4.9,2.1,0.6,1.5,0.1,0.1,-,-,-,-,-
58,49.8,2.8,2.3,39.2,5.5,0.5,-,0.5,-,-,-,-,-,-,-
59,10,0.3,0.3,7.3,2,0.3,0.3,-,-,-,-,-,-,-,-
60,29.2,1.6,2.6,20.2,4.7,0.6,0.1,0.4,-,-,-,-,-,-,-
61,36,1,-,30,5,3,0.5,2.5,0.5,0.5,0.5,-,-,-,-
62,24,5,6,12,1,-,-,-,-,-,-,-,-,-,-
63,20.5,0.6,0.8,15.6,3.6,1.3,0.3,1,0.2,0.1,-,-,-,-,0.1
64,34.6,2.5,3.1,25.4,3.6,0.3,-,0.2,0.1,0.1,-,-,-,-,-
65,18.2,1.3,0.6,13.1,3.3,1.1,0.1,1,0.1,-,-,-,-,-,0.1
66,28.9,1.8,0.9,21.2,5.1,1.3,0.4,0.8,0.2,0.1,-,-,-,-,0.1
67,43.3,3.7,5.7,29.5,4.4,0.3,0.1,0.2,0.1,-,-,-,-,-,0.1
68,35.4,1.2,1.2,28.6,4.4,0.7,-,0.6,0.1,-,-,-,-,-,0.1
69,33.7,1.2,1.3,27.3,3.9,1.5,0.6,0.9,0.2,0.1,-,-,-,-,0.1
70,29,2.7,5.3,20.8,0.3,-,-,-,-,-,-,-,-,-,-
71,23.7,1.3,0.8,16.9,4.7,0.5,-,0.5,0.1,-,-,-,-,-,0.1
72,44.8,2.1,4.5,35.4,2.8,-,-,-,-,-,-,-,-,-,-
73,21.3,0.5,0.9,15.4,4.4,1.8,0.5,1.3,0.2,0.1,-,-,-,-,0.1
74,10,0.1,-,6.4,3.5,0.4,-,0.4,0.1,-,-,-,-,-,0.1
75,49.4,3.4,1.1,41.7,3.2,1.8,0.6,1.2,0.1,-,-,-,-,-,0.1
76,60.1,4.1,4.8,48,3.3,0.1,0.1,-,-,-,-,-,-,-,-
77,39.1,2.2,3.4,31.1,2.4,-,-,-,-,-,-,-,-,-,-
78,29.2,1.1,2.6,22.1,3.4,0.4,0.1,0.3,0.1,-,-,-,-,-,-
79,43.6,3.9,4.5,32.6,2.5,0.2,0.1,0.1,0.1,-,-,-,-,-,0.1
80,31.8,0.9,0.9,26.4,3.6,0.6,0.1,0.4,0.1,-,-,-,-,-,-
81,16.7,0.4,0.2,10.1,6,1,-,1,0.1,-,-,-,-,-,0.1
82,30.8,1.7,3.3,19.8,6,1,0.3,0.7,0.1,0.1,-,-,-,-,-
83,35.6,0.9,1.7,27.8,5.2,0.4,-,0.3,-,-,-,-,-,-,-
84,9.3,0.2,0.1,5.7,3.4,0.7,-,0.7,0.1,-,-,-,-,-,0.1
85,33.8,2.3,1.2,25.6,4.7,0.8,0.1,0.7,-,-,-,-,-,-,-
86,45.1,1.4,1.1,40.8,1.8,0.2,0.1,0.2,0.1,-,-,0.1,-,-,-
87,50.9,2.2,1.4,42.3,4.9,0.9,0.1,0.8,0.1,-,-,-,-,-,-
88,39.3,0.6,0.6,35.1,3,0.9,0.1,0.8,0.1,0.1,-,-,-,-,-
89,43.3,2.6,2.1,32.7,5.9,0.4,0.1,0.4,0.1,-,-,-,-,-,-
90,75.3,3.6,3.1,64.2,4.3,0.6,0.1,0.4,-,-,-,-,-,-,-
91,13,0.1,0.3,9.2,3.4,0.2,-,0.2,-,-,-,-,-,-,-
92,57.7,4.2,4.2,46.1,3.2,0.2,-,0.2,0.1,-,-,-,-,-,0.1
93,14.9,0.6,0.1,11.3,2.9,0.8,0.1,0.7,-,-,-,-,-,-,-
94,44.4,2.7,1.8,35.7,4.2,0.5,0.1,0.5,0.1,-,-,-,-,-,-
95,58.7,1.7,1,53.3,2.7,0.2,-,0.2,-,-,-,-,-,-,-
96,17.9,1.1,0.6,12.1,4,1.4,0.2,1.2,0.1,-,-,-,-,-,0.1
97,55.7,1.9,0.7,51,2.1,0.8,0.2,0.6,-,-,-,-,-,-,-
98,33.3,1.5,1.3,26.1,4.4,0.9,0.3,0.6,0.1,-,-,-,-,-,0.1
99,78.5,2.8,1.9,70.7,3.1,0.3,0.1,0.2,0.1,-,-,0.1,-,-,-
100,23,0.6,0.5,16.9,5,1.4,0.2,1.2,-,-,-,-,-,-,-
101,15.2,0.9,0.7,10.1,3.5,1.2,0.1,1.1,0.2,0.1,-,-,-,-,0.1
102,58.9,1.5,1.1,51.5,4.8,0.4,-,0.3,0.1,-,-,0.1,-,-,-
103,18.3,0.7,1,12.7,3.8,1.2,0.4,0.8,0.1,0.1,-,-,-,-,-
104,29.9,8.4,9.9,11.6,0.1,-,-,-,-,-,-,-,-,-,-
105,39.9,1.8,1.1,32.3,4.6,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
106,24.5,3.5,1.5,18.5,1,-,-,-,-,-,-,-,-,-,-
107,42.7,1.2,1.8,34,5.7,0.5,0.1,0.4,-,-,-,-,-,-,-
108,44.2,2.2,4.6,33.1,4.3,0.2,0.1,0.2,0.1,-,-,-,-,-,-
109,26.7,0.9,1.1,20.4,4.2,1,0.1,0.9,0.3,-,-,0.1,-,-,0.2
110,47,2.4,3.9,37.2,3.5,0.1,-,0.1,-,-,-,-,-,-,-
111,16.1,0.4,0.4,10.4,4.9,0.4,-,0.4,-,-,-,-,-,-,-
112,55.4,4.6,5.2,42.2,3.4,0.3,0.1,0.3,0.1,-,-,-,-,-,0.1
113,26.8,1.1,1.1,19.7,4.9,1,0.3,0.7,0.1,-,-,-,-,-,0.1
114,32.8,6.7,11.7,14.3,0.1,-,-,-,-,-,-,-,-,-,-
115,36.1,1.6,1.8,29.3,3.4,0.3,-,0.3,0.1,-,-,-,-,-,0.1
