,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
0,42,3,1,33,5,-,-,-,-,-,-,-,-,-,-
1,54,3,6,42,3,1,-,1,-,-,-,-,-,-,-
2,34,1.2,0.5,27.2,5.2,2.3,0.2,2,0.2,-,-,-,-,-,0.2
3,39,1,-,33.5,4.5,2,1,1,-,-,-,-,-,-,-
4,21.2,0.1,0.1,18.9,2.1,1.9,0.8,1.1,0.3,0.1,0.1,-,-,-,0.2
5,15.1,0.1,0.1,9.4,5.6,1.5,0.1,1.4,0.1,-,-,-,-,-,0.1
6,37.9,1.8,1.2,29.8,5.2,1.3,0.2,1.1,0.1,-,-,-,-,-,0.1
7,40.5,1.4,0.5,32.9,5.6,2.5,0.4,2.1,0.4,0.1,-,0.1,-,-,0.1
8,48.8,1.6,0.8,41.3,5,0.9,0.2,0.7,0.1,-,-,-,-,-,0.1
9,76.9,1.5,0.8,68.5,6.2,2.1,0.3,1.8,0.3,-,-,-,-,-,0.3
10,25,0.4,0.2,20.6,3.9,1.5,0.1,1.4,0.3,-,-,-,-,-,0.3
11,24.5,1.4,0.6,17.8,4.7,2.2,0.8,1.4,0.3,0.2,0.1,-,-,-,0.1
12,36.8,1,1.9,27.7,6.2,2.1,0.7,1.4,0.3,0.2,0.1,-,-,-,0.1
13,33.6,0.8,0.7,28.1,4.1,1.9,0.1,1.8,0.2,0.1,-,0.1,-,-,0.1
14,47.3,2.8,1.8,38,4.8,0.4,-,0.4,0.1,-,-,-,-,-,0.1
15,55.2,2.3,0.6,48.6,3.7,1.2,0.2,1,0.3,0.1,-,-,-,-,0.2
16,16.5,0.1,0.2,12.8,3.5,1,-,1,0.2,-,-,0.1,-,-,0.1
17,30.1,1.7,1,22.7,4.8,1.7,0.6,1,0.3,0.1,-,-,-,-,0.1
18,35.1,0.5,0.3,30.6,3.7,1.7,0.2,1.5,0.2,0.1,-,-,-,-,0.2
19,27.8,1.3,0.7,21.3,4.5,1.7,0.6,1.1,0.3,0.1,-,-,-,-,0.1
20,48.7,1.7,1.3,40.2,5.5,1,-,1,0.1,-,-,-,-,-,0.1
21,38.5,1.4,0.4,33.9,2.8,1.9,0.3,1.6,0.2,0.1,-,-,-,-,0.1
