,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
0,29,5,16,8,-,-,-,-,-,-,-,-,-,-,-
1,18,3,5,10,-,-,-,-,-,-,-,-,-,-,-
2,26.5,2.5,3,20.5,0.5,-,-,-,-,-,-,-,-,-,-
3,83.8,3.7,1.8,74.2,4.2,-,-,-,-,-,-,-,-,-,-
4,37,7.2,11.4,18,0.4,-,-,-,-,-,-,-,-,-,-
5,52.3,1.8,4.8,42.3,3.5,-,-,-,-,-,-,-,-,-,-
6,16.7,0.1,0.2,12.3,4,1.3,-,1.2,0.1,-,-,-,-,-,0.1
7,26.3,1.3,0.6,21.2,3.3,0.6,-,0.6,0.1,-,-,-,-,-,-
8,26.2,0.3,0.3,20.4,5.3,2,0.5,1.4,0.2,-,-,-,-,-,0.1
9,39,4,9,26,-,-,-,-,-,-,-,-,-,-,-
10,32.4,0.7,0.6,26.5,4.6,1.5,0.3,1.2,0.2,-,-,-,-,-,0.2
11,14.9,0.3,0.2,11.3,3,1,-,1,0.2,-,-,-,-,-,0.1
12,17.3,0.7,0.1,11.3,5.1,1.3,-,1.3,-,-,-,-,-,-,-
13,55.4,3.4,1.6,46.6,3.8,1.8,0.5,1.2,0.2,0.1,0.1,-,-,-,-
14,19.7,0.9,0.3,14.2,4.3,1.2,-,1.2,0.1,-,-,-,-,-,0.1
15,23.2,1.4,0.6,17.9,3.3,1.6,0.2,1.4,0.2,-,-,0.1,-,-,0.1
16,39.6,1.4,2.2,34.2,1.7,-,-,-,-,-,-,-,-,-,-
17,9.6,0.3,-,6.6,2.7,0.6,-,0.6,0.1,-,-,-,-,-,0.1
18,17.2,0.2,0.3,11.8,4.9,0.9,-,0.9,0.1,-,-,-,-,-,0.1
19,28.5,1,0.6,23.2,3.7,1.6,0.5,1.2,0.2,0.1,0.1,-,-,-,0.1
20,30.5,1.1,0.4,25.1,3.9,1.2,0.2,1,0.2,0.1,-,-,-,-,0.1
21,50.3,2.3,3,42,3,0.2,-,0.2,0.1,-,-,-,-,-,0.1
22,23.4,0.8,0.5,17.3,4.8,1.8,0.1,1.7,0.3,0.1,-,-,-,-,0.2
23,61.2,2.3,1.6,54.5,2.8,0.5,-,0.5,0.1,0.1,-,-,-,-,-
24,38.6,1.6,0.6,32.7,3.7,1.3,0.1,1.2,0.1,-,-,0.1,0.1,-,-
25,57.8,1.8,2,50.8,3.2,0.2,-,0.2,-,-,-,-,-,-,-
26,26.2,0.5,0.4,21.2,4.1,2,0.3,1.7,0.3,0.1,0.1,-,-,-,0.1
27,19.1,0.3,0.1,15.5,3.2,0.5,-,0.5,0.1,-,-,-,-,-,0.1
28,33.3,1,0.5,27.2,4.6,1.5,0.2,1.2,0.4,0.2,-,-,-,-,0.2
29,19.2,0.9,0.8,12.8,4.7,1.1,0.1,1,0.1,0.1,-,-,-,-,-
30,59.1,5.4,2.7,47.5,3.6,0.9,0.2,0.7,0.1,-,-,-,-,-,0.1
31,25.4,1.5,1,18.4,4.5,1.6,0.5,1,0.1,0.1,-,-,-,-,-
32,30,2,-,23,5,1,-,1,-,-,-,-,-,-,-
33,39.3,7.5,14.3,17.2,0.3,0.1,0.1,-,-,-,-,-,-,-,-
34,52.9,2.7,1.6,42.4,6.3,1.7,0.2,1.5,0.2,0.1,-,-,-,-,0.1
