,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,OOBSh,SYBSh,PASh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
0,Omar Marmoush,Manchester City,Bundesliga,26 years old (07-02-1999),183cm,Egypt,"Attacking Midfielder (Centre, Left), Forward",,,17,1454.0,15,9,2,-,79.6,0.4,9,8.23,,,4.5,0.9,0.1,0.1,0.7,4.5,1.4,0.1,3.1,5.9,3.2,2.7,3.9,2.2,1.2,0.4,0.8,0.7,0.2,0.9,0.1,3.2,0.5,0.4,0.1,0.1,-,0.4,-,-,-,-,20.2,0.6,0.5,15.4,3.6,2.1,0.6,1.5,0.5,0.2,0.2,0.1,-,-,0.3
1,Harry Kane,Bayern Munich,Bundesliga,31 years old (28-07-1993),"1,88m",England,"Attacking Midfielder (Centre), Forward",Centre-Forward,right,27(2),2272.0,24,7,5,-,80.4,1,9,7.71,"Jun 30, 2027",€90.00m,3.7,0.8,0.1,0.1,0.6,3.7,0.9,0.4,2.4,1.8,1,0.8,1.3,0.7,1.6,1,0.7,0.4,0.1,0.6,0.1,0.7,0.3,0.5,0.5,0.1,-,0.4,-,-,-,-,20.2,1.3,0.6,14.9,3.4,1.1,0.2,0.9,0.2,-,-,0.1,-,-,0.2
2,Michael Olise,Bayern Munich,Bundesliga,23 years old (12-12-2001),"1,84m",France,"Attacking Midfielder (Centre, Left, Right)",Right Winger,left,25(6),2078.0,9,12,2,-,86.4,0.3,6,7.61,"Jun 30, 2029",€80.00m,2.4,0.3,0.1,-,0.2,2.4,0.7,0.1,1.6,4.1,2.2,1.9,1.6,0.8,0.6,0.3,0.4,1.1,0.5,1.6,0.3,2,0.6,0.1,0.3,-,0.1,0.7,-,-,-,-,41,0.6,0.6,34.7,5,2.5,0.3,2.2,0.4,0.1,-,-,-,-,0.3
3,Jamal Musiala,Bayern Munich,Bundesliga,22 years old (26-02-2003),"1,84m",Germany,"Midfielder (Centre, Left, Right)",Attacking Midfield,right,21(4),1807.0,12,2,3,-,83.5,0.3,5,7.56,"Jun 30, 2030",€140.00m,2.7,0.5,-,0.2,0.3,2.7,0.7,0.3,1.7,5.6,2.8,2.9,2.7,1.3,0.8,0.3,0.6,1.4,0.7,2.1,0.3,2.2,0.8,0.1,0.2,-,-,1.2,-,-,-,-,36.9,0.5,0.2,30.3,5.8,1.6,-,1.6,0.1,-,-,-,-,-,0.1
4,Florian Wirtz,Bayer 04 Leverkusen,Bundesliga,21 years old (03-05-2003),"1,77m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,22(6),2087.0,9,10,2,-,82.6,0.3,7,7.52,"Jun 30, 2027",€140.00m,2.4,0.3,-,0.1,0.3,2.4,0.9,0.1,1.4,5.4,2.7,2.7,1.9,1.6,1.5,0.3,1.3,1.1,0.4,1.5,0.3,1.3,0.7,0.3,0.2,-,-,0.9,-,-,-,-,50.5,1,0.4,40.7,8.4,1.9,0.2,1.7,0.4,0.1,-,0.1,-,-,0.1
5,Joshua Kimmich,Bayern Munich,Bundesliga,30 years old (08-02-1995),"1,77m",Germany,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",Defensive Midfield,right,29(1),2577.0,2,5,4,-,92.9,0.4,2,7.34,"Jun 30, 2029",€50.00m,1,0.1,-,-,-,1,0.7,-,0.2,0.6,0.3,0.3,0.7,0.2,0.7,0.4,0.3,1.5,0.6,2,0.7,0.8,0.5,0.1,0.8,0.1,0.2,0.6,-,-,-,-,104.1,5.9,1.6,90.8,5.8,2.5,0.8,1.7,0.2,0.1,-,-,-,-,0.1
6,Hugo Ekitiké,Eintracht Frankfurt,Bundesliga,22 years old (20-06-2002),"1,90m",France,Forward,Centre-Forward,right,28(2),2313.0,15,6,1,-,76.7,1.4,4,7.33,"Jun 30, 2029",€55.00m,3.5,0.5,-,0.3,0.2,3.5,0.9,0.5,2.1,3.6,2,1.6,2.9,0.9,3.2,1.4,1.8,0.5,0.2,0.7,0.2,0.5,1.1,0.6,0.8,-,-,0.4,-,-,-,-,19.3,0.4,0.2,14.4,4.3,1.4,0.1,1.3,0.2,-,-,-,-,-,0.2
7,Tim Kleindienst,Borussia Mönchengladbach,Bundesliga,29 years old (31-08-1995),"1,94m",Germany,Forward,Centre-Forward,both,29,2564.0,15,6,3,1,62.2,4.7,5,7.31,"Jun 30, 2028",€17.00m,2.5,0.5,-,0.2,0.3,2.5,0.3,0.4,1.7,1.1,0.7,0.4,2.6,1.4,8.6,4.7,4,0.9,0.9,1.8,0.4,0.8,2.4,0.8,2.1,0.3,0.1,1.2,-,-,-,-,23.3,0.4,0.4,14.1,8.3,0.9,0.1,0.8,0.2,-,-,-,-,-,0.1
8,Xavi Simons,RB Leipzig,Bundesliga,22 years old (21-04-2003),"1,79m",Netherlands,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,22,1887.0,9,5,5,-,83.1,0.8,4,7.3,"Jun 30, 2027",€70.00m,1.8,0.4,0.1,-,0.3,1.8,0.9,-,0.9,3.8,2.5,1.3,3.1,2.3,1.8,0.8,1,1.1,0.6,1.7,0.5,2.2,1.1,0.2,0.6,0.1,0.1,0.5,-,-,-,-,44.2,1.5,0.9,35.3,6.6,2.1,0.4,1.7,0.2,-,-,0.1,-,-,0.1
9,David Odogu,VfL Wolfsburg,Bundesliga,18 years old (03-06-2006),"1,91m",Germany,Defender,Centre-Back,right,2,180.0,-,-,-,-,89.4,4.5,-,7.24,-,€700k,1,-,-,-,-,1,-,0.5,0.5,-,-,-,0.5,-,6,4.5,1.5,2.5,1,3.5,1,-,1,0.5,11.5,1,1,-,-,-,-,-,42.5,3,2,35,2.5,-,-,-,-,-,-,-,-,-,-
