,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
0,Lamine Yamal,FC Barcelona,Laliga,17 years old (13-07-2007),"1,80m",Spain,Attacking Midfielder (Right),Right Winger,left,27(3),2452.0,6,12,3,-,78.3,-,9,7.94,"Jun 30, 2026",€180.00m,3.8,0.2,-,0.1,0.1,3.8,1.6,0.1,2,8.8,4.4,4.4,3,1.4,0.1,-,-,1.3,0.6,1.9,0.4,1.8,0.9,0.4,0.1,-,-,0.4,-,-,-,-,38.6,0.8,0.8,29.4,7.6,1.9,0.2,1.7,0.4,0.1,-,0.2,-,-,0.1
1,Sergio Arribas,Real Betis Balompié,Laliga,22 years old (10-02-2003),185cm,Spain,Defender,,,1,90.0,-,-,-,-,68.3,1,-,7.78,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,7,1,8,3,-,-,-,4,2,-,-,-,-,-,-,41,-,2,28,11,-,-,-,-,-,-,-,-,-,-
2,Aitor Fernández,CA Osasuna,Laliga,33 years old (03-05-1991),"1,82m",Spain,Goalkeeper,Goalkeeper,right,1,90.0,-,-,-,-,61,-,-,7.77,"Jun 30, 2027",€1.50m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,5,1,2,2,41,19,16,6,-,-,-,-,-,-,-,-,-,-,-
3,Raphinha,FC Barcelona,Laliga,28 years old (14-12-1996),"1,76m",Brazil,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,left,28(3),2466.0,15,9,4,-,78.6,0.3,10,7.7,"Jun 30, 2027",€80.00m,3.1,0.5,0.1,0.4,0.1,3.1,1.3,0.1,1.7,3.1,1.5,1.5,1.5,0.9,0.4,0.3,0.2,1.1,0.5,1.6,0.3,1.1,0.3,0.3,0.7,0.1,0.1,0.8,-,-,-,-,34.5,1.4,0.9,25.7,6.5,2.7,0.5,2.1,0.3,0.1,-,-,-,-,0.2
4,Kylian Mbappé,Real Madrid,Laliga,26 years old (20-12-1998),"1,78m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,29,2467.0,22,3,3,1,85,0.1,7,7.65,"Jun 30, 2029",€170.00m,4.4,0.8,-,0.6,0.1,4.4,1.1,0.3,3,5.6,3.1,2.4,2.4,1.4,0.3,0.1,0.2,0.3,0.1,0.4,-,1.1,0.8,1.3,-,-,-,0.1,-,-,-,-,32,1.4,0.4,25.7,4.4,1.4,0.1,1.3,0.1,-,-,0.1,-,-,-
5,Cucho Hernández,Real Betis Balompié,Laliga,26 years old (20-04-1999),"1,76m",,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,10,797.0,3,1,-,-,74.9,2.5,2,7.38,"Jun 30, 2030",€18.00m,2.9,0.3,-,0.3,-,2.9,0.6,0.2,2.1,2.1,0.8,1.3,3.3,0.8,5.1,2.5,2.6,1.2,0.4,1.6,0.6,0.7,0.9,0.3,0.3,0.1,-,1.1,-,-,-,-,21.5,1.6,0.3,14.5,5.1,0.9,0.2,0.7,0.1,-,-,-,-,-,0.1
6,Robert Lewandowski,FC Barcelona,Laliga,36 years old (21-08-1988),"1,85m",Poland,Forward,Centre-Forward,right,29(2),2454.0,25,2,1,-,74.5,1.1,4,7.31,"Jun 30, 2026",€15.00m,3.5,0.8,0.2,0.5,-,3.5,0.6,0.6,2.2,1,0.4,0.6,2.3,1.4,2.4,1.1,1.3,0.3,0.2,0.5,0.1,1.1,0.9,0.5,0.8,0.1,-,0.4,-,-,-,-,15.5,0.4,0.3,11.2,3.6,0.6,-,0.6,0.1,-,-,-,-,-,0.1
7,Jude Bellingham,Real Madrid,Laliga,21 years old (29-06-2003),"1,86m",England,"Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,25(2),2135.0,8,7,3,1,87.8,0.9,4,7.26,"Jun 30, 2029",€180.00m,2,0.3,0.1,0.2,-,2,0.6,0.2,1.2,2.4,1.1,1.3,1.7,1.2,1.8,0.9,1,2,0.5,2.4,0.9,2.1,1,0.2,0.6,0.1,0.1,1.1,-,-,-,-,47.5,2,0.8,39.6,5,1.3,-,1.3,0.3,-,-,0.1,-,-,0.1
8,Vinícius Júnior,Real Madrid,Laliga,24 years old (12-07-2000),"1,76m",Brazil,"Attacking Midfielder (Left), Forward",Left Winger,right,22(5),2046.0,11,5,8,1,78.9,-,4,7.24,"Jun 30, 2027",€200.00m,2.9,0.4,0.1,0.3,-,2.9,0.9,0.2,1.8,6.6,3.8,2.9,2.3,1.6,0.3,-,0.3,0.7,0.5,1.2,0.1,2.4,1,0.4,-,-,-,0.2,-,-,-,-,27.3,1.3,0.6,20.3,5.1,2,0.3,1.7,0.2,0.1,-,-,-,-,0.1
9,Álex Baena,Villarreal CF,Laliga,23 years old (20-07-2001),"1,74m",Spain,"Attacking Midfielder (Centre, Left), Forward",Left Winger,right,26(1),2261.0,6,7,8,-,73.8,0.6,3,7.22,"Jun 30, 2028",€50.00m,2.2,0.2,0.1,0.1,-,2.2,1.1,0.1,1,1.9,1.2,0.7,1.4,1.1,1.3,0.6,0.7,1,0.9,1.9,0.8,1.4,1.4,0.1,0.4,0.1,0.3,1,-,-,-,-,34.3,2.1,1.9,23.1,7.1,3.1,1,2.1,0.3,0.1,-,-,-,-,0.1
