,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
0,Benjamin Bourigeaud,Stade Rennais FC,Ligue1,31 years old (14-01-1994),178cm,France,"Midfielder (Centre, Left, Right)",,,1,81.0,1,-,-,-,85.7,2,-,7.99,,
1,Logan Costa,Villarreal CF,Ligue1,24 years old (01-04-2001),190cm,France,Defender (Centre),,,1,90.0,-,-,-,-,83.3,4,-,7.73,,
2,Ousmane Dembélé,Paris Saint-Germain,Ligue1,27 years old (15-05-1997),"1,78m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,both,19(9),1663.0,21,6,2,-,83.3,0.1,9,7.7,"Jun 30, 2028",€75.00m
3,Ismail Jakobs,Galatasaray,Ligue1,25 years old (17-08-1999),184cm,Senegal,"Defender (Left), Midfielder (Left)",,,2,180.0,-,-,-,-,88.5,0.5,-,7.55,,
4,Amine Gouiri,Olympique Marseille,Ligue1,25 years old (16-02-2000),"1,81m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,9(2),789.0,7,3,-,-,89.7,0.2,2,7.44,"Jun 30, 2029",€20.00m
5,Mika Biereth,AS Monaco,Ligue1,22 years old (08-02-2003),"1,87m",,Forward,Centre-Forward,right,14,1149.0,13,2,1,-,62.7,1.4,4,7.41,"Jun 30, 2029",€25.00m
6,Mason Greenwood,Olympique Marseille,Ligue1,23 years old (01-10-2001),"1,81m",Jamaica,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,both,29(2),2550.0,18,4,2,-,83.2,0.2,10,7.36,"Jun 30, 2029",€35.00m
7,Rayan Cherki,Olympique Lyon,Ligue1,21 years old (17-08-2003),"1,77m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,both,20(7),1843.0,8,10,3,-,84.9,0.1,6,7.35,"Jun 30, 2026",€35.00m
8,Andrey Santos,RC Strasbourg Alsace,Ligue1,20 years old (03-05-2004),"1,80m",Brazil,Defensive Midfielder (C),Central Midfield,right,29,2587.0,9,3,7,-,88.1,1.2,2,7.34,"Jun 30, 2025",€25.00m
9,Achraf Hakimi,Paris Saint-Germain,Ligue1,26 years old (04-11-1998),"1,81m",Morocco,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,23(1),1978.0,4,6,4,-,91,0.4,-,7.33,"Jun 30, 2029",€65.00m
10,Bradley Barcola,Paris Saint-Germain,Ligue1,22 years old (02-09-2002),"1,82m",France,"Attacking Midfielder (Left, Right), Forward",Left Winger,right,24(7),1976.0,13,10,2,-,83.8,0.4,4,7.27,"Jun 30, 2028",€70.00m
11,Gaëtan Perrin,AJ Auxerre,Ligue1,28 years old (07-06-1996),"1,69m",France,"Attacking Midfielder (Centre, Left, Right)",Right Winger,right,28(3),2445.0,9,9,1,-,78.3,0.1,7,7.26,"Jun 30, 2026",€6.00m
12,Jonathan Clauss,OGC Nice,Ligue1,32 years old (25-09-1992),"1,78m",France,"Defender (Right), Midfielder (Left, Right)",Right-Back,right,24(1),2047.0,3,8,7,-,78,0.6,3,7.25,"Jun 30, 2026",€6.00m
13,Désiré Doué,Paris Saint-Germain,Ligue1,19 years old (03-06-2005),"1,81m",France,"Attacking Midfielder (Centre, Left, Right)",Left Winger,right,17(11),1599.0,6,6,1,-,85.8,0.3,2,7.23,"Jun 30, 2029",€60.00m
14,Jérémy Jacquet,Stade Rennais FC,Ligue1,19 years old (13-07-2005),"1,90m",France,Defender (Centre),Centre-Back,right,9,778.0,-,1,-,-,86.2,2.1,2,7.2,"Jun 30, 2027",€5.00m
15,João Neves,Paris Saint-Germain,Ligue1,20 years old (27-09-2004),"1,74m",Portugal,Defensive Midfielder (C),Defensive Midfield,right,20(7),1730.0,3,8,1,-,92.2,0.8,4,7.18,"Jun 30, 2029",€65.00m
16,Evann Guessand,OGC Nice,Ligue1,23 years old (01-07-2001),"1,88m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,28(3),2435.0,11,7,2,-,78.1,0.9,5,7.16,"Jun 30, 2028",€25.00m
17,Dilane Bakwa,RC Strasbourg Alsace,Ligue1,22 years old (26-08-2002),"1,80m",France,"Midfielder (Centre, Left, Right)",Right Winger,left,26(1),2270.0,5,8,4,-,80.8,0.4,5,7.16,"Jun 30, 2027",€18.00m
18,Khvicha Kvaratskhelia,Paris Saint-Germain,Ligue1,24 years old (12-02-2001),"1,83m",Georgia,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,both,10(3),830.0,2,3,-,-,88.6,0.2,2,7.14,"Jun 30, 2029",€80.00m
19,Ludovic Blas,Stade Rennais FC,Ligue1,27 years old (31-12-1997),"1,80m",France,"Midfielder (Centre, Left, Right), Forward",Right Winger,left,23(3),2051.0,6,7,6,-,81.3,0.5,2,7.11,"Jun 30, 2027",€18.00m
20,Corentin Tolisso,Olympique Lyon,Ligue1,30 years old (03-08-1994),"1,81m",France,"Defender (Right), Midfielder (Centre, Right)",Central Midfield,right,26(4),2234.0,7,4,4,-,86,1.8,-,7.11,"Jun 30, 2027",€10.00m
21,Lee Kang-In,Paris Saint-Germain,Ligue1,24 years old (19-02-2001),"1,74m",South Korea,"Midfielder (Centre, Left, Right), Forward",Right Winger,left,17(11),1533.0,6,6,1,-,91.8,0.1,2,7.1,"Jun 30, 2028",€30.00m
22,Théo De Percin,AJ Auxerre,Ligue1,24 years old (02-02-2001),"1,85m",France,Goalkeeper,Goalkeeper,right,2,180.0,-,-,-,-,49.1,-,1,7.1,"Jun 30, 2028",€300k
23,Benjamin André,LOSC Lille,Ligue1,34 years old (03-08-1990),"1,80m",France,"Defender (Right), Midfielder (Centre, Left, Right)",Defensive Midfield,right,28,2513.0,-,3,12,-,84,3.1,3,7.09,"Jun 30, 2026",€6.00m
24,Jubal,AJ Auxerre,Ligue1,31 years old (29-08-1993),"1,90m",Brazil,Defender (Centre),Centre-Back,right,28,2463.0,6,-,6,-,86,2.6,2,7.09,"Jun 30, 2025",€2.00m
25,Djordje Petrovic,RC Strasbourg Alsace,Ligue1,25 years old (08-10-1999),"1,90m",Serbia,Goalkeeper,Goalkeeper,right,28,2520.0,-,-,2,-,78.6,0.2,4,7.08,"Jun 30, 2025",€18.00m
26,Diego Moreira,RC Strasbourg Alsace,Ligue1,20 years old (06-08-2004),"1,79m",Portugal,"Defender (Left), Midfielder (Left)",Left Winger,left,26(3),2382.0,2,7,4,1,81.2,0.9,4,7.07,"Jun 30, 2029",€10.00m
27,Adrien Rabiot,Olympique Marseille,Ligue1,30 years old (03-04-1995),"1,91m",France,"Midfielder (Centre, Left)",Central Midfield,left,24(2),2213.0,7,3,4,-,87.5,1.1,1,7.06,"Jun 30, 2026",€25.00m
28,Moses Simon,FC Nantes,Ligue1,29 years old (12-07-1995),"1,68m",Nigeria,"Midfielder (Centre, Left, Right), Forward",Left Winger,right,28(1),2359.0,7,9,2,-,74.9,0.2,4,7.06,"Jun 30, 2026",€12.00m
29,Lilian Brassier,Stade Rennais FC,Ligue1,25 years old (02-11-1999),"1,86m",France,"Defender (Centre, Left)",Centre-Back,left,11,966.0,1,-,-,-,86.4,2.3,-,7.06,"Jun 30, 2025",€10.00m
30,Pierre-Emile Højbjerg,Olympique Marseille,Ligue1,29 years old (05-08-1995),"1,85m",Denmark,Midfielder (Centre),Defensive Midfield,right,27,2396.0,2,3,5,-,92.6,0.8,1,7.06,"Jun 30, 2025",€20.00m
31,Ludovic Ajorque,Stade Brestois 29,Ligue1,31 years old (25-02-1994),"1,96m",France,Forward,Centre-Forward,left,26(2),2253.0,12,2,5,-,69.2,4.2,2,7.06,"Jun 30, 2025",€4.00m
32,Edon Zhegrova,LOSC Lille,Ligue1,26 years old (31-03-1999),"1,80m",,Attacking Midfielder (Right),Right Winger,left,12,986.0,4,1,1,-,86,0.3,1,7.05,"Jun 30, 2026",€25.00m
33,Maghnes Akliouche,AS Monaco,Ligue1,23 years old (25-02-2002),"1,83m",France,"Attacking Midfielder (Centre, Right)",Right Winger,left,25(4),2229.0,4,8,2,-,85.1,0.1,3,7.04,"Jun 30, 2028",€40.00m
34,Valentín Barco,RC Strasbourg Alsace,Ligue1,20 years old (23-07-2004),"1,70m",Argentina,"Defender (Left), Midfielder (Centre, Left)",Left-Back,left,11,913.0,-,2,2,-,84.4,0.6,-,7.03,"Jun 30, 2025",€8.00m
35,Kevin Danso,Tottenham Hotspur,Ligue1,26 years old (19-09-1998),190cm,Austria,Defender (Centre),,,12,1080.0,-,-,3,-,86,3.4,2,7.02,,
36,Gaëtan Laborde,OGC Nice,Ligue1,30 years old (03-05-1994),"1,81m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,left,18(7),1628.0,9,4,1,-,73.5,1.7,2,7.02,"Jun 30, 2026",€6.00m
37,Luis Henrique,Olympique Marseille,Ligue1,23 years old (14-12-2001),"1,81m",Brazil,"Midfielder (Left, Right)",Right Winger,right,28(3),2505.0,7,6,-,-,84.6,-,3,7.02,"Jun 30, 2028",€18.00m
38,Emmanuel Agbadou,Wolverhampton Wanderers,Ligue1,27 years old (17-06-1997),192cm,Ivory Coast,"Defender (Centre, Right), Defensive Midfielder (C)",,,14,1260.0,-,-,3,-,88.1,1.3,3,7.01,,
39,Lamine Camara,AS Monaco,Ligue1,21 years old (01-01-2004),"1,73m",Senegal,Midfielder (Centre),Central Midfield,right,23(4),1899.0,2,6,8,1,87.1,0.9,2,7.01,"Jun 30, 2029",€20.00m
40,Yehvann Diouf,Stade Reims,Ligue1,25 years old (16-11-1999),"1,90m",France,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,1,-,66.1,0.3,1,7.01,"Jun 30, 2027",€9.00m
41,Djaoui Cissé,Stade Rennais FC,Ligue1,21 years old (31-01-2004),"1,88m",France,Midfielder (Centre),Central Midfield,right,11,898.0,1,-,4,-,88.5,0.4,-,7.01,"Jun 30, 2029",€5.00m
42,Hamed Traoré,AJ Auxerre,Ligue1,25 years old (16-02-2000),"1,77m",Ivory Coast,"Attacking Midfielder (Centre, Left, Right)",Attacking Midfield,right,24,1967.0,10,2,5,-,77.8,0.5,3,7.0,"Jun 30, 2025",€18.00m
43,Jonathan David,LOSC Lille,Ligue1,25 years old (14-01-2000),"1,78m",Canada,"Attacking Midfielder (Centre), Forward",Centre-Forward,both,25(4),2306.0,16,4,4,-,83,0.6,5,7.0,"Jun 30, 2025",€45.00m
44,Hicham Boudaoui,OGC Nice,Ligue1,25 years old (23-09-1999),"1,75m",Algeria,"Midfielder (Centre, Right)",Central Midfield,right,24(2),2182.0,2,2,9,-,84.5,0.6,-,6.99,"Jun 30, 2027",€10.00m
45,Przemyslaw Frankowski,Galatasaray,Ligue1,30 years old (12-04-1995),175cm,Poland,"Defender (Right), Midfielder (Centre, Left, Right)",,,16(2),1389.0,4,2,3,-,83.4,0.4,1,6.99,,
46,Vitinha,Paris Saint-Germain,Ligue1,25 years old (13-02-2000),"1,72m",Portugal,Midfielder (Centre),Central Midfield,right,19(9),1946.0,5,1,1,-,94,-,1,6.99,"Jun 30, 2029",€60.00m
47,Denis Zakaria,AS Monaco,Ligue1,28 years old (20-11-1996),"1,90m",Switzerland,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,22(1),1965.0,5,3,5,-,90.9,0.7,1,6.99,"Jun 30, 2028",€30.00m
48,Vanderson,AS Monaco,Ligue1,23 years old (21-06-2001),"1,73m",Brazil,"Defender (Right), Midfielder (Right)",Right-Back,right,23(3),1991.0,1,3,4,1,79.6,0.8,2,6.99,"Jun 30, 2028",€20.00m
